Waiting for operation to complete...
Transcript: 2 Król marsyl jest w Saragossie przechadza się w sadzie w cieniu kładzie się w garnku z błękitnego marmuru więcej niż 20000 ludzi jest w koło niego woła swoje wnuki i swoje chrapie Słuchajcie panowie co za klęsk ananas spadła cesarz Karol przybył tu ze słodkiej Francji aby nas pognębić nie mam wojska aby mu wygrać bitwę ludzie moi nie są mocni stawić czoła wreszcie mi doradcy mądrzy i chrońcie mnie od śmierci i wstydu żaden poganin nie odpowiedział słowa prócz Blanka na iPhone kasztelu
Confidence: 0.9399029016494751
Word: 2, start_time: 0.0, end_time: 0.5
Word: Król, start_time: 0.5, end_time: 1.4
Word: marsyl, start_time: 1.4, end_time: 1.9
Word: jest, start_time: 1.9, end_time: 2.6
Word: w, start_time: 2.6, end_time: 2.7
Word: Saragossie, start_time: 2.7, end_time: 3.2
Word: przechadza, start_time: 3.2, end_time: 4.6
Word: się, start_time: 4.6, end_time: 4.8
Word: w, start_time: 4.8, end_time: 4.8
Word: sadzie, start_time: 4.8, end_time: 5.3
Word: w, start_time: 5.3, end_time: 5.5
Word: cieniu, start_time: 5.5, end_time: 6.5
Word: kładzie, start_time: 6.5, end_time: 7.3
Word: się, start_time: 7.3, end_time: 7.4
Word: w, start_time: 7.4, end_time: 7.5
Word: garnku, start_time: 7.5, end_time: 7.9
Word: z, start_time: 7.9, end_time: 8.1
Word: błękitnego, start_time: 8.1, end_time: 8.9
Word: marmuru, start_time: 8.9, end_time: 9.6
Word: więcej, start_time: 9.6, end_time: 10.6
Word: niż, start_time: 10.6, end_time: 10.9
Word: 20000, start_time: 10.9, end_time: 12.0
Word: ludzi, start_time: 12.0, end_time: 12.3
Word: jest, start_time: 12.3, end_time: 13.1
Word: w, start_time: 13.1, end_time: 13.2
Word: koło, start_time: 13.2, end_time: 13.5
Word: niego, start_time: 13.5, end_time: 13.8
Word: woła, start_time: 13.8, end_time: 15.0
Word: swoje, start_time: 15.0, end_time: 15.4
Word: wnuki, start_time: 15.4, end_time: 15.8
Word: i, start_time: 15.8, end_time: 16.1
Word: swoje, start_time: 16.1, end_time: 16.6
Word: chrapie, start_time: 16.6, end_time: 17.1
Word: Słuchajcie, start_time: 17.1, end_time: 18.6
Word: panowie, start_time: 18.6, end_time: 19.2
Word: co, start_time: 19.2, end_time: 20.0
Word: za, start_time: 20.0, end_time: 20.1
Word: klęsk, start_time: 20.1, end_time: 20.7
Word: ananas, start_time: 20.7, end_time: 21.2
Word: spadła, start_time: 21.2, end_time: 21.8
Word: cesarz, start_time: 21.8, end_time: 23.2
Word: Karol, start_time: 23.2, end_time: 23.7
Word: przybył, start_time: 23.7, end_time: 24.7
Word: tu, start_time: 24.7, end_time: 24.8
Word: ze, start_time: 24.8, end_time: 25.0
Word: słodkiej, start_time: 25.0, end_time: 25.5
Word: Francji, start_time: 25.5, end_time: 26.2
Word: aby, start_time: 26.2, end_time: 26.7
Word: nas, start_time: 26.7, end_time: 26.9
Word: pognębić, start_time: 26.9, end_time: 27.3
Word: nie, start_time: 27.3, end_time: 28.5
Word: mam, start_time: 28.5, end_time: 28.7
Word: wojska, start_time: 28.7, end_time: 29.3
Word: aby, start_time: 29.3, end_time: 29.9
Word: mu, start_time: 29.9, end_time: 30.0
Word: wygrać, start_time: 30.0, end_time: 30.3
Word: bitwę, start_time: 30.3, end_time: 30.6
Word: ludzie, start_time: 30.6, end_time: 31.8
Word: moi, start_time: 31.8, end_time: 32.1
Word: nie, start_time: 32.1, end_time: 32.7
Word: są, start_time: 32.7, end_time: 32.9
Word: mocni, start_time: 32.9, end_time: 33.5
Word: stawić, start_time: 33.5, end_time: 34.1
Word: czoła, start_time: 34.1, end_time: 34.7
Word: wreszcie, start_time: 34.7, end_time: 36.1
Word: mi, start_time: 36.1, end_time: 36.3
Word: doradcy, start_time: 36.3, end_time: 37.3
Word: mądrzy, start_time: 37.3, end_time: 37.8
Word: i, start_time: 37.8, end_time: 37.9
Word: chrońcie, start_time: 37.9, end_time: 38.8
Word: mnie, start_time: 38.8, end_time: 39.2
Word: od, start_time: 39.2, end_time: 39.3
Word: śmierci, start_time: 39.3, end_time: 39.7
Word: i, start_time: 39.7, end_time: 40.0
Word: wstydu, start_time: 40.0, end_time: 40.6
Word: żaden, start_time: 40.6, end_time: 42.0
Word: poganin, start_time: 42.0, end_time: 42.8
Word: nie, start_time: 42.8, end_time: 43.2
Word: odpowiedział, start_time: 43.2, end_time: 44.0
Word: słowa, start_time: 44.0, end_time: 44.5
Word: prócz, start_time: 44.5, end_time: 45.2
Word: Blanka, start_time: 45.2, end_time: 46.2
Word: na, start_time: 46.2, end_time: 46.7
Word: iPhone, start_time: 46.7, end_time: 47.8
Word: kasztelu, start_time: 47.8, end_time: 48.9
