Waiting for operation to complete...
Transcript: 5 Król marsyl zwołał radę zawołał Clarena Balcerskiego s tamaryna i jego para Europa i priam ona Igar lana brodacza i maszyn Era istrefi a jego Macho na inżyniera i Malwina zza morza i Blanka i żeby im powiedział swoją myśl dziesięciu na jutrzejszych odwołał na stronę pójdziecie balony do Karola Wielkiego jest pod kordłą którą oblega będziecie mieli w rękach gałązki oliwne Co oznacza pokój i pokory jeśli chytrość o swoją w 11 dla mnie zgodę dam wam złota i srebra co wlezie i ziem ile na ile sami zechcecie a poganie na to o to mamy zadość
Confidence: 0.9342124462127686
Word: 5, start_time: 0.0, end_time: 0.6000000000000001
Word: Król, start_time: 0.6000000000000001, end_time: 1.8
Word: marsyl, start_time: 1.8, end_time: 2.3
Word: zwołał, start_time: 2.3, end_time: 3.4
Word: radę, start_time: 3.4, end_time: 3.8
Word: zawołał, start_time: 3.8, end_time: 5.1
Word: Clarena, start_time: 5.1, end_time: 5.8
Word: Balcerskiego, start_time: 5.8, end_time: 6.8
Word: s, start_time: 6.8, end_time: 8.1
Word: tamaryna, start_time: 8.1, end_time: 8.8
Word: i, start_time: 8.8, end_time: 8.9
Word: jego, start_time: 8.9, end_time: 9.8
Word: para, start_time: 9.8, end_time: 10.2
Word: Europa, start_time: 10.2, end_time: 11.4
Word: i, start_time: 11.4, end_time: 11.6
Word: priam, start_time: 11.6, end_time: 12.8
Word: ona, start_time: 12.8, end_time: 13.1
Word: Igar, start_time: 13.1, end_time: 14.0
Word: lana, start_time: 14.0, end_time: 14.4
Word: brodacza, start_time: 14.4, end_time: 15.1
Word: i, start_time: 15.1, end_time: 15.2
Word: maszyn, start_time: 15.2, end_time: 16.1
Word: Era, start_time: 16.1, end_time: 16.4
Word: istrefi, start_time: 16.4, end_time: 17.9
Word: a, start_time: 17.9, end_time: 18.0
Word: jego, start_time: 18.0, end_time: 18.3
Word: Macho, start_time: 18.3, end_time: 18.7
Word: na, start_time: 18.7, end_time: 18.9
Word: inżyniera, start_time: 18.9, end_time: 20.3
Word: i, start_time: 20.3, end_time: 20.5
Word: Malwina, start_time: 20.5, end_time: 21.8
Word: zza, start_time: 21.8, end_time: 22.1
Word: morza, start_time: 22.1, end_time: 22.4
Word: i, start_time: 22.4, end_time: 22.7
Word: Blanka, start_time: 22.7, end_time: 23.9
Word: i, start_time: 23.9, end_time: 24.0
Word: żeby, start_time: 24.0, end_time: 25.2
Word: im, start_time: 25.2, end_time: 25.4
Word: powiedział, start_time: 25.4, end_time: 26.0
Word: swoją, start_time: 26.0, end_time: 26.4
Word: myśl, start_time: 26.4, end_time: 26.7
Word: dziesięciu, start_time: 26.7, end_time: 28.2
Word: na, start_time: 28.2, end_time: 28.4
Word: jutrzejszych, start_time: 28.4, end_time: 29.3
Word: odwołał, start_time: 29.3, end_time: 30.2
Word: na, start_time: 30.2, end_time: 30.5
Word: stronę, start_time: 30.5, end_time: 31.0
Word: pójdziecie, start_time: 31.0, end_time: 32.2
Word: balony, start_time: 32.2, end_time: 32.9
Word: do, start_time: 32.9, end_time: 33.5
Word: Karola, start_time: 33.5, end_time: 34.0
Word: Wielkiego, start_time: 34.0, end_time: 34.3
Word: jest, start_time: 34.3, end_time: 35.3
Word: pod, start_time: 35.3, end_time: 35.5
Word: kordłą, start_time: 35.5, end_time: 35.9
Word: którą, start_time: 35.9, end_time: 36.7
Word: oblega, start_time: 36.7, end_time: 37.3
Word: będziecie, start_time: 37.3, end_time: 38.4
Word: mieli, start_time: 38.4, end_time: 38.6
Word: w, start_time: 38.6, end_time: 38.7
Word: rękach, start_time: 38.7, end_time: 39.2
Word: gałązki, start_time: 39.2, end_time: 39.9
Word: oliwne, start_time: 39.9, end_time: 40.5
Word: Co, start_time: 40.5, end_time: 41.0
Word: oznacza, start_time: 41.0, end_time: 41.5
Word: pokój, start_time: 41.5, end_time: 42.0
Word: i, start_time: 42.0, end_time: 42.1
Word: pokory, start_time: 42.1, end_time: 42.8
Word: jeśli, start_time: 42.8, end_time: 43.7
Word: chytrość, start_time: 43.7, end_time: 44.2
Word: o, start_time: 44.2, end_time: 44.2
Word: swoją, start_time: 44.2, end_time: 44.7
Word: w, start_time: 44.7, end_time: 45.0
Word: 11, start_time: 45.0, end_time: 45.5
Word: dla, start_time: 45.5, end_time: 45.8
Word: mnie, start_time: 45.8, end_time: 45.9
Word: zgodę, start_time: 45.9, end_time: 46.5
Word: dam, start_time: 46.5, end_time: 47.3
Word: wam, start_time: 47.3, end_time: 47.6
Word: złota, start_time: 47.6, end_time: 48.0
Word: i, start_time: 48.0, end_time: 48.1
Word: srebra, start_time: 48.1, end_time: 48.7
Word: co, start_time: 48.7, end_time: 49.2
Word: wlezie, start_time: 49.2, end_time: 49.7
Word: i, start_time: 49.7, end_time: 49.9
Word: ziem, start_time: 49.9, end_time: 50.7
Word: ile, start_time: 50.7, end_time: 51.5
Word: na, start_time: 51.5, end_time: 51.8
Word: ile, start_time: 51.8, end_time: 52.0
Word: sami, start_time: 52.0, end_time: 52.7
Word: zechcecie, start_time: 52.7, end_time: 53.2
Word: a, start_time: 53.2, end_time: 53.5
Word: poganie, start_time: 53.5, end_time: 54.9
Word: na, start_time: 54.9, end_time: 55.1
Word: to, start_time: 55.1, end_time: 55.4
Word: o, start_time: 55.4, end_time: 55.6
Word: to, start_time: 55.6, end_time: 56.4
Word: mamy, start_time: 56.4, end_time: 56.8
Word: zadość, start_time: 56.8, end_time: 57.6
