Waiting for operation to complete...
Transcript: 14 cesarz powiedział swoje hrabia Roland któremu to nie jednak w smak zrywa się z siedzenia wstaję i sprzeciwia się rzeczy królowi biada ci królu jeśli uwierzysz Marcelowi O to już 7 pełnych lat jak przybyliśmy do Hiszpanii zdobyłem dla ciebie i nobles i Kombi bez wziąłem Walter i ziemię Fińską i balakier i pudele Isis LS król marsyl dopuścił się wielkiej zdrady posłał 15 swoich pogan i każdy niósł gałąź Oliwna i wszyscy powiadali ci te same słowa narodziłeś się ze swymi Francuzami doradzili ci wielkie szaleństwo wysłałeś do poganina dwóch swoich hrabiów jeden był Bazan a drugi bazylii i w górę
Confidence: 0.9242916703224182
Word: 14, start_time: 0.0, end_time: 1.7000000000000002
Word: cesarz, start_time: 1.7000000000000002, end_time: 3.0
Word: powiedział, start_time: 3.0, end_time: 3.6
Word: swoje, start_time: 3.6, end_time: 4.1
Word: hrabia, start_time: 4.1, end_time: 5.5
Word: Roland, start_time: 5.5, end_time: 5.9
Word: któremu, start_time: 5.9, end_time: 6.9
Word: to, start_time: 6.9, end_time: 7.2
Word: nie, start_time: 7.2, end_time: 7.6
Word: jednak, start_time: 7.6, end_time: 8.1
Word: w, start_time: 8.1, end_time: 8.2
Word: smak, start_time: 8.2, end_time: 8.6
Word: zrywa, start_time: 8.6, end_time: 9.7
Word: się, start_time: 9.7, end_time: 9.8
Word: z, start_time: 9.8, end_time: 9.9
Word: siedzenia, start_time: 9.9, end_time: 10.5
Word: wstaję, start_time: 10.5, end_time: 11.6
Word: i, start_time: 11.6, end_time: 11.8
Word: sprzeciwia, start_time: 11.8, end_time: 12.6
Word: się, start_time: 12.6, end_time: 12.9
Word: rzeczy, start_time: 12.9, end_time: 14.0
Word: królowi, start_time: 14.0, end_time: 14.6
Word: biada, start_time: 14.6, end_time: 15.8
Word: ci, start_time: 15.8, end_time: 15.9
Word: królu, start_time: 15.9, end_time: 16.5
Word: jeśli, start_time: 16.5, end_time: 17.3
Word: uwierzysz, start_time: 17.3, end_time: 17.8
Word: Marcelowi, start_time: 17.8, end_time: 18.9
Word: O, start_time: 18.9, end_time: 19.0
Word: to, start_time: 19.0, end_time: 19.7
Word: już, start_time: 19.7, end_time: 19.7
Word: 7, start_time: 19.7, end_time: 20.2
Word: pełnych, start_time: 20.2, end_time: 20.6
Word: lat, start_time: 20.6, end_time: 20.7
Word: jak, start_time: 20.7, end_time: 21.6
Word: przybyliśmy, start_time: 21.6, end_time: 22.1
Word: do, start_time: 22.1, end_time: 22.4
Word: Hiszpanii, start_time: 22.4, end_time: 23.0
Word: zdobyłem, start_time: 23.0, end_time: 24.1
Word: dla, start_time: 24.1, end_time: 24.3
Word: ciebie, start_time: 24.3, end_time: 24.8
Word: i, start_time: 24.8, end_time: 24.9
Word: nobles, start_time: 24.9, end_time: 25.8
Word: i, start_time: 25.8, end_time: 26.0
