Waiting for operation to complete...
Transcript: 39 miły panie cannelloni życzę marsyl postąpiłem z tobą zbyt nagle kiedy w Gniewie swoim chciałem cię uderzyć daje ci w zakładce skóry sobolowe warte więcej niż 500 £ złota że Nim przyjdzie jutrzejszy wieczór Zapłacę Ci piękną grzywnę ganelon odpowiada nie odmawiam Niech Bóg jeśli jego Wola nagrodzi cię za to
Confidence: 0.938517689704895
Word: 39, start_time: 0.0, end_time: 1.3
Word: miły, start_time: 1.3, end_time: 2.5
Word: panie, start_time: 2.5, end_time: 2.8
Word: cannelloni, start_time: 2.8, end_time: 3.6
Word: życzę, start_time: 3.6, end_time: 4.5
Word: marsyl, start_time: 4.5, end_time: 5.1
Word: postąpiłem, start_time: 5.1, end_time: 6.3
Word: z, start_time: 6.3, end_time: 6.3
Word: tobą, start_time: 6.3, end_time: 6.6
Word: zbyt, start_time: 6.6, end_time: 7.0
Word: nagle, start_time: 7.0, end_time: 7.6
Word: kiedy, start_time: 7.6, end_time: 8.2
Word: w, start_time: 8.2, end_time: 8.3
Word: Gniewie, start_time: 8.3, end_time: 8.7
Word: swoim, start_time: 8.7, end_time: 9.2
Word: chciałem, start_time: 9.2, end_time: 9.7
Word: cię, start_time: 9.7, end_time: 9.9
Word: uderzyć, start_time: 9.9, end_time: 10.1
Word: daje, start_time: 10.1, end_time: 11.6
Word: ci, start_time: 11.6, end_time: 11.7
Word: w, start_time: 11.7, end_time: 11.8
Word: zakładce, start_time: 11.8, end_time: 12.5
Word: skóry, start_time: 12.5, end_time: 13.1
Word: sobolowe, start_time: 13.1, end_time: 13.8
Word: warte, start_time: 13.8, end_time: 14.5
Word: więcej, start_time: 14.5, end_time: 14.7
Word: niż, start_time: 14.7, end_time: 15.3
Word: 500, start_time: 15.3, end_time: 16.0
Word: £, start_time: 16.0, end_time: 16.4
Word: złota, start_time: 16.4, end_time: 17.0
Word: że, start_time: 17.0, end_time: 17.6
Word: Nim, start_time: 17.6, end_time: 17.9
Word: przyjdzie, start_time: 17.9, end_time: 18.4
Word: jutrzejszy, start_time: 18.4, end_time: 19.1
Word: wieczór, start_time: 19.1, end_time: 19.3
Word: Zapłacę, start_time: 19.3, end_time: 20.8
Word: Ci, start_time: 20.8, end_time: 20.9
Word: piękną, start_time: 20.9, end_time: 21.7
Word: grzywnę, start_time: 21.7, end_time: 22.3
Word: ganelon, start_time: 22.3, end_time: 23.6
Word: odpowiada, start_time: 23.6, end_time: 24.4
Word: nie, start_time: 24.4, end_time: 25.5
Word: odmawiam, start_time: 25.5, end_time: 26.2
Word: Niech, start_time: 26.2, end_time: 27.0
Word: Bóg, start_time: 27.0, end_time: 27.4
Word: jeśli, start_time: 27.4, end_time: 28.3
Word: jego, start_time: 28.3, end_time: 28.5
Word: Wola, start_time: 28.5, end_time: 28.9
Word: nagrodzi, start_time: 28.9, end_time: 29.9
Word: cię, start_time: 29.9, end_time: 30.0
Word: za, start_time: 30.0, end_time: 30.2
Word: to, start_time: 30.2, end_time: 30.4
