Waiting for operation to complete...
Transcript: 42 Saracen rzekł cuduje się wielce Karol Siwy jest i biały wedle mego sądu ma 200 lat i więcej przez tyle zjemy przeszedł jako zdobywca tyle wziął ciosów od ostrych i tęgi włóczni tylu bogatych królów zabił i zwyciężył w bitwie też mu się przykrzy wojować nigdy rzekł ganelon dopóki Roland będzie żył nie ma tak dzielnego jak on aż do samego wschodu i jego druh Oliwier waleczny jest bardzo a 12 barów których Karol tak miłuje tworzy jego przednią straż z 20 tysiącami Francuzów Karol jest bezpieczny Nie boję się nikogo na ziemi
Confidence: 0.9263879656791687
Word: 42, start_time: 0.0, end_time: 1.0
Word: Saracen, start_time: 1.0, end_time: 2.7
Word: rzekł, start_time: 2.7, end_time: 3.1
Word: cuduje, start_time: 3.1, end_time: 4.1
Word: się, start_time: 4.1, end_time: 4.2
Word: wielce, start_time: 4.2, end_time: 4.8
Word: Karol, start_time: 4.8, end_time: 5.8
Word: Siwy, start_time: 5.8, end_time: 7.0
Word: jest, start_time: 7.0, end_time: 7.3
Word: i, start_time: 7.3, end_time: 7.5
Word: biały, start_time: 7.5, end_time: 8.1
Word: wedle, start_time: 8.1, end_time: 9.5
Word: mego, start_time: 9.5, end_time: 9.6
Word: sądu, start_time: 9.6, end_time: 10.0
Word: ma, start_time: 10.0, end_time: 10.5
Word: 200, start_time: 10.5, end_time: 11.1
Word: lat, start_time: 11.1, end_time: 11.3
Word: i, start_time: 11.3, end_time: 11.5
Word: więcej, start_time: 11.5, end_time: 11.9
Word: przez, start_time: 11.9, end_time: 13.0
Word: tyle, start_time: 13.0, end_time: 13.3
Word: zjemy, start_time: 13.3, end_time: 13.5
Word: przeszedł, start_time: 13.5, end_time: 14.3
Word: jako, start_time: 14.3, end_time: 14.7
Word: zdobywca, start_time: 14.7, end_time: 15.4
Word: tyle, start_time: 15.4, end_time: 16.1
Word: wziął, start_time: 16.1, end_time: 16.3
Word: ciosów, start_time: 16.3, end_time: 16.8
Word: od, start_time: 16.8, end_time: 17.0
Word: ostrych, start_time: 17.0, end_time: 17.7
Word: i, start_time: 17.7, end_time: 17.8
Word: tęgi, start_time: 17.8, end_time: 18.3
Word: włóczni, start_time: 18.3, end_time: 19.0
Word: tylu, start_time: 19.0, end_time: 19.8
Word: bogatych, start_time: 19.8, end_time: 20.3
Word: królów, start_time: 20.3, end_time: 20.9
Word: zabił, start_time: 20.9, end_time: 21.5
Word: i, start_time: 21.5, end_time: 21.6
Word: zwyciężył, start_time: 21.6, end_time: 22.4
Word: w, start_time: 22.4, end_time: 22.5
Word: bitwie, start_time: 22.5, end_time: 22.6
Word: też, start_time: 22.6, end_time: 24.2
Word: mu, start_time: 24.2, end_time: 24.5
Word: się, start_time: 24.5, end_time: 24.7
Word: przykrzy, start_time: 24.7, end_time: 25.3
Word: wojować, start_time: 25.3, end_time: 26.0
Word: nigdy, start_time: 26.0, end_time: 27.9
Word: rzekł, start_time: 27.9, end_time: 28.9
Word: ganelon, start_time: 28.9, end_time: 29.6
Word: dopóki, start_time: 29.6, end_time: 30.6
Word: Roland, start_time: 30.6, end_time: 31.3
Word: będzie, start_time: 31.3, end_time: 31.8
Word: żył, start_time: 31.8, end_time: 32.2
Word: nie, start_time: 32.2, end_time: 33.4
Word: ma, start_time: 33.4, end_time: 33.5
Word: tak, start_time: 33.5, end_time: 33.7
Word: dzielnego, start_time: 33.7, end_time: 34.2
Word: jak, start_time: 34.2, end_time: 34.5
Word: on, start_time: 34.5, end_time: 34.8
Word: aż, start_time: 34.8, end_time: 35.5
Word: do, start_time: 35.5, end_time: 35.7
Word: samego, start_time: 35.7, end_time: 36.1
Word: wschodu, start_time: 36.1, end_time: 36.7
Word: i, start_time: 36.7, end_time: 36.8
Word: jego, start_time: 36.8, end_time: 37.7
Word: druh, start_time: 37.7, end_time: 38.0
Word: Oliwier, start_time: 38.0, end_time: 38.8
Word: waleczny, start_time: 38.8, end_time: 39.8
Word: jest, start_time: 39.8, end_time: 40.0
Word: bardzo, start_time: 40.0, end_time: 40.7
Word: a, start_time: 40.7, end_time: 40.8
Word: 12, start_time: 40.8, end_time: 41.9
Word: barów, start_time: 41.9, end_time: 42.3
Word: których, start_time: 42.3, end_time: 43.1
Word: Karol, start_time: 43.1, end_time: 43.5
Word: tak, start_time: 43.5, end_time: 43.8
Word: miłuje, start_time: 43.8, end_time: 44.3
Word: tworzy, start_time: 44.3, end_time: 45.0
Word: jego, start_time: 45.0, end_time: 45.2
Word: przednią, start_time: 45.2, end_time: 45.6
Word: straż, start_time: 45.6, end_time: 46.1
Word: z, start_time: 46.1, end_time: 46.4
Word: 20, start_time: 46.4, end_time: 47.2
Word: tysiącami, start_time: 47.2, end_time: 47.8
Word: Francuzów, start_time: 47.8, end_time: 48.7
Word: Karol, start_time: 48.7, end_time: 49.8
Word: jest, start_time: 49.8, end_time: 50.0
Word: bezpieczny, start_time: 50.0, end_time: 50.8
Word: Nie, start_time: 50.8, end_time: 50.9
Word: boję, start_time: 50.9, end_time: 51.7
Word: się, start_time: 51.7, end_time: 51.8
Word: nikogo, start_time: 51.8, end_time: 52.3
Word: na, start_time: 52.3, end_time: 52.6
Word: ziemi, start_time: 52.6, end_time: 52.7
