Waiting for operation to complete...
Transcript: 43 miły panie galeonie rzekł król marsyl mam wojsko takie że piękniejszego nie ujrzysz mogę mieć 400 000 rycerzy Czy mogę zwalczyć Karola i Francuzów ganelon od rzeczy nie tak rychło straciłbyś swoich pogan mnogo zostaw szaleństwo Trzymaj się rozsądku daj cesarzowi tyle ze swoich dóbr i żeby nie było Francuza który by się nie cudova za 20 zakładników w których mu poślesz odjedzie król do słodkiej Francji zostawi za sobą swoją tylną straż będzie w niej sądzę siostrzany jego Roland Pakosz Oliwier waleczny i dworny zginąć e2e hrabiowie Jeśli zechcecie mnie posłuchać upadnie wielka duma karolowa
Confidence: 0.9491474032402039
Word: 43, start_time: 0.0, end_time: 1.4
Word: miły, start_time: 1.4, end_time: 2.7
Word: panie, start_time: 2.7, end_time: 3.1
Word: galeonie, start_time: 3.1, end_time: 3.8
Word: rzekł, start_time: 3.8, end_time: 5.0
Word: król, start_time: 5.0, end_time: 5.5
Word: marsyl, start_time: 5.5, end_time: 5.9
Word: mam, start_time: 5.9, end_time: 7.2
Word: wojsko, start_time: 7.2, end_time: 7.6
Word: takie, start_time: 7.6, end_time: 8.1
Word: że, start_time: 8.1, end_time: 8.7
Word: piękniejszego, start_time: 8.7, end_time: 9.6
Word: nie, start_time: 9.6, end_time: 9.8
Word: ujrzysz, start_time: 9.8, end_time: 10.4
Word: mogę, start_time: 10.4, end_time: 11.6
Word: mieć, start_time: 11.6, end_time: 11.8
Word: 400, start_time: 11.8, end_time: 12.5
Word: 000, start_time: 12.5, end_time: 12.8
Word: rycerzy, start_time: 12.8, end_time: 13.6
Word: Czy, start_time: 13.6, end_time: 14.4
Word: mogę, start_time: 14.4, end_time: 14.7
Word: zwalczyć, start_time: 14.7, end_time: 15.2
Word: Karola, start_time: 15.2, end_time: 15.9
Word: i, start_time: 15.9, end_time: 16.0
Word: Francuzów, start_time: 16.0, end_time: 16.7
Word: ganelon, start_time: 16.7, end_time: 18.5
Word: od, start_time: 18.5, end_time: 18.9
Word: rzeczy, start_time: 18.9, end_time: 19.3
Word: nie, start_time: 19.3, end_time: 20.3
Word: tak, start_time: 20.3, end_time: 20.5
Word: rychło, start_time: 20.5, end_time: 20.8
Word: straciłbyś, start_time: 20.8, end_time: 22.4
Word: swoich, start_time: 22.4, end_time: 22.9
Word: pogan, start_time: 22.9, end_time: 23.4
Word: mnogo, start_time: 23.4, end_time: 24.2
Word: zostaw, start_time: 24.2, end_time: 25.5
Word: szaleństwo, start_time: 25.5, end_time: 26.1
Word: Trzymaj, start_time: 26.1, end_time: 27.0
Word: się, start_time: 27.0, end_time: 27.2
Word: rozsądku, start_time: 27.2, end_time: 28.2
Word: daj, start_time: 28.2, end_time: 29.0
Word: cesarzowi, start_time: 29.0, end_time: 29.6
Word: tyle, start_time: 29.6, end_time: 30.0
Word: ze, start_time: 30.0, end_time: 30.1
Word: swoich, start_time: 30.1, end_time: 30.5
Word: dóbr, start_time: 30.5, end_time: 30.9
Word: i, start_time: 30.9, end_time: 31.1
Word: żeby, start_time: 31.1, end_time: 31.9
Word: nie, start_time: 31.9, end_time: 32.1
Word: było, start_time: 32.1, end_time: 32.2
Word: Francuza, start_time: 32.2, end_time: 33.2
Word: który, start_time: 33.2, end_time: 33.8
Word: by, start_time: 33.8, end_time: 34.0
Word: się, start_time: 34.0, end_time: 34.2
Word: nie, start_time: 34.2, end_time: 34.4
Word: cudova, start_time: 34.4, end_time: 35.0
Word: za, start_time: 35.0, end_time: 35.7
Word: 20, start_time: 35.7, end_time: 36.2
Word: zakładników, start_time: 36.2, end_time: 36.7
Word: w, start_time: 36.7, end_time: 37.1
Word: których, start_time: 37.1, end_time: 37.4
Word: mu, start_time: 37.4, end_time: 37.6
Word: poślesz, start_time: 37.6, end_time: 38.1
Word: odjedzie, start_time: 38.1, end_time: 39.5
Word: król, start_time: 39.5, end_time: 40.1
Word: do, start_time: 40.1, end_time: 40.3
Word: słodkiej, start_time: 40.3, end_time: 40.8
Word: Francji, start_time: 40.8, end_time: 41.5
Word: zostawi, start_time: 41.5, end_time: 42.5
Word: za, start_time: 42.5, end_time: 42.6
Word: sobą, start_time: 42.6, end_time: 42.9
Word: swoją, start_time: 42.9, end_time: 43.4
Word: tylną, start_time: 43.4, end_time: 43.9
Word: straż, start_time: 43.9, end_time: 44.4
Word: będzie, start_time: 44.4, end_time: 45.5
Word: w, start_time: 45.5, end_time: 45.5
Word: niej, start_time: 45.5, end_time: 45.8
Word: sądzę, start_time: 45.8, end_time: 46.2
Word: siostrzany, start_time: 46.2, end_time: 47.6
Word: jego, start_time: 47.6, end_time: 47.9
Word: Roland, start_time: 47.9, end_time: 48.5
Word: Pakosz, start_time: 48.5, end_time: 49.4
Word: Oliwier, start_time: 49.4, end_time: 50.3
Word: waleczny, start_time: 50.3, end_time: 51.2
Word: i, start_time: 51.2, end_time: 51.3
Word: dworny, start_time: 51.3, end_time: 51.9
Word: zginąć, start_time: 51.9, end_time: 53.2
Word: e2e, start_time: 53.2, end_time: 53.6
Word: hrabiowie, start_time: 53.6, end_time: 54.2
Word: Jeśli, start_time: 54.2, end_time: 55.2
Word: zechcecie, start_time: 55.2, end_time: 55.8
Word: mnie, start_time: 55.8, end_time: 56.1
Word: posłuchać, start_time: 56.1, end_time: 56.7
Word: upadnie, start_time: 56.7, end_time: 58.0
Word: wielka, start_time: 58.0, end_time: 58.5
Word: duma, start_time: 58.5, end_time: 58.9
Word: karolowa, start_time: 58.9, end_time: 59.6
Transcript: odejdzie mu ochota wojować przeciw tobie
Confidence: 0.8181796073913574
Word: odejdzie, start_time: 60.0, end_time: 60.9
Word: mu, start_time: 60.9, end_time: 61.1
Word: ochota, start_time: 61.1, end_time: 61.6
Word: wojować, start_time: 61.6, end_time: 62.3
Word: przeciw, start_time: 62.3, end_time: 62.8
Word: tobie, start_time: 62.8, end_time: 63.0
