Waiting for operation to complete...
Transcript: 46 marsyl powiada układ nic nie wart jeśli minie przecież zdradzić Rolanda ganelon rzeczy niech się stanie jak tego pragniesz na relikwie swego miecza muggle ja zaprzysiągł zdradę i o to co uczynił
Confidence: 0.894485592842102
Word: 46, start_time: 0.0, end_time: 1.5
Word: marsyl, start_time: 1.5, end_time: 3.3
Word: powiada, start_time: 3.3, end_time: 3.8
Word: układ, start_time: 3.8, end_time: 4.9
Word: nic, start_time: 4.9, end_time: 5.5
Word: nie, start_time: 5.5, end_time: 5.7
Word: wart, start_time: 5.7, end_time: 6.0
Word: jeśli, start_time: 6.0, end_time: 7.0
Word: minie, start_time: 7.0, end_time: 7.3
Word: przecież, start_time: 7.3, end_time: 7.5
Word: zdradzić, start_time: 7.5, end_time: 9.1
Word: Rolanda, start_time: 9.1, end_time: 9.8
Word: ganelon, start_time: 9.8, end_time: 11.5
Word: rzeczy, start_time: 11.5, end_time: 11.9
Word: niech, start_time: 11.9, end_time: 13.0
Word: się, start_time: 13.0, end_time: 13.1
Word: stanie, start_time: 13.1, end_time: 13.5
Word: jak, start_time: 13.5, end_time: 14.2
Word: tego, start_time: 14.2, end_time: 14.4
Word: pragniesz, start_time: 14.4, end_time: 15.0
Word: na, start_time: 15.0, end_time: 16.0
Word: relikwie, start_time: 16.0, end_time: 16.4
Word: swego, start_time: 16.4, end_time: 17.1
Word: miecza, start_time: 17.1, end_time: 17.6
Word: muggle, start_time: 17.6, end_time: 18.5
Word: ja, start_time: 18.5, end_time: 18.8
Word: zaprzysiągł, start_time: 18.8, end_time: 20.1
Word: zdradę, start_time: 20.1, end_time: 20.8
Word: i, start_time: 20.8, end_time: 20.9
Word: o, start_time: 20.9, end_time: 21.7
Word: to, start_time: 21.7, end_time: 22.1
Word: co, start_time: 22.1, end_time: 22.4
Word: uczynił, start_time: 22.4, end_time: 23.2
