Waiting for operation to complete...
Transcript: 48 zaczym przybywa poganin nie który waldbronn zbliża się do króla marsyla śmiejąc się głośno powiada do ganelona weź mój miecz nikt nie ma lepszego sama rękojeść Warta więcej niż tysiąc mango nów przez przyjaźń miły panie daje ci go a ty pomożesz nam tak abyśmy byli w tylnej straży Rolanda tak się stanie odpowiada hrabia ganelon zaczął całowali się w twarz brodę
Confidence: 0.9198840856552124
Word: 48, start_time: 0.0, end_time: 1.7000000000000002
Word: zaczym, start_time: 1.7000000000000002, end_time: 2.7
Word: przybywa, start_time: 2.7, end_time: 3.3
Word: poganin, start_time: 3.3, end_time: 4.0
Word: nie, start_time: 4.0, end_time: 4.2
Word: który, start_time: 4.2, end_time: 4.7
Word: waldbronn, start_time: 4.7, end_time: 6.4
Word: zbliża, start_time: 6.4, end_time: 7.8
Word: się, start_time: 7.8, end_time: 7.9
Word: do, start_time: 7.9, end_time: 8.0
Word: króla, start_time: 8.0, end_time: 8.3
Word: marsyla, start_time: 8.3, end_time: 9.0
Word: śmiejąc, start_time: 9.0, end_time: 10.2
Word: się, start_time: 10.2, end_time: 10.2
Word: głośno, start_time: 10.2, end_time: 10.8
Word: powiada, start_time: 10.8, end_time: 11.7
Word: do, start_time: 11.7, end_time: 11.9
Word: ganelona, start_time: 11.9, end_time: 12.6
Word: weź, start_time: 12.6, end_time: 13.7
Word: mój, start_time: 13.7, end_time: 13.9
Word: miecz, start_time: 13.9, end_time: 14.0
Word: nikt, start_time: 14.0, end_time: 15.3
Word: nie, start_time: 15.3, end_time: 15.5
Word: ma, start_time: 15.5, end_time: 15.6
Word: lepszego, start_time: 15.6, end_time: 16.0
Word: sama, start_time: 16.0, end_time: 16.9
Word: rękojeść, start_time: 16.9, end_time: 17.6
Word: Warta, start_time: 17.6, end_time: 18.0
Word: więcej, start_time: 18.0, end_time: 18.2
Word: niż, start_time: 18.2, end_time: 18.8
Word: tysiąc, start_time: 18.8, end_time: 19.4
Word: mango, start_time: 19.4, end_time: 19.9
Word: nów, start_time: 19.9, end_time: 20.2
Word: przez, start_time: 20.2, end_time: 21.6
Word: przyjaźń, start_time: 21.6, end_time: 22.3
Word: miły, start_time: 22.3, end_time: 22.9
Word: panie, start_time: 22.9, end_time: 23.2
Word: daje, start_time: 23.2, end_time: 23.8
Word: ci, start_time: 23.8, end_time: 24.0
Word: go, start_time: 24.0, end_time: 24.1
Word: a, start_time: 24.1, end_time: 24.3
Word: ty, start_time: 24.3, end_time: 25.0
Word: pomożesz, start_time: 25.0, end_time: 25.7
Word: nam, start_time: 25.7, end_time: 26.0
Word: tak, start_time: 26.0, end_time: 26.3
Word: abyśmy, start_time: 26.3, end_time: 27.1
Word: byli, start_time: 27.1, end_time: 27.2
Word: w, start_time: 27.2, end_time: 27.9
Word: tylnej, start_time: 27.9, end_time: 28.4
Word: straży, start_time: 28.4, end_time: 29.0
Word: Rolanda, start_time: 29.0, end_time: 29.8
Word: tak, start_time: 29.8, end_time: 30.5
Word: się, start_time: 30.5, end_time: 30.7
Word: stanie, start_time: 30.7, end_time: 31.1
Word: odpowiada, start_time: 31.1, end_time: 32.2
Word: hrabia, start_time: 32.2, end_time: 32.7
Word: ganelon, start_time: 32.7, end_time: 33.2
Word: zaczął, start_time: 33.2, end_time: 34.3
Word: całowali, start_time: 34.3, end_time: 35.2
Word: się, start_time: 35.2, end_time: 35.2
Word: w, start_time: 35.2, end_time: 35.4
Word: twarz, start_time: 35.4, end_time: 35.6
Word: brodę, start_time: 35.6, end_time: 36.5
