Waiting for operation to complete...
Transcript: 62 za czym podszedł naim nie było na dworze lepszego wasala życzę królowi słyszałeś królu hrabia Roland przepełniony jest gniewem oto przeznaczono go do tylnej straży nie ma Barona który by mógł to zmienić Daj mu łuk który napiął ś i przy Daj mu tą pomoc król dał Roland go przyjął
Confidence: 0.8904156684875488
Word: 62, start_time: 0.0, end_time: 1.4
Word: za, start_time: 1.4, end_time: 2.2
Word: czym, start_time: 2.2, end_time: 2.4
Word: podszedł, start_time: 2.4, end_time: 3.1
Word: naim, start_time: 3.1, end_time: 3.7
Word: nie, start_time: 3.7, end_time: 4.7
Word: było, start_time: 4.7, end_time: 4.9
Word: na, start_time: 4.9, end_time: 5.0
Word: dworze, start_time: 5.0, end_time: 5.4
Word: lepszego, start_time: 5.4, end_time: 5.8
Word: wasala, start_time: 5.8, end_time: 6.4
Word: życzę, start_time: 6.4, end_time: 7.6
Word: królowi, start_time: 7.6, end_time: 8.1
Word: słyszałeś, start_time: 8.1, end_time: 9.5
Word: królu, start_time: 9.5, end_time: 10.0
Word: hrabia, start_time: 10.0, end_time: 11.0
Word: Roland, start_time: 11.0, end_time: 11.2
Word: przepełniony, start_time: 11.2, end_time: 12.3
Word: jest, start_time: 12.3, end_time: 12.5
Word: gniewem, start_time: 12.5, end_time: 13.0
Word: oto, start_time: 13.0, end_time: 14.0
Word: przeznaczono, start_time: 14.0, end_time: 14.8
Word: go, start_time: 14.8, end_time: 15.0
Word: do, start_time: 15.0, end_time: 15.2
Word: tylnej, start_time: 15.2, end_time: 15.7
Word: straży, start_time: 15.7, end_time: 16.3
Word: nie, start_time: 16.3, end_time: 17.0
Word: ma, start_time: 17.0, end_time: 17.2
Word: Barona, start_time: 17.2, end_time: 17.7
Word: który, start_time: 17.7, end_time: 18.2
Word: by, start_time: 18.2, end_time: 18.5
Word: mógł, start_time: 18.5, end_time: 18.7
Word: to, start_time: 18.7, end_time: 19.0
Word: zmienić, start_time: 19.0, end_time: 19.6
Word: Daj, start_time: 19.6, end_time: 20.8
Word: mu, start_time: 20.8, end_time: 21.0
Word: łuk, start_time: 21.0, end_time: 21.3
Word: który, start_time: 21.3, end_time: 21.7
Word: napiął, start_time: 21.7, end_time: 22.2
Word: ś, start_time: 22.2, end_time: 22.4
Word: i, start_time: 22.4, end_time: 22.6
Word: przy, start_time: 22.6, end_time: 23.2
Word: Daj, start_time: 23.2, end_time: 23.5
Word: mu, start_time: 23.5, end_time: 23.6
Word: tą, start_time: 23.6, end_time: 23.9
Word: pomoc, start_time: 23.9, end_time: 24.8
Word: król, start_time: 24.8, end_time: 26.4
Word: dał, start_time: 26.4, end_time: 26.7
Word: Roland, start_time: 26.7, end_time: 28.5
Word: go, start_time: 28.5, end_time: 28.6
Word: przyjął, start_time: 28.6, end_time: 29.0
