Waiting for operation to complete...
Transcript: 63 cesarz rzekł do swego siostrzeńca Rolanda miły siostrzeniec to dobrze daje ci i zostawiam połowę tego wojska Zatrzymaj je to twoje zbawienie hrabia rzekł nie uczynię tego niech mnie Bóg po hańbi jeśli zadam kłamią gotowi zatrzymam 20000 dzielnych Francuzów całkiem bezpiecznie przechodzić królu wąwozy nie potrzebujesz lękać się nikogo póki Ja żyję
Confidence: 0.9228870272636414
Word: 63, start_time: 0.0, end_time: 1.3
Word: cesarz, start_time: 1.3, end_time: 2.5
Word: rzekł, start_time: 2.5, end_time: 3.3
Word: do, start_time: 3.3, end_time: 3.5
Word: swego, start_time: 3.5, end_time: 3.9
Word: siostrzeńca, start_time: 3.9, end_time: 4.8
Word: Rolanda, start_time: 4.8, end_time: 5.3
Word: miły, start_time: 5.3, end_time: 6.5
Word: siostrzeniec, start_time: 6.5, end_time: 7.5
Word: to, start_time: 7.5, end_time: 8.9
Word: dobrze, start_time: 8.9, end_time: 9.4
Word: daje, start_time: 9.4, end_time: 10.2
Word: ci, start_time: 10.2, end_time: 10.4
Word: i, start_time: 10.4, end_time: 10.5
Word: zostawiam, start_time: 10.5, end_time: 11.3
Word: połowę, start_time: 11.3, end_time: 12.0
Word: tego, start_time: 12.0, end_time: 12.2
Word: wojska, start_time: 12.2, end_time: 12.6
Word: Zatrzymaj, start_time: 12.6, end_time: 14.1
Word: je, start_time: 14.1, end_time: 14.4
Word: to, start_time: 14.4, end_time: 15.0
Word: twoje, start_time: 15.0, end_time: 15.2
Word: zbawienie, start_time: 15.2, end_time: 15.6
Word: hrabia, start_time: 15.6, end_time: 17.5
Word: rzekł, start_time: 17.5, end_time: 17.9
Word: nie, start_time: 17.9, end_time: 19.0
Word: uczynię, start_time: 19.0, end_time: 19.4
Word: tego, start_time: 19.4, end_time: 19.8
Word: niech, start_time: 19.8, end_time: 20.5
Word: mnie, start_time: 20.5, end_time: 20.8
Word: Bóg, start_time: 20.8, end_time: 21.1
Word: po, start_time: 21.1, end_time: 21.3
Word: hańbi, start_time: 21.3, end_time: 21.8
Word: jeśli, start_time: 21.8, end_time: 22.5
Word: zadam, start_time: 22.5, end_time: 23.0
Word: kłamią, start_time: 23.0, end_time: 23.7
Word: gotowi, start_time: 23.7, end_time: 24.4
Word: zatrzymam, start_time: 24.4, end_time: 25.8
Word: 20000, start_time: 25.8, end_time: 27.0
Word: dzielnych, start_time: 27.0, end_time: 27.4
Word: Francuzów, start_time: 27.4, end_time: 28.0
Word: całkiem, start_time: 28.0, end_time: 29.0
Word: bezpiecznie, start_time: 29.0, end_time: 29.7
Word: przechodzić, start_time: 29.7, end_time: 30.3
Word: królu, start_time: 30.3, end_time: 30.8
Word: wąwozy, start_time: 30.8, end_time: 31.4
Word: nie, start_time: 31.4, end_time: 32.1
Word: potrzebujesz, start_time: 32.1, end_time: 32.7
Word: lękać, start_time: 32.7, end_time: 33.2
Word: się, start_time: 33.2, end_time: 33.3
Word: nikogo, start_time: 33.3, end_time: 33.8
Word: póki, start_time: 33.8, end_time: 34.6
Word: Ja, start_time: 34.6, end_time: 34.9
Word: żyję, start_time: 34.9, end_time: 35.3
