Waiting for operation to complete...
Transcript: 65 hrabia Roland woła God tier shun weź 1000 Francuzów z Francji naszej ziemi i opisać wąwozy Wzgórza tak żeby cesarz nie stracił ani jednego człowieka z tych którzy są przy nim bo tier odpowiada dla ciebie muszę to uczynić z tysiącem Francuzów z Francji która jest ich ziemią God tier wychodzi z szeregów i śpieszy na wąwozy i Wzgórza mimo najgorszych Nowin nie zejdzie stamtąd niezliczone miecze nie błysną z pochwy tegoż samego dnia król almaris z Belfer 2 im okrutną bitwę
Confidence: 0.943646252155304
Word: 65, start_time: 0.0, end_time: 1.3
Word: hrabia, start_time: 1.3, end_time: 2.7
Word: Roland, start_time: 2.7, end_time: 3.0
Word: woła, start_time: 3.0, end_time: 3.8
Word: God, start_time: 3.8, end_time: 4.1
Word: tier, start_time: 4.1, end_time: 4.5
Word: shun, start_time: 4.5, end_time: 5.2
Word: weź, start_time: 5.2, end_time: 6.6
Word: 1000, start_time: 6.6, end_time: 7.1
Word: Francuzów, start_time: 7.1, end_time: 7.7
Word: z, start_time: 7.7, end_time: 7.8
Word: Francji, start_time: 7.8, end_time: 8.6
Word: naszej, start_time: 8.6, end_time: 9.3
Word: ziemi, start_time: 9.3, end_time: 9.4
Word: i, start_time: 9.4, end_time: 10.0
Word: opisać, start_time: 10.0, end_time: 11.0
Word: wąwozy, start_time: 11.0, end_time: 11.6
Word: Wzgórza, start_time: 11.6, end_time: 12.4
Word: tak, start_time: 12.4, end_time: 12.7
Word: żeby, start_time: 12.7, end_time: 13.6
Word: cesarz, start_time: 13.6, end_time: 14.1
Word: nie, start_time: 14.1, end_time: 14.7
Word: stracił, start_time: 14.7, end_time: 15.2
Word: ani, start_time: 15.2, end_time: 15.6
Word: jednego, start_time: 15.6, end_time: 16.0
Word: człowieka, start_time: 16.0, end_time: 16.4
Word: z, start_time: 16.4, end_time: 16.6
Word: tych, start_time: 16.6, end_time: 16.9
Word: którzy, start_time: 16.9, end_time: 17.6
Word: są, start_time: 17.6, end_time: 17.9
Word: przy, start_time: 17.9, end_time: 18.2
Word: nim, start_time: 18.2, end_time: 18.5
Word: bo, start_time: 18.5, end_time: 19.3
Word: tier, start_time: 19.3, end_time: 19.7
Word: odpowiada, start_time: 19.7, end_time: 20.5
Word: dla, start_time: 20.5, end_time: 21.3
Word: ciebie, start_time: 21.3, end_time: 21.8
Word: muszę, start_time: 21.8, end_time: 22.1
Word: to, start_time: 22.1, end_time: 22.4
Word: uczynić, start_time: 22.4, end_time: 22.6
Word: z, start_time: 22.6, end_time: 23.2
Word: tysiącem, start_time: 23.2, end_time: 24.3
Word: Francuzów, start_time: 24.3, end_time: 25.0
Word: z, start_time: 25.0, end_time: 25.1
Word: Francji, start_time: 25.1, end_time: 25.8
Word: która, start_time: 25.8, end_time: 26.5
Word: jest, start_time: 26.5, end_time: 26.8
Word: ich, start_time: 26.8, end_time: 27.1
Word: ziemią, start_time: 27.1, end_time: 27.5
Word: God, start_time: 27.5, end_time: 28.4
Word: tier, start_time: 28.4, end_time: 28.7
Word: wychodzi, start_time: 28.7, end_time: 29.4
Word: z, start_time: 29.4, end_time: 29.5
Word: szeregów, start_time: 29.5, end_time: 30.1
Word: i, start_time: 30.1, end_time: 30.4
Word: śpieszy, start_time: 30.4, end_time: 31.2
Word: na, start_time: 31.2, end_time: 31.4
Word: wąwozy, start_time: 31.4, end_time: 32.0
Word: i, start_time: 32.0, end_time: 32.0
Word: Wzgórza, start_time: 32.0, end_time: 32.7
Word: mimo, start_time: 32.7, end_time: 34.0
Word: najgorszych, start_time: 34.0, end_time: 34.7
Word: Nowin, start_time: 34.7, end_time: 35.1
Word: nie, start_time: 35.1, end_time: 35.8
Word: zejdzie, start_time: 35.8, end_time: 36.2
Word: stamtąd, start_time: 36.2, end_time: 36.6
Word: niezliczone, start_time: 36.6, end_time: 37.9
Word: miecze, start_time: 37.9, end_time: 38.3
Word: nie, start_time: 38.3, end_time: 38.8
Word: błysną, start_time: 38.8, end_time: 39.3
Word: z, start_time: 39.3, end_time: 39.4
Word: pochwy, start_time: 39.4, end_time: 39.8
Word: tegoż, start_time: 39.8, end_time: 40.8
Word: samego, start_time: 40.8, end_time: 40.9
Word: dnia, start_time: 40.9, end_time: 41.3
Word: król, start_time: 41.3, end_time: 42.4
Word: almaris, start_time: 42.4, end_time: 43.4
Word: z, start_time: 43.4, end_time: 43.7
Word: Belfer, start_time: 43.7, end_time: 44.4
Word: 2, start_time: 44.4, end_time: 45.3
Word: im, start_time: 45.3, end_time: 45.7
Word: okrutną, start_time: 45.7, end_time: 46.6
Word: bitwę, start_time: 46.6, end_time: 47.1
