Waiting for operation to complete...
Transcript: rozdział 15 który opisuje Kto był Rycerz zwierciadlany i giermek z wielkim nosem Don Kichot postępował w triumfie pyszny zwycięstwem jakie odniósł nad rycerzem zwierciadlany którego uważał za najważniejszego sądził że odtąd nic już do jego sławy nie brakuje wreszcie ufający słowo tak uroczyście przez rycerza danemu którego nie mógłby Nie dotrzymać bez obrażenia praw rycerskich i jak tylko ustaniem odczarowania spodziewał się wkrótce mieć wiadomość od dulcynei ale Don Kichot myślał o tym a rycerz zwierciadlany znów zupełnie o czym innym myślał on o największym wyleczeniu się na żeby był w stanie Nowy swój zamiar wykonać jednak że autor niechcący czytelnika narazić na najmniejszą wątpliwość powiadasz bakałarz Samsung
Confidence: 0.949504017829895
Word: rozdział, start_time: 0.0, end_time: 0.8
Word: 15, start_time: 0.8, end_time: 1.5
Word: który, start_time: 1.5, end_time: 2.8
Word: opisuje, start_time: 2.8, end_time: 3.3
Word: Kto, start_time: 3.3, end_time: 3.9
Word: był, start_time: 3.9, end_time: 4.1
Word: Rycerz, start_time: 4.1, end_time: 4.6
Word: zwierciadlany, start_time: 4.6, end_time: 5.5
Word: i, start_time: 5.5, end_time: 5.6
Word: giermek, start_time: 5.6, end_time: 6.3
Word: z, start_time: 6.3, end_time: 6.6
Word: wielkim, start_time: 6.6, end_time: 7.2
Word: nosem, start_time: 7.2, end_time: 7.2
Word: Don, start_time: 7.2, end_time: 8.6
Word: Kichot, start_time: 8.6, end_time: 8.9
Word: postępował, start_time: 8.9, end_time: 9.5
Word: w, start_time: 9.5, end_time: 9.6
Word: triumfie, start_time: 9.6, end_time: 10.3
Word: pyszny, start_time: 10.3, end_time: 11.2
Word: zwycięstwem, start_time: 11.2, end_time: 12.0
Word: jakie, start_time: 12.0, end_time: 12.6
Word: odniósł, start_time: 12.6, end_time: 13.1
Word: nad, start_time: 13.1, end_time: 13.6
Word: rycerzem, start_time: 13.6, end_time: 14.1
Word: zwierciadlany, start_time: 14.1, end_time: 14.9
Word: którego, start_time: 14.9, end_time: 15.7
Word: uważał, start_time: 15.7, end_time: 16.3
Word: za, start_time: 16.3, end_time: 16.4
Word: najważniejszego, start_time: 16.4, end_time: 17.6
Word: sądził, start_time: 17.6, end_time: 18.7
Word: że, start_time: 18.7, end_time: 18.8
Word: odtąd, start_time: 18.8, end_time: 19.7
Word: nic, start_time: 19.7, end_time: 20.4
Word: już, start_time: 20.4, end_time: 20.8
Word: do, start_time: 20.8, end_time: 21.0
Word: jego, start_time: 21.0, end_time: 21.2
Word: sławy, start_time: 21.2, end_time: 21.7
Word: nie, start_time: 21.7, end_time: 21.8
Word: brakuje, start_time: 21.8, end_time: 22.3
Word: wreszcie, start_time: 22.3, end_time: 23.4
Word: ufający, start_time: 23.4, end_time: 24.4
Word: słowo, start_time: 24.4, end_time: 24.8
Word: tak, start_time: 24.8, end_time: 25.1
Word: uroczyście, start_time: 25.1, end_time: 25.7
Word: przez, start_time: 25.7, end_time: 26.3
Word: rycerza, start_time: 26.3, end_time: 26.9
Word: danemu, start_time: 26.9, end_time: 27.4
Word: którego, start_time: 27.4, end_time: 28.2
Word: nie, start_time: 28.2, end_time: 28.5
Word: mógłby, start_time: 28.5, end_time: 28.9
Word: Nie, start_time: 28.9, end_time: 29.0
Word: dotrzymać, start_time: 29.0, end_time: 29.6
Word: bez, start_time: 29.6, end_time: 30.2
Word: obrażenia, start_time: 30.2, end_time: 30.8
Word: praw, start_time: 30.8, end_time: 31.1
Word: rycerskich, start_time: 31.1, end_time: 31.9
Word: i, start_time: 31.9, end_time: 32.0
Word: jak, start_time: 32.0, end_time: 32.6
Word: tylko, start_time: 32.6, end_time: 32.8
Word: ustaniem, start_time: 32.8, end_time: 33.5
Word: odczarowania, start_time: 33.5, end_time: 34.5
Word: spodziewał, start_time: 34.5, end_time: 35.3
Word: się, start_time: 35.3, end_time: 35.4
Word: wkrótce, start_time: 35.4, end_time: 35.8
Word: mieć, start_time: 35.8, end_time: 36.4
Word: wiadomość, start_time: 36.4, end_time: 37.2
Word: od, start_time: 37.2, end_time: 37.6
Word: dulcynei, start_time: 37.6, end_time: 38.4
Word: ale, start_time: 38.4, end_time: 39.2
Word: Don, start_time: 39.2, end_time: 39.4
Word: Kichot, start_time: 39.4, end_time: 39.8
Word: myślał, start_time: 39.8, end_time: 40.3
Word: o, start_time: 40.3, end_time: 40.4
Word: tym, start_time: 40.4, end_time: 40.7
Word: a, start_time: 40.7, end_time: 40.9
Word: rycerz, start_time: 40.9, end_time: 41.9
Word: zwierciadlany, start_time: 41.9, end_time: 42.7
Word: znów, start_time: 42.7, end_time: 43.2
Word: zupełnie, start_time: 43.2, end_time: 43.8
Word: o, start_time: 43.8, end_time: 43.9
Word: czym, start_time: 43.9, end_time: 44.2
Word: innym, start_time: 44.2, end_time: 44.6
Word: myślał, start_time: 44.6, end_time: 45.9
Word: on, start_time: 45.9, end_time: 46.2
Word: o, start_time: 46.2, end_time: 46.3
Word: największym, start_time: 46.3, end_time: 47.6
Word: wyleczeniu, start_time: 47.6, end_time: 48.3
Word: się, start_time: 48.3, end_time: 48.4
Word: na, start_time: 48.4, end_time: 49.0
Word: żeby, start_time: 49.0, end_time: 49.2
Word: był, start_time: 49.2, end_time: 49.5
Word: w, start_time: 49.5, end_time: 49.6
Word: stanie, start_time: 49.6, end_time: 49.9
Word: Nowy, start_time: 49.9, end_time: 50.5
Word: swój, start_time: 50.5, end_time: 50.9
Word: zamiar, start_time: 50.9, end_time: 51.2
