Waiting for operation to complete...
Transcript: 69 bratanek marsyla Wysunął się naprzód na mule którego popędza różdżką rzeczy do stryja śmiejąc się głośno miły panie królu długo ci służył m a miałem za całą zapłatę cierpienia i trudy tyle wydanych i wygranych bitew Daj mi lenno łaskę zadania rolandowi 1 czasu Zabiję go moja ostra włócznia jeśli Mahomet raczej mnie mieć w opiece uwolnię wszystkie ziemię Hiszpanii od bramki Hiszpanii aż do durst and Karol będzie zmęczony Francuzi się poddadzą nie będziesz miał już wojny całe życie zaczyna król marsyl daję mu na to rękawice
Confidence: 0.9500337243080139
Word: 69, start_time: 0.0, end_time: 1.4
Word: bratanek, start_time: 1.4, end_time: 3.0
Word: marsyla, start_time: 3.0, end_time: 3.7
Word: Wysunął, start_time: 3.7, end_time: 4.3
Word: się, start_time: 4.3, end_time: 4.4
Word: naprzód, start_time: 4.4, end_time: 5.0
Word: na, start_time: 5.0, end_time: 5.3
Word: mule, start_time: 5.3, end_time: 5.6
Word: którego, start_time: 5.6, end_time: 6.4
Word: popędza, start_time: 6.4, end_time: 7.0
Word: różdżką, start_time: 7.0, end_time: 7.6
Word: rzeczy, start_time: 7.6, end_time: 8.7
Word: do, start_time: 8.7, end_time: 8.8
Word: stryja, start_time: 8.8, end_time: 9.1
Word: śmiejąc, start_time: 9.1, end_time: 9.9
Word: się, start_time: 9.9, end_time: 10.0
Word: głośno, start_time: 10.0, end_time: 10.6
Word: miły, start_time: 10.6, end_time: 11.4
Word: panie, start_time: 11.4, end_time: 11.9
Word: królu, start_time: 11.9, end_time: 12.5
Word: długo, start_time: 12.5, end_time: 13.6
Word: ci, start_time: 13.6, end_time: 13.8
Word: służył, start_time: 13.8, end_time: 14.0
Word: m, start_time: 14.0, end_time: 14.4
Word: a, start_time: 14.4, end_time: 14.5
Word: miałem, start_time: 14.5, end_time: 15.2
Word: za, start_time: 15.2, end_time: 15.4
Word: całą, start_time: 15.4, end_time: 15.7
Word: zapłatę, start_time: 15.7, end_time: 16.4
Word: cierpienia, start_time: 16.4, end_time: 17.0
Word: i, start_time: 17.0, end_time: 17.1
Word: trudy, start_time: 17.1, end_time: 17.6
Word: tyle, start_time: 17.6, end_time: 18.7
Word: wydanych, start_time: 18.7, end_time: 19.3
Word: i, start_time: 19.3, end_time: 19.5
Word: wygranych, start_time: 19.5, end_time: 20.1
Word: bitew, start_time: 20.1, end_time: 20.3
Word: Daj, start_time: 20.3, end_time: 21.5
Word: mi, start_time: 21.5, end_time: 21.7
Word: lenno, start_time: 21.7, end_time: 22.2
Word: łaskę, start_time: 22.2, end_time: 23.6
Word: zadania, start_time: 23.6, end_time: 24.2
Word: rolandowi, start_time: 24.2, end_time: 24.8
Word: 1, start_time: 24.8, end_time: 25.5
Word: czasu, start_time: 25.5, end_time: 25.9
Word: Zabiję, start_time: 25.9, end_time: 27.2
Word: go, start_time: 27.2, end_time: 27.3
Word: moja, start_time: 27.3, end_time: 27.7
Word: ostra, start_time: 27.7, end_time: 28.2
Word: włócznia, start_time: 28.2, end_time: 28.8
Word: jeśli, start_time: 28.8, end_time: 29.9
Word: Mahomet, start_time: 29.9, end_time: 30.5
Word: raczej, start_time: 30.5, end_time: 30.9
Word: mnie, start_time: 30.9, end_time: 31.1
Word: mieć, start_time: 31.1, end_time: 31.4
Word: w, start_time: 31.4, end_time: 31.6
Word: opiece, start_time: 31.6, end_time: 31.8
Word: uwolnię, start_time: 31.8, end_time: 33.1
Word: wszystkie, start_time: 33.1, end_time: 33.6
Word: ziemię, start_time: 33.6, end_time: 33.9
Word: Hiszpanii, start_time: 33.9, end_time: 34.5
Word: od, start_time: 34.5, end_time: 35.1
Word: bramki, start_time: 35.1, end_time: 35.6
Word: Hiszpanii, start_time: 35.6, end_time: 36.1
Word: aż, start_time: 36.1, end_time: 36.6
Word: do, start_time: 36.6, end_time: 36.8
Word: durst, start_time: 36.8, end_time: 37.4
Word: and, start_time: 37.4, end_time: 37.7
Word: Karol, start_time: 37.7, end_time: 38.5
Word: będzie, start_time: 38.5, end_time: 38.9
Word: zmęczony, start_time: 38.9, end_time: 39.6
Word: Francuzi, start_time: 39.6, end_time: 40.5
Word: się, start_time: 40.5, end_time: 40.7
Word: poddadzą, start_time: 40.7, end_time: 41.2
Word: nie, start_time: 41.2, end_time: 42.0
Word: będziesz, start_time: 42.0, end_time: 42.4
Word: miał, start_time: 42.4, end_time: 42.7
Word: już, start_time: 42.7, end_time: 42.9
Word: wojny, start_time: 42.9, end_time: 43.5
Word: całe, start_time: 43.5, end_time: 43.9
Word: życie, start_time: 43.9, end_time: 44.4
Word: zaczyna, start_time: 44.4, end_time: 46.2
Word: król, start_time: 46.2, end_time: 46.9
Word: marsyl, start_time: 46.9, end_time: 47.3
Word: daję, start_time: 47.3, end_time: 48.4
Word: mu, start_time: 48.4, end_time: 48.5
Word: na, start_time: 48.5, end_time: 48.8
Word: to, start_time: 48.8, end_time: 48.9
Word: rękawice, start_time: 48.9, end_time: 49.7
