Waiting for operation to complete...
Transcript: 70 bratanek marsyla trzyma rękawice w garści rzeczy do króla dumny słowo miły panie królu uczyniłeś mi wielki Darłowo wybierz mi 12 ze swoich baronów z nimi będę walczył przeciw 12 parą wraz odpowiada Palace lone brat króla marsyla miłe bratanku pójdziemy wraz z obaj ty i ja i z pewnością 103 myte bitwę z tylnymi strażami wielkiej armii Karola rzecz postanowione wypijemy ich
Confidence: 0.9404299855232239
Word: 70, start_time: 0.0, end_time: 1.2
Word: bratanek, start_time: 1.2, end_time: 2.9
Word: marsyla, start_time: 2.9, end_time: 3.5
Word: trzyma, start_time: 3.5, end_time: 4.1
Word: rękawice, start_time: 4.1, end_time: 4.7
Word: w, start_time: 4.7, end_time: 4.7
Word: garści, start_time: 4.7, end_time: 5.3
Word: rzeczy, start_time: 5.3, end_time: 6.1
Word: do, start_time: 6.1, end_time: 6.2
Word: króla, start_time: 6.2, end_time: 6.6
Word: dumny, start_time: 6.6, end_time: 7.0
Word: słowo, start_time: 7.0, end_time: 7.5
Word: miły, start_time: 7.5, end_time: 8.9
Word: panie, start_time: 8.9, end_time: 9.2
Word: królu, start_time: 9.2, end_time: 9.8
Word: uczyniłeś, start_time: 9.8, end_time: 10.9
Word: mi, start_time: 10.9, end_time: 11.0
Word: wielki, start_time: 11.0, end_time: 11.5
Word: Darłowo, start_time: 11.5, end_time: 12.6
Word: wybierz, start_time: 12.6, end_time: 13.2
Word: mi, start_time: 13.2, end_time: 13.4
Word: 12, start_time: 13.4, end_time: 14.1
Word: ze, start_time: 14.1, end_time: 14.3
Word: swoich, start_time: 14.3, end_time: 14.7
Word: baronów, start_time: 14.7, end_time: 15.2
Word: z, start_time: 15.2, end_time: 15.4
Word: nimi, start_time: 15.4, end_time: 16.0
Word: będę, start_time: 16.0, end_time: 16.2
Word: walczył, start_time: 16.2, end_time: 16.7
Word: przeciw, start_time: 16.7, end_time: 17.4
Word: 12, start_time: 17.4, end_time: 18.0
Word: parą, start_time: 18.0, end_time: 18.4
Word: wraz, start_time: 18.4, end_time: 19.9
Word: odpowiada, start_time: 19.9, end_time: 20.7
Word: Palace, start_time: 20.7, end_time: 21.6
Word: lone, start_time: 21.6, end_time: 21.9
Word: brat, start_time: 21.9, end_time: 22.8
Word: króla, start_time: 22.8, end_time: 23.4
Word: marsyla, start_time: 23.4, end_time: 24.1
Word: miłe, start_time: 24.1, end_time: 24.9
Word: bratanku, start_time: 24.9, end_time: 25.6
Word: pójdziemy, start_time: 25.6, end_time: 26.6
Word: wraz, start_time: 26.6, end_time: 26.9
Word: z, start_time: 26.9, end_time: 26.9
Word: obaj, start_time: 26.9, end_time: 27.4
Word: ty, start_time: 27.4, end_time: 28.0
Word: i, start_time: 28.0, end_time: 28.1
Word: ja, start_time: 28.1, end_time: 28.5
Word: i, start_time: 28.5, end_time: 28.7
Word: z, start_time: 28.7, end_time: 29.3
Word: pewnością, start_time: 29.3, end_time: 29.6
Word: 103, start_time: 29.6, end_time: 30.4
Word: myte, start_time: 30.4, end_time: 30.6
Word: bitwę, start_time: 30.6, end_time: 31.0
Word: z, start_time: 31.0, end_time: 31.2
Word: tylnymi, start_time: 31.2, end_time: 31.9
Word: strażami, start_time: 31.9, end_time: 32.5
Word: wielkiej, start_time: 32.5, end_time: 33.1
Word: armii, start_time: 33.1, end_time: 33.5
Word: Karola, start_time: 33.5, end_time: 34.0
Word: rzecz, start_time: 34.0, end_time: 34.8
Word: postanowione, start_time: 34.8, end_time: 35.7
Word: wypijemy, start_time: 35.7, end_time: 36.8
Word: ich, start_time: 36.8, end_time: 37.1
