Waiting for operation to complete...
Transcript: wieczorem gdy już oddział dragoński od paru godzin znikł w lasach panasa mama wróciła do domu w towarzystwie Szczepana ze swojej kryjówki na górze pobiegnie obydwoje do rannego żeby dostać wyciągnąć i złożyć na posłaniu niezwłocznie też udali się nad rzekę ze zwłok Olbromskiego wypłynęło Tyle krwi że cały spłacheć ziemią nasionku panna salomea przysiadła przy zabitym nie mogła płakać człowiek który wczoraj Patrzę na nią rozumiem i dobrymi oczyma jedyny który mógłby zawierzyła leżał w postaci ze specjalnych szczątek nie rozumiała ani kolei zdarzenia Lee zależności wypadków od głębokich przyczyn ani tego straszliwego chaosu której osobie obracał jak Młyńskie Koło kropelki wody nie wiedziała że i ona sama jest maleńką przyczyną obrotu wielkiego koła nie mógł jej tego wszystkiego wytłumaczyć ojciec prosty wierny żołnierz Aniela minute
Confidence: 0.9703623056411743
Word: wieczorem, start_time: 0.0, end_time: 1.1
Word: gdy, start_time: 1.1, end_time: 1.4
Word: już, start_time: 1.4, end_time: 1.5
Word: oddział, start_time: 1.5, end_time: 1.9
Word: dragoński, start_time: 1.9, end_time: 2.4
Word: od, start_time: 2.4, end_time: 2.5
Word: paru, start_time: 2.5, end_time: 2.7
Word: godzin, start_time: 2.7, end_time: 3.0
Word: znikł, start_time: 3.0, end_time: 3.5
Word: w, start_time: 3.5, end_time: 3.7
Word: lasach, start_time: 3.7, end_time: 4.1
Word: panasa, start_time: 4.1, end_time: 5.1
Word: mama, start_time: 5.1, end_time: 5.3
Word: wróciła, start_time: 5.3, end_time: 5.9
Word: do, start_time: 5.9, end_time: 6.0
Word: domu, start_time: 6.0, end_time: 6.3
Word: w, start_time: 6.3, end_time: 6.3
Word: towarzystwie, start_time: 6.3, end_time: 6.8
Word: Szczepana, start_time: 6.8, end_time: 6.9
Word: ze, start_time: 6.9, end_time: 7.5
Word: swojej, start_time: 7.5, end_time: 7.8
Word: kryjówki, start_time: 7.8, end_time: 8.0
Word: na, start_time: 8.0, end_time: 8.3
Word: górze, start_time: 8.3, end_time: 8.6
Word: pobiegnie, start_time: 8.6, end_time: 10.2
Word: obydwoje, start_time: 10.2, end_time: 10.7
Word: do, start_time: 10.7, end_time: 10.8
Word: rannego, start_time: 10.8, end_time: 11.1
Word: żeby, start_time: 11.1, end_time: 11.5
Word: dostać, start_time: 11.5, end_time: 11.8
Word: wyciągnąć, start_time: 11.8, end_time: 12.5
Word: i, start_time: 12.5, end_time: 12.6
Word: złożyć, start_time: 12.6, end_time: 13.0
Word: na, start_time: 13.0, end_time: 13.2
Word: posłaniu, start_time: 13.2, end_time: 13.6
Word: niezwłocznie, start_time: 13.6, end_time: 14.7
Word: też, start_time: 14.7, end_time: 15.0
Word: udali, start_time: 15.0, end_time: 15.4
Word: się, start_time: 15.4, end_time: 15.5
Word: nad, start_time: 15.5, end_time: 15.6
Word: rzekę, start_time: 15.6, end_time: 16.0
Word: ze, start_time: 16.0, end_time: 16.7
Word: zwłok, start_time: 16.7, end_time: 17.0
Word: Olbromskiego, start_time: 17.0, end_time: 17.5
Word: wypłynęło, start_time: 17.5, end_time: 18.9
Word: Tyle, start_time: 18.9, end_time: 19.2
Word: krwi, start_time: 19.2, end_time: 19.8
Word: że, start_time: 19.8, end_time: 20.8
Word: cały, start_time: 20.8, end_time: 21.1
Word: spłacheć, start_time: 21.1, end_time: 21.7
Word: ziemią, start_time: 21.7, end_time: 22.4
Word: nasionku, start_time: 22.4, end_time: 23.1
Word: panna, start_time: 23.1, end_time: 24.2
Word: salomea, start_time: 24.2, end_time: 24.7
Word: przysiadła, start_time: 24.7, end_time: 25.4
Word: przy, start_time: 25.4, end_time: 25.5
Word: zabitym, start_time: 25.5, end_time: 26.0
Word: nie, start_time: 26.0, end_time: 26.9
Word: mogła, start_time: 26.9, end_time: 27.2
Word: płakać, start_time: 27.2, end_time: 27.6
Word: człowiek, start_time: 27.6, end_time: 28.9
Word: który, start_time: 28.9, end_time: 29.2
Word: wczoraj, start_time: 29.2, end_time: 29.4
Word: Patrzę, start_time: 29.4, end_time: 30.5
Word: na, start_time: 30.5, end_time: 30.7
Word: nią, start_time: 30.7, end_time: 30.9
Word: rozumiem, start_time: 30.9, end_time: 31.4
Word: i, start_time: 31.4, end_time: 31.5
Word: dobrymi, start_time: 31.5, end_time: 31.9
Word: oczyma, start_time: 31.9, end_time: 32.3
Word: jedyny, start_time: 32.3, end_time: 33.2
Word: który, start_time: 33.2, end_time: 33.4
Word: mógłby, start_time: 33.4, end_time: 33.7
Word: zawierzyła, start_time: 33.7, end_time: 34.7
Word: leżał, start_time: 34.7, end_time: 36.0
Word: w, start_time: 36.0, end_time: 36.1
Word: postaci, start_time: 36.1, end_time: 36.7
Word: ze, start_time: 36.7, end_time: 37.4
Word: specjalnych, start_time: 37.4, end_time: 38.0
Word: szczątek, start_time: 38.0, end_time: 38.5
Word: nie, start_time: 38.5, end_time: 40.0
Word: rozumiała, start_time: 40.0, end_time: 40.5
Word: ani, start_time: 40.5, end_time: 40.7
Word: kolei, start_time: 40.7, end_time: 41.0
Word: zdarzenia, start_time: 41.0, end_time: 41.5
Word: Lee, start_time: 41.5, end_time: 41.7
Word: zależności, start_time: 41.7, end_time: 43.1
Word: wypadków, start_time: 43.1, end_time: 43.7
Word: od, start_time: 43.7, end_time: 43.9
Word: głębokich, start_time: 43.9, end_time: 44.5
Word: przyczyn, start_time: 44.5, end_time: 44.9
Word: ani, start_time: 44.9, end_time: 45.8
Word: tego, start_time: 45.8, end_time: 46.0
Word: straszliwego, start_time: 46.0, end_time: 46.3
Word: chaosu, start_time: 46.3, end_time: 47.0
Word: której, start_time: 47.0, end_time: 47.3
Word: osobie, start_time: 47.3, end_time: 47.7
Word: obracał, start_time: 47.7, end_time: 48.2
Word: jak, start_time: 48.2, end_time: 48.2
Word: Młyńskie, start_time: 48.2, end_time: 48.8
Word: Koło, start_time: 48.8, end_time: 49.1
Word: kropelki, start_time: 49.1, end_time: 49.7
Word: wody, start_time: 49.7, end_time: 49.9
Word: nie, start_time: 49.9, end_time: 51.0
Word: wiedziała, start_time: 51.0, end_time: 51.4
Word: że, start_time: 51.4, end_time: 51.5
Word: i, start_time: 51.5, end_time: 51.6
Word: ona, start_time: 51.6, end_time: 51.9
Word: sama, start_time: 51.9, end_time: 52.1
Word: jest, start_time: 52.1, end_time: 52.3
Word: maleńką, start_time: 52.3, end_time: 52.8
Word: przyczyną, start_time: 52.8, end_time: 53.3
Word: obrotu, start_time: 53.3, end_time: 53.8
Word: wielkiego, start_time: 53.8, end_time: 54.2
Word: koła, start_time: 54.2, end_time: 54.6
Word: nie, start_time: 54.6, end_time: 55.8
Word: mógł, start_time: 55.8, end_time: 56.1
Word: jej, start_time: 56.1, end_time: 56.3
Word: tego, start_time: 56.3, end_time: 56.5
Word: wszystkiego, start_time: 56.5, end_time: 56.9
Word: wytłumaczyć, start_time: 56.9, end_time: 57.5
Word: ojciec, start_time: 57.5, end_time: 58.0
Word: prosty, start_time: 58.0, end_time: 58.5
Word: wierny, start_time: 58.5, end_time: 58.8
Word: żołnierz, start_time: 58.8, end_time: 59.2
Word: Aniela, start_time: 59.2, end_time: 59.7
Word: minute, start_time: 59.7, end_time: 59.9
Transcript: taniec proste entuzjasta ani nikt z ludzi przyciągany przez ten dom w których się stało jak się publiczne czuła że jedni rzucili się w ogniu walki wskutek zaślepienia które mieli czy nie mierzy inni pochłonięci przez błędny rachunek inni porwani przez Wielki sen Wolności albo jej nadzieję jeszcze inni wzrostu dla mody idąc w stadzie innis tchórzostwa przed opinią ten jeden wczorajszy gość wiedział co Cały chaos znaczy mierzył jego siłę badał kierunek i nastawiał go na jakąś sobie Wiadomo drogę On byłby jej wytłumaczył wszystko byłby nauczył co znaczą zdarzenia bo mądrości sprawiedliwość świeciły się w jego oczach jak gwiazdy w nocy leczo to ten Właśnie leżę w jej nóg z głową rozciętą z której doby Pałasz W upał mózg
Confidence: 0.8270703554153442
Word: taniec, start_time: 60.0, end_time: 60.5
Word: proste, start_time: 60.5, end_time: 61.2
Word: entuzjasta, start_time: 61.2, end_time: 61.9
Word: ani, start_time: 61.9, end_time: 62.4
Word: nikt, start_time: 62.4, end_time: 62.8
Word: z, start_time: 62.8, end_time: 62.9
Word: ludzi, start_time: 62.9, end_time: 63.6
Word: przyciągany, start_time: 63.6, end_time: 65.0
Word: przez, start_time: 65.0, end_time: 65.0
Word: ten, start_time: 65.0, end_time: 65.4
Word: dom, start_time: 65.4, end_time: 65.6
Word: w, start_time: 65.6, end_time: 65.8
Word: których, start_time: 65.8, end_time: 66.5
Word: się, start_time: 66.5, end_time: 66.6
Word: stało, start_time: 66.6, end_time: 67.0
Word: jak, start_time: 67.0, end_time: 67.1
Word: się, start_time: 67.1, end_time: 67.3
Word: publiczne, start_time: 67.3, end_time: 68.0
Word: czuła, start_time: 68.0, end_time: 69.5
Word: że, start_time: 69.5, end_time: 69.8
Word: jedni, start_time: 69.8, end_time: 70.3
Word: rzucili, start_time: 70.3, end_time: 71.8
Word: się, start_time: 71.8, end_time: 71.9
Word: w, start_time: 71.9, end_time: 72.0
Word: ogniu, start_time: 72.0, end_time: 72.3
