Waiting for operation to complete...
Transcript: 84 Rolandzie mój towarzyszu Zadzwoń wróg Karol usłyszy zawróci wojsko wspomoże nas ze wszystkimi z tymi balonami Roland odpowie Nie daj Bóg aby przeze mnie hańbą mój ród jadę słodka Francja miała iść w pogardę raczej będę walił durendalem co sił moim dobrym mieczem który noszę przy boku ujrzycie brzeszczot jego cały zakrwawiony zdrajcy poganie zebrali się na swoje nieszczęście Przysięgam Wam wszyscy skazani są na śmierć
Confidence: 0.9449326992034912
Word: 84, start_time: 0.0, end_time: 1.5
Word: Rolandzie, start_time: 1.5, end_time: 3.0
Word: mój, start_time: 3.0, end_time: 3.5
Word: towarzyszu, start_time: 3.5, end_time: 4.2
Word: Zadzwoń, start_time: 4.2, end_time: 5.2
Word: wróg, start_time: 5.2, end_time: 5.6
Word: Karol, start_time: 5.6, end_time: 6.5
Word: usłyszy, start_time: 6.5, end_time: 7.1
Word: zawróci, start_time: 7.1, end_time: 7.9
Word: wojsko, start_time: 7.9, end_time: 8.4
Word: wspomoże, start_time: 8.4, end_time: 9.4
Word: nas, start_time: 9.4, end_time: 9.7
Word: ze, start_time: 9.7, end_time: 10.1
Word: wszystkimi, start_time: 10.1, end_time: 10.7
Word: z, start_time: 10.7, end_time: 10.8
Word: tymi, start_time: 10.8, end_time: 11.1
Word: balonami, start_time: 11.1, end_time: 11.7
Word: Roland, start_time: 11.7, end_time: 13.3
Word: odpowie, start_time: 13.3, end_time: 13.9
Word: Nie, start_time: 13.9, end_time: 15.0
Word: daj, start_time: 15.0, end_time: 15.1
Word: Bóg, start_time: 15.1, end_time: 15.3
Word: aby, start_time: 15.3, end_time: 16.2
Word: przeze, start_time: 16.2, end_time: 16.5
Word: mnie, start_time: 16.5, end_time: 16.7
Word: hańbą, start_time: 16.7, end_time: 17.3
Word: mój, start_time: 17.3, end_time: 17.7
Word: ród, start_time: 17.7, end_time: 18.1
Word: jadę, start_time: 18.1, end_time: 18.9
Word: słodka, start_time: 18.9, end_time: 19.3
Word: Francja, start_time: 19.3, end_time: 19.9
Word: miała, start_time: 19.9, end_time: 20.2
Word: iść, start_time: 20.2, end_time: 20.5
Word: w, start_time: 20.5, end_time: 20.7
Word: pogardę, start_time: 20.7, end_time: 21.3
Word: raczej, start_time: 21.3, end_time: 22.4
Word: będę, start_time: 22.4, end_time: 22.7
Word: walił, start_time: 22.7, end_time: 23.2
Word: durendalem, start_time: 23.2, end_time: 24.0
Word: co, start_time: 24.0, end_time: 24.3
Word: sił, start_time: 24.3, end_time: 24.6
Word: moim, start_time: 24.6, end_time: 25.2
Word: dobrym, start_time: 25.2, end_time: 25.5
Word: mieczem, start_time: 25.5, end_time: 26.2
Word: który, start_time: 26.2, end_time: 26.9
Word: noszę, start_time: 26.9, end_time: 27.2
Word: przy, start_time: 27.2, end_time: 27.5
Word: boku, start_time: 27.5, end_time: 27.9
Word: ujrzycie, start_time: 27.9, end_time: 29.0
Word: brzeszczot, start_time: 29.0, end_time: 29.8
Word: jego, start_time: 29.8, end_time: 30.1
Word: cały, start_time: 30.1, end_time: 30.5
Word: zakrwawiony, start_time: 30.5, end_time: 30.9
Word: zdrajcy, start_time: 30.9, end_time: 32.6
Word: poganie, start_time: 32.6, end_time: 33.2
Word: zebrali, start_time: 33.2, end_time: 34.2
Word: się, start_time: 34.2, end_time: 34.3
Word: na, start_time: 34.3, end_time: 34.5
Word: swoje, start_time: 34.5, end_time: 34.8
Word: nieszczęście, start_time: 34.8, end_time: 34.9
Word: Przysięgam, start_time: 34.9, end_time: 36.8
Word: Wam, start_time: 36.8, end_time: 37.0
Word: wszyscy, start_time: 37.0, end_time: 38.0
Word: skazani, start_time: 38.0, end_time: 38.7
Word: są, start_time: 38.7, end_time: 38.9
Word: na, start_time: 38.9, end_time: 39.0
Word: śmierć, start_time: 39.0, end_time: 39.5
