Waiting for operation to complete...
Transcript: 91 przez wąwozy hiszpańskie jedzie Roland navale antifie swym rumaku przybrał się w zbroję która go pięknie zdobi jedzie mężny Baron potrząsając włócznią do nieba obraca ostrze do żeleźce przymocował proporzec całkowicie biały frędzle biją w ręce szlachetne jest jego ciało twarz jasna i roześmiana po nim jedzie jego towarzysz co go Francuzi mienią swoją tarczą patrzy groźnie to saraceno po czym pokornie i łagodnie spoglądał francuzom i grzecznie odzywa się do nich w te słowa panowie baronowie pomału krokiem ci poganie przychodzą po swoje męczeństwo Nim przyjdzie wieczór weźmiemy piękny i bogaty mów nigdy król Francji
Confidence: 0.9437556862831116
Word: 91, start_time: 0.0, end_time: 1.4
Word: przez, start_time: 1.4, end_time: 2.3
Word: wąwozy, start_time: 2.3, end_time: 2.9
Word: hiszpańskie, start_time: 2.9, end_time: 3.7
Word: jedzie, start_time: 3.7, end_time: 4.5
Word: Roland, start_time: 4.5, end_time: 5.1
Word: navale, start_time: 5.1, end_time: 6.0
Word: antifie, start_time: 6.0, end_time: 6.5
Word: swym, start_time: 6.5, end_time: 7.3
Word: rumaku, start_time: 7.3, end_time: 8.0
Word: przybrał, start_time: 8.0, end_time: 9.5
Word: się, start_time: 9.5, end_time: 9.7
Word: w, start_time: 9.7, end_time: 9.7
Word: zbroję, start_time: 9.7, end_time: 10.3
Word: która, start_time: 10.3, end_time: 10.8
Word: go, start_time: 10.8, end_time: 11.0
Word: pięknie, start_time: 11.0, end_time: 11.6
Word: zdobi, start_time: 11.6, end_time: 12.0
Word: jedzie, start_time: 12.0, end_time: 13.0
Word: mężny, start_time: 13.0, end_time: 13.7
Word: Baron, start_time: 13.7, end_time: 14.3
Word: potrząsając, start_time: 14.3, end_time: 15.5
Word: włócznią, start_time: 15.5, end_time: 16.1
Word: do, start_time: 16.1, end_time: 17.2
Word: nieba, start_time: 17.2, end_time: 17.5
Word: obraca, start_time: 17.5, end_time: 18.2
Word: ostrze, start_time: 18.2, end_time: 18.8
Word: do, start_time: 18.8, end_time: 19.5
Word: żeleźce, start_time: 19.5, end_time: 19.9
Word: przymocował, start_time: 19.9, end_time: 20.9
Word: proporzec, start_time: 20.9, end_time: 21.6
Word: całkowicie, start_time: 21.6, end_time: 22.4
Word: biały, start_time: 22.4, end_time: 23.0
Word: frędzle, start_time: 23.0, end_time: 24.2
Word: biją, start_time: 24.2, end_time: 24.7
Word: w, start_time: 24.7, end_time: 24.9
Word: ręce, start_time: 24.9, end_time: 25.7
Word: szlachetne, start_time: 25.7, end_time: 27.1
Word: jest, start_time: 27.1, end_time: 27.3
Word: jego, start_time: 27.3, end_time: 27.5
Word: ciało, start_time: 27.5, end_time: 28.0
Word: twarz, start_time: 28.0, end_time: 28.7
Word: jasna, start_time: 28.7, end_time: 29.4
Word: i, start_time: 29.4, end_time: 29.5
Word: roześmiana, start_time: 29.5, end_time: 30.5
Word: po, start_time: 30.5, end_time: 31.6
Word: nim, start_time: 31.6, end_time: 31.8
Word: jedzie, start_time: 31.8, end_time: 32.2
Word: jego, start_time: 32.2, end_time: 32.5
Word: towarzysz, start_time: 32.5, end_time: 33.1
Word: co, start_time: 33.1, end_time: 33.7
Word: go, start_time: 33.7, end_time: 33.8
Word: Francuzi, start_time: 33.8, end_time: 34.5
Word: mienią, start_time: 34.5, end_time: 35.0
Word: swoją, start_time: 35.0, end_time: 35.5
Word: tarczą, start_time: 35.5, end_time: 36.2
Word: patrzy, start_time: 36.2, end_time: 37.2
Word: groźnie, start_time: 37.2, end_time: 37.8
Word: to, start_time: 37.8, end_time: 37.9
Word: saraceno, start_time: 37.9, end_time: 38.6
Word: po, start_time: 38.6, end_time: 39.2
Word: czym, start_time: 39.2, end_time: 39.4
Word: pokornie, start_time: 39.4, end_time: 40.1
Word: i, start_time: 40.1, end_time: 40.2
Word: łagodnie, start_time: 40.2, end_time: 40.9
Word: spoglądał, start_time: 40.9, end_time: 41.6
Word: francuzom, start_time: 41.6, end_time: 42.5
Word: i, start_time: 42.5, end_time: 42.6
Word: grzecznie, start_time: 42.6, end_time: 43.6
Word: odzywa, start_time: 43.6, end_time: 44.3
Word: się, start_time: 44.3, end_time: 44.5
Word: do, start_time: 44.5, end_time: 44.7
Word: nich, start_time: 44.7, end_time: 44.9
Word: w, start_time: 44.9, end_time: 45.0
Word: te, start_time: 45.0, end_time: 45.2
Word: słowa, start_time: 45.2, end_time: 45.7
Word: panowie, start_time: 45.7, end_time: 47.0
Word: baronowie, start_time: 47.0, end_time: 47.6
Word: pomału, start_time: 47.6, end_time: 48.8
Word: krokiem, start_time: 48.8, end_time: 50.0
Word: ci, start_time: 50.0, end_time: 50.7
Word: poganie, start_time: 50.7, end_time: 51.0
Word: przychodzą, start_time: 51.0, end_time: 51.7
Word: po, start_time: 51.7, end_time: 51.9
Word: swoje, start_time: 51.9, end_time: 52.3
Word: męczeństwo, start_time: 52.3, end_time: 53.1
Word: Nim, start_time: 53.1, end_time: 54.0
Word: przyjdzie, start_time: 54.0, end_time: 54.3
Word: wieczór, start_time: 54.3, end_time: 54.6
Word: weźmiemy, start_time: 54.6, end_time: 55.7
Word: piękny, start_time: 55.7, end_time: 56.3
Word: i, start_time: 56.3, end_time: 56.3
Word: bogaty, start_time: 56.3, end_time: 56.7
Word: mów, start_time: 56.7, end_time: 57.3
Word: nigdy, start_time: 57.3, end_time: 58.6
Word: król, start_time: 58.6, end_time: 58.9
Word: Francji, start_time: 58.9, end_time: 59.6
Transcript: nie miał piękniejszego Kiedy mówił wojska spotkały się
