Waiting for operation to complete...
Transcript: rozdział 11 w którym opisany jest dalszy ciąg rat udzielonych Sancho V przez Don Kichota każdy zapewne osądzi z tej rozmowy że Don Kichot był nie tylko człowiekiem uczciwym ale i przy najzdrowszych zmysłach sąd jego we wszystkich rzeczach powszednich był nader sprawiedliwy jedna tylko kwestia błędnego rycerstwa tak dziwacznie oddziaływała na jego umysł że opuszczał granicę rozsądku dzikie Mary biorąc za rzeczywistość zobacz nie słuchał wszystkich trać swojego pana zgromadzony w pamięci aby je później na dobre obrócić pożytek Don Kichot tak mówił dalej Staraj się urządzić swój dom przede wszystkim Badaj troskliwie ile prawych dochodów dostarczyć ci może twoja posada jeżeli będziesz w stanie ubrać swój dwór w zbytkowie
Confidence: 0.9444423317909241
Word: rozdział, start_time: 0.0, end_time: 1.2
Word: 11, start_time: 1.2, end_time: 1.9
Word: w, start_time: 1.9, end_time: 2.0
Word: którym, start_time: 2.0, end_time: 2.9
Word: opisany, start_time: 2.9, end_time: 3.6
Word: jest, start_time: 3.6, end_time: 3.8
Word: dalszy, start_time: 3.8, end_time: 4.4
Word: ciąg, start_time: 4.4, end_time: 4.6
Word: rat, start_time: 4.6, end_time: 5.2
Word: udzielonych, start_time: 5.2, end_time: 6.0
Word: Sancho, start_time: 6.0, end_time: 6.4
Word: V, start_time: 6.4, end_time: 6.6
Word: przez, start_time: 6.6, end_time: 6.9
Word: Don, start_time: 6.9, end_time: 7.2
Word: Kichota, start_time: 7.2, end_time: 7.7
Word: każdy, start_time: 7.7, end_time: 8.7
Word: zapewne, start_time: 8.7, end_time: 9.0
Word: osądzi, start_time: 9.0, end_time: 9.8
Word: z, start_time: 9.8, end_time: 9.9
Word: tej, start_time: 9.9, end_time: 10.1
Word: rozmowy, start_time: 10.1, end_time: 10.7
Word: że, start_time: 10.7, end_time: 11.4
Word: Don, start_time: 11.4, end_time: 11.6
Word: Kichot, start_time: 11.6, end_time: 11.8
Word: był, start_time: 11.8, end_time: 12.1
Word: nie, start_time: 12.1, end_time: 12.4
Word: tylko, start_time: 12.4, end_time: 12.6
Word: człowiekiem, start_time: 12.6, end_time: 13.3
Word: uczciwym, start_time: 13.3, end_time: 13.5
Word: ale, start_time: 13.5, end_time: 14.7
Word: i, start_time: 14.7, end_time: 14.8
Word: przy, start_time: 14.8, end_time: 15.2
Word: najzdrowszych, start_time: 15.2, end_time: 16.1
Word: zmysłach, start_time: 16.1, end_time: 16.7
Word: sąd, start_time: 16.7, end_time: 17.9
Word: jego, start_time: 17.9, end_time: 18.2
Word: we, start_time: 18.2, end_time: 18.3
Word: wszystkich, start_time: 18.3, end_time: 18.9
Word: rzeczach, start_time: 18.9, end_time: 19.2
Word: powszednich, start_time: 19.2, end_time: 19.4
Word: był, start_time: 19.4, end_time: 20.6
Word: nader, start_time: 20.6, end_time: 21.0
Word: sprawiedliwy, start_time: 21.0, end_time: 22.0
Word: jedna, start_time: 22.0, end_time: 23.1
Word: tylko, start_time: 23.1, end_time: 23.3
Word: kwestia, start_time: 23.3, end_time: 24.0
Word: błędnego, start_time: 24.0, end_time: 24.9
Word: rycerstwa, start_time: 24.9, end_time: 25.6
Word: tak, start_time: 25.6, end_time: 26.2
Word: dziwacznie, start_time: 26.2, end_time: 26.8
Word: oddziaływała, start_time: 26.8, end_time: 27.7
Word: na, start_time: 27.7, end_time: 27.8
Word: jego, start_time: 27.8, end_time: 28.0
Word: umysł, start_time: 28.0, end_time: 28.5
Word: że, start_time: 28.5, end_time: 29.3
Word: opuszczał, start_time: 29.3, end_time: 30.0
Word: granicę, start_time: 30.0, end_time: 30.4
Word: rozsądku, start_time: 30.4, end_time: 30.7
Word: dzikie, start_time: 30.7, end_time: 32.1
Word: Mary, start_time: 32.1, end_time: 32.5
Word: biorąc, start_time: 32.5, end_time: 33.2
Word: za, start_time: 33.2, end_time: 33.7
Word: rzeczywistość, start_time: 33.7, end_time: 34.7
Word: zobacz, start_time: 34.7, end_time: 36.0
Word: nie, start_time: 36.0, end_time: 36.3
Word: słuchał, start_time: 36.3, end_time: 36.7
Word: wszystkich, start_time: 36.7, end_time: 36.8
Word: trać, start_time: 36.8, end_time: 37.6
Word: swojego, start_time: 37.6, end_time: 37.8
Word: pana, start_time: 37.8, end_time: 38.4
Word: zgromadzony, start_time: 38.4, end_time: 39.6
Word: w, start_time: 39.6, end_time: 39.7
Word: pamięci, start_time: 39.7, end_time: 40.3
Word: aby, start_time: 40.3, end_time: 40.7
Word: je, start_time: 40.7, end_time: 40.9
Word: później, start_time: 40.9, end_time: 41.1
Word: na, start_time: 41.1, end_time: 41.6
Word: dobre, start_time: 41.6, end_time: 42.1
Word: obrócić, start_time: 42.1, end_time: 42.7
Word: pożytek, start_time: 42.7, end_time: 43.3
Word: Don, start_time: 43.3, end_time: 44.3
Word: Kichot, start_time: 44.3, end_time: 44.7
Word: tak, start_time: 44.7, end_time: 45.4
Word: mówił, start_time: 45.4, end_time: 45.8
Word: dalej, start_time: 45.8, end_time: 46.1
Word: Staraj, start_time: 46.1, end_time: 47.3
Word: się, start_time: 47.3, end_time: 47.4
Word: urządzić, start_time: 47.4, end_time: 48.1
Word: swój, start_time: 48.1, end_time: 48.4
Word: dom, start_time: 48.4, end_time: 48.8
Word: przede, start_time: 48.8, end_time: 49.2
Word: wszystkim, start_time: 49.2, end_time: 49.7
Word: Badaj, start_time: 49.7, end_time: 50.9
Word: troskliwie, start_time: 50.9, end_time: 51.7
Word: ile, start_time: 51.7, end_time: 52.4
Word: prawych, start_time: 52.4, end_time: 52.9
Word: dochodów, start_time: 52.9, end_time: 53.6
Word: dostarczyć, start_time: 53.6, end_time: 54.3
Word: ci, start_time: 54.3, end_time: 54.4
Word: może, start_time: 54.4, end_time: 54.8
Word: twoja, start_time: 54.8, end_time: 55.1
Word: posada, start_time: 55.1, end_time: 55.4
Word: jeżeli, start_time: 55.4, end_time: 56.5
Word: będziesz, start_time: 56.5, end_time: 56.8
Word: w, start_time: 56.8, end_time: 56.9
Word: stanie, start_time: 56.9, end_time: 57.3
Word: ubrać, start_time: 57.3, end_time: 58.0
Word: swój, start_time: 58.0, end_time: 58.4
Word: dwór, start_time: 58.4, end_time: 58.6
Word: w, start_time: 58.6, end_time: 58.8
Word: zbytkowie, start_time: 58.8, end_time: 59.2
Transcript: zaprowadź w nim tylko czystość i wygodę pieniądze zaś na to przeznaczone rozdaj ubogim te są moje rady dla ciebie przyjacielu Sancho w ciągu swego urzędowania udzielę Ci nic więcej jeśli korzystać zechcesz wszystko co mi powiedzieliście panie jest bardzo piękne Odpowiedź jedna jest tylko przeszkoda w wypełnianiu rat waszych że oprócz tego co mówiliście o zbieraniu pieniędzy i powtórnym ożenił się nic a nic więcej nie pamiętam Napiszcie mi to lepiej aka że mojemu spowiednikowi odczytywać codzień abym się tych wszystkich Maksym na pamięć nauczył wreszcie przekleństwo boskie zawołał Don Kichot jakaś doszedł obmierzła patrzeć na gubernatora nie umiejącego ani czytać ani pisać Słyszałeś co mówią o mańkuta Minionkach
Confidence: 0.9509984254837036
Word: zaprowadź, start_time: 59.9, end_time: 60.6
Word: w, start_time: 60.6, end_time: 60.6
Word: nim, start_time: 60.6, end_time: 60.8
Word: tylko, start_time: 60.8, end_time: 61.0
Word: czystość, start_time: 61.0, end_time: 61.9
Word: i, start_time: 61.9, end_time: 62.2
Word: wygodę, start_time: 62.2, end_time: 62.7
Word: pieniądze, start_time: 62.7, end_time: 63.9
Word: zaś, start_time: 63.9, end_time: 64.2
Word: na, start_time: 64.2, end_time: 64.8
Word: to, start_time: 64.8, end_time: 64.9
Word: przeznaczone, start_time: 64.9, end_time: 65.6
Word: rozdaj, start_time: 65.6, end_time: 66.6
Word: ubogim, start_time: 66.6, end_time: 66.8
Word: te, start_time: 66.8, end_time: 68.2
Word: są, start_time: 68.2, end_time: 68.3
Word: moje, start_time: 68.3, end_time: 68.8
Word: rady, start_time: 68.8, end_time: 69.2
Word: dla, start_time: 69.2, end_time: 69.5
Word: ciebie, start_time: 69.5, end_time: 69.9
Word: przyjacielu, start_time: 69.9, end_time: 70.5
Word: Sancho, start_time: 70.5, end_time: 71.0
Word: w, start_time: 71.0, end_time: 71.2
Word: ciągu, start_time: 71.2, end_time: 72.1
Word: swego, start_time: 72.1, end_time: 72.3
Word: urzędowania, start_time: 72.3, end_time: 73.3
Word: udzielę, start_time: 73.3, end_time: 74.3
Word: Ci, start_time: 74.3, end_time: 74.3
Word: nic, start_time: 74.3, end_time: 74.6
Word: więcej, start_time: 74.6, end_time: 74.7
Word: jeśli, start_time: 74.7, end_time: 75.9
Word: korzystać, start_time: 75.9, end_time: 76.7
Word: zechcesz, start_time: 76.7, end_time: 77.3
Word: wszystko, start_time: 77.3, end_time: 78.1
Word: co, start_time: 78.1, end_time: 78.7
Word: mi, start_time: 78.7, end_time: 78.8
Word: powiedzieliście, start_time: 78.8, end_time: 79.6
