Waiting for operation to complete...
Transcript: 114 arcybiskup zaczyna bitwę dosiada konia którego wziął królowi Karolowi Zabiję go w Danii koń jest dobrze ułożony rączy kopyta ma zwinne nogi płaskie uda krótkie i zad szeroki boki długie a krzyż wyniosły ogon biały a żółtą grzywę uszy małe głowę połową nie masz bydlęca które by mu było równe w biegu arcybiskup spina go ostrogami i Z jaką siłą natarł na a b c ma nic go nie zatrzyma już wali w tarcze wysadzana kamieniami ametystami topazami i płonącymi karbunkuł ani Valmet US chart dał ją Emilowi Galaxy Gear ABC Movie turbin wali nie oszczędza skoro uderzył tarcz tak mnie mam
Confidence: 0.9368420839309692
Word: 114, start_time: 0.0, end_time: 1.8
Word: arcybiskup, start_time: 1.8, end_time: 3.2
Word: zaczyna, start_time: 3.2, end_time: 3.9
Word: bitwę, start_time: 3.9, end_time: 4.3
Word: dosiada, start_time: 4.3, end_time: 5.4
Word: konia, start_time: 5.4, end_time: 5.4
Word: którego, start_time: 5.4, end_time: 6.1
Word: wziął, start_time: 6.1, end_time: 6.5
Word: królowi, start_time: 6.5, end_time: 7.2
Word: Karolowi, start_time: 7.2, end_time: 7.5
Word: Zabiję, start_time: 7.5, end_time: 8.7
Word: go, start_time: 8.7, end_time: 9.0
Word: w, start_time: 9.0, end_time: 9.1
Word: Danii, start_time: 9.1, end_time: 9.5
Word: koń, start_time: 9.5, end_time: 10.3
Word: jest, start_time: 10.3, end_time: 10.9
Word: dobrze, start_time: 10.9, end_time: 11.3
Word: ułożony, start_time: 11.3, end_time: 12.1
Word: rączy, start_time: 12.1, end_time: 13.2
Word: kopyta, start_time: 13.2, end_time: 14.0
Word: ma, start_time: 14.0, end_time: 14.1
Word: zwinne, start_time: 14.1, end_time: 14.6
Word: nogi, start_time: 14.6, end_time: 15.1
Word: płaskie, start_time: 15.1, end_time: 15.8
Word: uda, start_time: 15.8, end_time: 16.3
Word: krótkie, start_time: 16.3, end_time: 17.0
Word: i, start_time: 17.0, end_time: 17.1
Word: zad, start_time: 17.1, end_time: 17.6
Word: szeroki, start_time: 17.6, end_time: 18.2
Word: boki, start_time: 18.2, end_time: 19.0
Word: długie, start_time: 19.0, end_time: 19.5
Word: a, start_time: 19.5, end_time: 19.8
Word: krzyż, start_time: 19.8, end_time: 20.4
Word: wyniosły, start_time: 20.4, end_time: 21.4
Word: ogon, start_time: 21.4, end_time: 22.1
Word: biały, start_time: 22.1, end_time: 22.4
Word: a, start_time: 22.4, end_time: 22.8
Word: żółtą, start_time: 22.8, end_time: 23.5
Word: grzywę, start_time: 23.5, end_time: 24.1
Word: uszy, start_time: 24.1, end_time: 24.9
Word: małe, start_time: 24.9, end_time: 25.4
Word: głowę, start_time: 25.4, end_time: 26.2
Word: połową, start_time: 26.2, end_time: 26.7
Word: nie, start_time: 26.7, end_time: 27.3
Word: masz, start_time: 27.3, end_time: 27.5
Word: bydlęca, start_time: 27.5, end_time: 28.1
Word: które, start_time: 28.1, end_time: 28.9
Word: by, start_time: 28.9, end_time: 29.1
Word: mu, start_time: 29.1, end_time: 29.3
Word: było, start_time: 29.3, end_time: 29.6
Word: równe, start_time: 29.6, end_time: 30.3
Word: w, start_time: 30.3, end_time: 30.4
Word: biegu, start_time: 30.4, end_time: 30.8
Word: arcybiskup, start_time: 30.8, end_time: 32.2
Word: spina, start_time: 32.2, end_time: 32.7
Word: go, start_time: 32.7, end_time: 32.9
Word: ostrogami, start_time: 32.9, end_time: 33.6
Word: i, start_time: 33.6, end_time: 33.9
Word: Z, start_time: 33.9, end_time: 34.4
Word: jaką, start_time: 34.4, end_time: 34.8
Word: siłą, start_time: 34.8, end_time: 35.3
Word: natarł, start_time: 35.3, end_time: 36.7
Word: na, start_time: 36.7, end_time: 37.1
Word: a, start_time: 37.1, end_time: 37.2
Word: b, start_time: 37.2, end_time: 37.4
Word: c, start_time: 37.4, end_time: 37.6
Word: ma, start_time: 37.6, end_time: 37.6
Word: nic, start_time: 37.6, end_time: 38.5
Word: go, start_time: 38.5, end_time: 38.6
Word: nie, start_time: 38.6, end_time: 38.7
Word: zatrzyma, start_time: 38.7, end_time: 38.8
Word: już, start_time: 38.8, end_time: 40.1
Word: wali, start_time: 40.1, end_time: 40.5
Word: w, start_time: 40.5, end_time: 40.5
Word: tarcze, start_time: 40.5, end_time: 41.0
Word: wysadzana, start_time: 41.0, end_time: 41.6
Word: kamieniami, start_time: 41.6, end_time: 41.8
Word: ametystami, start_time: 41.8, end_time: 43.3
Word: topazami, start_time: 43.3, end_time: 44.2
Word: i, start_time: 44.2, end_time: 44.5
Word: płonącymi, start_time: 44.5, end_time: 45.5
Word: karbunkuł, start_time: 45.5, end_time: 46.4
Word: ani, start_time: 46.4, end_time: 46.7
Word: Valmet, start_time: 46.7, end_time: 48.1
Word: US, start_time: 48.1, end_time: 48.3
Word: chart, start_time: 48.3, end_time: 49.1
Word: dał, start_time: 49.1, end_time: 49.5
Word: ją, start_time: 49.5, end_time: 49.7
Word: Emilowi, start_time: 49.7, end_time: 50.6
Word: Galaxy, start_time: 50.6, end_time: 51.4
Word: Gear, start_time: 51.4, end_time: 52.5
Word: ABC, start_time: 52.5, end_time: 53.3
Word: Movie, start_time: 53.3, end_time: 53.7
Word: turbin, start_time: 53.7, end_time: 54.6
Word: wali, start_time: 54.6, end_time: 55.0
Word: nie, start_time: 55.0, end_time: 55.6
Word: oszczędza, start_time: 55.6, end_time: 56.2
Word: skoro, start_time: 56.2, end_time: 57.1
Word: uderzył, start_time: 57.1, end_time: 57.7
Word: tarcz, start_time: 57.7, end_time: 58.5
Word: tak, start_time: 58.5, end_time: 59.1
Word: mnie, start_time: 59.1, end_time: 59.4
Word: mam, start_time: 59.4, end_time: 59.7
Transcript: nie warta jest mi szeląga przeszywa saracena na wylot i kładzie go trupem na gołą ziemię Francuzi powiadają oto dzielność w rękach arcybiskupa pastorał nie przyniesie wstydu
Confidence: 0.8998749852180481
Word: nie, start_time: 59.9, end_time: 60.2
Word: warta, start_time: 60.2, end_time: 60.6
Word: jest, start_time: 60.6, end_time: 60.9
Word: mi, start_time: 60.9, end_time: 61.1
Word: szeląga, start_time: 61.1, end_time: 61.7
Word: przeszywa, start_time: 61.7, end_time: 62.8
Word: saracena, start_time: 62.8, end_time: 63.4
Word: na, start_time: 63.4, end_time: 63.5
Word: wylot, start_time: 63.5, end_time: 64.0
Word: i, start_time: 64.0, end_time: 64.2
Word: kładzie, start_time: 64.2, end_time: 64.9
Word: go, start_time: 64.9, end_time: 65.0
Word: trupem, start_time: 65.0, end_time: 65.6
Word: na, start_time: 65.6, end_time: 65.8
Word: gołą, start_time: 65.8, end_time: 66.1
Word: ziemię, start_time: 66.1, end_time: 66.7
Word: Francuzi, start_time: 66.7, end_time: 67.8
Word: powiadają, start_time: 67.8, end_time: 68.4
Word: oto, start_time: 68.4, end_time: 69.3
Word: dzielność, start_time: 69.3, end_time: 70.1
Word: w, start_time: 70.1, end_time: 70.3
Word: rękach, start_time: 70.3, end_time: 71.3
Word: arcybiskupa, start_time: 71.3, end_time: 72.2
Word: pastorał, start_time: 72.2, end_time: 73.3
Word: nie, start_time: 73.3, end_time: 73.7
Word: przyniesie, start_time: 73.7, end_time: 74.2
Word: wstydu, start_time: 74.2, end_time: 74.7
