Waiting for operation to complete...
Transcript: 115 Francuzi wiedzą że pogan jest tak mnogo pola pełne ich są ze wszystkich stron często wołają Oliwiera i Rolanda i 12 barów i żeby ich bronili aż arcybiskup powiada im swoje panowie baronowie nieumyślnie cię nic złego Proszę was przez Boga nie uciekajcie i żeby nikt mężny nie hańbi u was w pieśni raczej żyjmy to walcząc niebawem tak nam przyrzeczoną Doczekamy się końca nie po Żyjemy dłużej niż ten dzień Ale jest jedna rzecz którą wam wręczam święty raj jest wam szeroko otwarty posiądzie się tuż koło niewiniątek na te słowa we francuzach tak się wzmogło serce że nie masz ani jednego który by nie krzyczał montjoie
Confidence: 0.9370123744010925
Word: 115, start_time: 0.0, end_time: 1.2
Word: Francuzi, start_time: 1.2, end_time: 2.4
Word: wiedzą, start_time: 2.4, end_time: 2.7
Word: że, start_time: 2.7, end_time: 3.5
Word: pogan, start_time: 3.5, end_time: 3.9
Word: jest, start_time: 3.9, end_time: 4.3
Word: tak, start_time: 4.3, end_time: 4.6
Word: mnogo, start_time: 4.6, end_time: 4.9
Word: pola, start_time: 4.9, end_time: 6.2
Word: pełne, start_time: 6.2, end_time: 6.7
Word: ich, start_time: 6.7, end_time: 7.2
Word: są, start_time: 7.2, end_time: 7.5
Word: ze, start_time: 7.5, end_time: 7.7
Word: wszystkich, start_time: 7.7, end_time: 8.2
Word: stron, start_time: 8.2, end_time: 8.4
Word: często, start_time: 8.4, end_time: 9.7
Word: wołają, start_time: 9.7, end_time: 10.2
Word: Oliwiera, start_time: 10.2, end_time: 11.0
Word: i, start_time: 11.0, end_time: 11.2
Word: Rolanda, start_time: 11.2, end_time: 11.6
Word: i, start_time: 11.6, end_time: 12.2
Word: 12, start_time: 12.2, end_time: 12.9
Word: barów, start_time: 12.9, end_time: 13.5
Word: i, start_time: 13.5, end_time: 13.6
Word: żeby, start_time: 13.6, end_time: 14.3
Word: ich, start_time: 14.3, end_time: 14.6
Word: bronili, start_time: 14.6, end_time: 15.2
Word: aż, start_time: 15.2, end_time: 16.1
Word: arcybiskup, start_time: 16.1, end_time: 17.0
Word: powiada, start_time: 17.0, end_time: 17.8
Word: im, start_time: 17.8, end_time: 17.9
Word: swoje, start_time: 17.9, end_time: 18.5
Word: panowie, start_time: 18.5, end_time: 19.7
Word: baronowie, start_time: 19.7, end_time: 20.3
Word: nieumyślnie, start_time: 20.3, end_time: 21.5
Word: cię, start_time: 21.5, end_time: 21.7
Word: nic, start_time: 21.7, end_time: 21.9
Word: złego, start_time: 21.9, end_time: 22.1
Word: Proszę, start_time: 22.1, end_time: 23.3
Word: was, start_time: 23.3, end_time: 23.6
Word: przez, start_time: 23.6, end_time: 24.0
Word: Boga, start_time: 24.0, end_time: 24.4
Word: nie, start_time: 24.4, end_time: 24.9
Word: uciekajcie, start_time: 24.9, end_time: 25.7
Word: i, start_time: 25.7, end_time: 26.0
Word: żeby, start_time: 26.0, end_time: 26.5
Word: nikt, start_time: 26.5, end_time: 26.8
Word: mężny, start_time: 26.8, end_time: 27.4
Word: nie, start_time: 27.4, end_time: 27.6
Word: hańbi, start_time: 27.6, end_time: 28.1
Word: u, start_time: 28.1, end_time: 28.2
Word: was, start_time: 28.2, end_time: 28.5
Word: w, start_time: 28.5, end_time: 28.7
Word: pieśni, start_time: 28.7, end_time: 29.2
Word: raczej, start_time: 29.2, end_time: 30.0
Word: żyjmy, start_time: 30.0, end_time: 30.7
Word: to, start_time: 30.7, end_time: 31.0
Word: walcząc, start_time: 31.0, end_time: 31.8
Word: niebawem, start_time: 31.8, end_time: 32.9
Word: tak, start_time: 32.9, end_time: 33.7
Word: nam, start_time: 33.7, end_time: 33.9
Word: przyrzeczoną, start_time: 33.9, end_time: 34.7
Word: Doczekamy, start_time: 34.7, end_time: 35.7
Word: się, start_time: 35.7, end_time: 35.7
Word: końca, start_time: 35.7, end_time: 36.3
Word: nie, start_time: 36.3, end_time: 36.9
Word: po, start_time: 36.9, end_time: 37.1
Word: Żyjemy, start_time: 37.1, end_time: 37.4
