Waiting for operation to complete...
Transcript: 117 hrabia Roland woła Oliwiera panie towarzyszu oto engelier Dawid nie mieliśmy mężnego rycerza hrabia odpowiada Niechaj Bóg da mi go pomścić wspina konia szczerozłotym i ostrogami nastawia swoją chałupę Claire stal jest zakrwawiona całą siłą uderza poganina potrząsa klingo ubranie i Saracen pada diabły porywają jego duszę potem zabija diuka aviana ucina głowę Eska bawię i wysadza z siodła siedmiu Arabów ci już nie zdadzą się w bitwie Roland podjada mój towarzysz się pogniewał dobry to jest druh przy moim boku za takie ciosy Karol mocniej nas kocha i bardzo głośno krzyczy bijcie rycerze
Confidence: 0.9483148455619812
Word: 117, start_time: 0.0, end_time: 1.4
Word: hrabia, start_time: 1.4, end_time: 2.6
Word: Roland, start_time: 2.6, end_time: 2.8
Word: woła, start_time: 2.8, end_time: 3.7
Word: Oliwiera, start_time: 3.7, end_time: 4.5
Word: panie, start_time: 4.5, end_time: 5.4
Word: towarzyszu, start_time: 5.4, end_time: 6.0
Word: oto, start_time: 6.0, end_time: 6.9
Word: engelier, start_time: 6.9, end_time: 7.8
Word: Dawid, start_time: 7.8, end_time: 8.4
Word: nie, start_time: 8.4, end_time: 9.2
Word: mieliśmy, start_time: 9.2, end_time: 9.6
Word: mężnego, start_time: 9.6, end_time: 10.3
Word: rycerza, start_time: 10.3, end_time: 10.7
Word: hrabia, start_time: 10.7, end_time: 12.2
Word: odpowiada, start_time: 12.2, end_time: 13.0
Word: Niechaj, start_time: 13.0, end_time: 14.0
Word: Bóg, start_time: 14.0, end_time: 14.3
Word: da, start_time: 14.3, end_time: 15.0
Word: mi, start_time: 15.0, end_time: 15.2
Word: go, start_time: 15.2, end_time: 15.3
Word: pomścić, start_time: 15.3, end_time: 15.7
Word: wspina, start_time: 15.7, end_time: 17.2
Word: konia, start_time: 17.2, end_time: 17.6
Word: szczerozłotym, start_time: 17.6, end_time: 18.5
Word: i, start_time: 18.5, end_time: 18.5
Word: ostrogami, start_time: 18.5, end_time: 19.2
Word: nastawia, start_time: 19.2, end_time: 20.4
Word: swoją, start_time: 20.4, end_time: 20.8
Word: chałupę, start_time: 20.8, end_time: 21.1
Word: Claire, start_time: 21.1, end_time: 21.6
Word: stal, start_time: 21.6, end_time: 22.4
Word: jest, start_time: 22.4, end_time: 22.8
Word: zakrwawiona, start_time: 22.8, end_time: 23.9
Word: całą, start_time: 23.9, end_time: 24.8
Word: siłą, start_time: 24.8, end_time: 25.3
Word: uderza, start_time: 25.3, end_time: 26.0
Word: poganina, start_time: 26.0, end_time: 26.7
Word: potrząsa, start_time: 26.7, end_time: 27.9
Word: klingo, start_time: 27.9, end_time: 28.4
Word: ubranie, start_time: 28.4, end_time: 28.9
Word: i, start_time: 28.9, end_time: 29.1
Word: Saracen, start_time: 29.1, end_time: 30.0
Word: pada, start_time: 30.0, end_time: 30.4
Word: diabły, start_time: 30.4, end_time: 31.7
Word: porywają, start_time: 31.7, end_time: 32.3
Word: jego, start_time: 32.3, end_time: 32.7
Word: duszę, start_time: 32.7, end_time: 33.1
Word: potem, start_time: 33.1, end_time: 34.2
Word: zabija, start_time: 34.2, end_time: 34.7
Word: diuka, start_time: 34.7, end_time: 35.3
Word: aviana, start_time: 35.3, end_time: 36.3
Word: ucina, start_time: 36.3, end_time: 37.1
Word: głowę, start_time: 37.1, end_time: 37.3
Word: Eska, start_time: 37.3, end_time: 38.3
Word: bawię, start_time: 38.3, end_time: 38.9
Word: i, start_time: 38.9, end_time: 39.1
Word: wysadza, start_time: 39.1, end_time: 39.8
Word: z, start_time: 39.8, end_time: 39.8
Word: siodła, start_time: 39.8, end_time: 40.3
Word: siedmiu, start_time: 40.3, end_time: 40.8
Word: Arabów, start_time: 40.8, end_time: 41.5
Word: ci, start_time: 41.5, end_time: 42.1
Word: już, start_time: 42.1, end_time: 42.5
Word: nie, start_time: 42.5, end_time: 42.8
Word: zdadzą, start_time: 42.8, end_time: 43.2
Word: się, start_time: 43.2, end_time: 43.5
Word: w, start_time: 43.5, end_time: 43.6
Word: bitwie, start_time: 43.6, end_time: 44.0
Word: Roland, start_time: 44.0, end_time: 45.2
Word: podjada, start_time: 45.2, end_time: 45.7
Word: mój, start_time: 45.7, end_time: 46.6
Word: towarzysz, start_time: 46.6, end_time: 46.8
Word: się, start_time: 46.8, end_time: 47.5
Word: pogniewał, start_time: 47.5, end_time: 48.2
Word: dobry, start_time: 48.2, end_time: 49.2
Word: to, start_time: 49.2, end_time: 49.4
Word: jest, start_time: 49.4, end_time: 49.6
Word: druh, start_time: 49.6, end_time: 50.1
Word: przy, start_time: 50.1, end_time: 50.4
Word: moim, start_time: 50.4, end_time: 50.7
Word: boku, start_time: 50.7, end_time: 50.9
Word: za, start_time: 50.9, end_time: 51.9
Word: takie, start_time: 51.9, end_time: 52.2
Word: ciosy, start_time: 52.2, end_time: 52.7
Word: Karol, start_time: 52.7, end_time: 53.4
Word: mocniej, start_time: 53.4, end_time: 54.1
Word: nas, start_time: 54.1, end_time: 54.3
Word: kocha, start_time: 54.3, end_time: 55.0
Word: i, start_time: 55.0, end_time: 55.2
Word: bardzo, start_time: 55.2, end_time: 56.0
Word: głośno, start_time: 56.0, end_time: 56.3
Word: krzyczy, start_time: 56.3, end_time: 57.1
Word: bijcie, start_time: 57.1, end_time: 58.1
Word: rycerze, start_time: 58.1, end_time: 58.8
