Waiting for operation to complete...
Transcript: 122 z drugiej strony przybywa poganin Grandin syn kapela króla kapadocji siedzi na koniu którego nazywa marmurem szybszy to koni niż wszelki ptak w powietrzu puszcza ciągle śpi nago ostrogą i pędzić Jerry na całą siłą Kruszyn złocistą tarcze stronce mówią session następnie rozpruwa mu pancerz zatapiam w Ciało cały swój błękitny proporzec i wali go trupem na wysoką skale zabija jeszcze kariera jego towarzysza i branży ivita z Antonin po czym uderza na bogatego diuka Amstronga który trzymał lennem walencje i anwer nad Rodanem wali go trupem poganie się cieszą Francuzi mówią co za pomus na naszych
Confidence: 0.9409171342849731
Word: 122, start_time: 0.0, end_time: 1.5
Word: z, start_time: 1.5, end_time: 1.7000000000000002
Word: drugiej, start_time: 1.7000000000000002, end_time: 3.0
Word: strony, start_time: 3.0, end_time: 3.4
Word: przybywa, start_time: 3.4, end_time: 4.4
Word: poganin, start_time: 4.4, end_time: 5.1
Word: Grandin, start_time: 5.1, end_time: 6.2
Word: syn, start_time: 6.2, end_time: 6.8
Word: kapela, start_time: 6.8, end_time: 7.6
Word: króla, start_time: 7.6, end_time: 8.3
Word: kapadocji, start_time: 8.3, end_time: 9.2
Word: siedzi, start_time: 9.2, end_time: 10.2
Word: na, start_time: 10.2, end_time: 10.4
Word: koniu, start_time: 10.4, end_time: 10.7
Word: którego, start_time: 10.7, end_time: 11.5
Word: nazywa, start_time: 11.5, end_time: 12.0
Word: marmurem, start_time: 12.0, end_time: 13.3
Word: szybszy, start_time: 13.3, end_time: 14.2
Word: to, start_time: 14.2, end_time: 14.4
Word: koni, start_time: 14.4, end_time: 14.7
Word: niż, start_time: 14.7, end_time: 15.3
Word: wszelki, start_time: 15.3, end_time: 15.8
Word: ptak, start_time: 15.8, end_time: 16.2
Word: w, start_time: 16.2, end_time: 16.3
Word: powietrzu, start_time: 16.3, end_time: 16.9
Word: puszcza, start_time: 16.9, end_time: 18.0
Word: ciągle, start_time: 18.0, end_time: 18.5
Word: śpi, start_time: 18.5, end_time: 19.1
Word: nago, start_time: 19.1, end_time: 19.4
Word: ostrogą, start_time: 19.4, end_time: 20.0
Word: i, start_time: 20.0, end_time: 20.3
Word: pędzić, start_time: 20.3, end_time: 21.5
Word: Jerry, start_time: 21.5, end_time: 22.0
Word: na, start_time: 22.0, end_time: 22.1
Word: całą, start_time: 22.1, end_time: 22.6
Word: siłą, start_time: 22.6, end_time: 23.1
Word: Kruszyn, start_time: 23.1, end_time: 24.2
Word: złocistą, start_time: 24.2, end_time: 24.8
Word: tarcze, start_time: 24.8, end_time: 25.4
Word: stronce, start_time: 25.4, end_time: 26.4
Word: mówią, start_time: 26.4, end_time: 26.8
Word: session, start_time: 26.8, end_time: 27.4
Word: następnie, start_time: 27.4, end_time: 28.7
Word: rozpruwa, start_time: 28.7, end_time: 29.2
Word: mu, start_time: 29.2, end_time: 29.4
Word: pancerz, start_time: 29.4, end_time: 29.9
Word: zatapiam, start_time: 29.9, end_time: 31.0
Word: w, start_time: 31.0, end_time: 31.0
Word: Ciało, start_time: 31.0, end_time: 31.5
Word: cały, start_time: 31.5, end_time: 31.9
Word: swój, start_time: 31.9, end_time: 32.2
Word: błękitny, start_time: 32.2, end_time: 33.0
Word: proporzec, start_time: 33.0, end_time: 33.6
Word: i, start_time: 33.6, end_time: 33.9
Word: wali, start_time: 33.9, end_time: 34.5
Word: go, start_time: 34.5, end_time: 34.7
Word: trupem, start_time: 34.7, end_time: 35.2
Word: na, start_time: 35.2, end_time: 35.7
Word: wysoką, start_time: 35.7, end_time: 36.1
Word: skale, start_time: 36.1, end_time: 36.7
Word: zabija, start_time: 36.7, end_time: 37.7
Word: jeszcze, start_time: 37.7, end_time: 38.2
Word: kariera, start_time: 38.2, end_time: 38.9
Word: jego, start_time: 38.9, end_time: 39.5
Word: towarzysza, start_time: 39.5, end_time: 40.3
Word: i, start_time: 40.3, end_time: 40.4
Word: branży, start_time: 40.4, end_time: 41.4
Word: ivita, start_time: 41.4, end_time: 42.5
Word: z, start_time: 42.5, end_time: 42.8
Word: Antonin, start_time: 42.8, end_time: 43.7
Word: po, start_time: 43.7, end_time: 44.2
Word: czym, start_time: 44.2, end_time: 44.4
Word: uderza, start_time: 44.4, end_time: 45.2
Word: na, start_time: 45.2, end_time: 45.4
Word: bogatego, start_time: 45.4, end_time: 45.9
Word: diuka, start_time: 45.9, end_time: 46.4
Word: Amstronga, start_time: 46.4, end_time: 47.7
Word: który, start_time: 47.7, end_time: 48.5
Word: trzymał, start_time: 48.5, end_time: 49.1
Word: lennem, start_time: 49.1, end_time: 49.7
Word: walencje, start_time: 49.7, end_time: 50.4
Word: i, start_time: 50.4, end_time: 50.5
Word: anwer, start_time: 50.5, end_time: 51.5
Word: nad, start_time: 51.5, end_time: 52.0
Word: Rodanem, start_time: 52.0, end_time: 52.2
Word: wali, start_time: 52.2, end_time: 53.5
Word: go, start_time: 53.5, end_time: 53.6
Word: trupem, start_time: 53.6, end_time: 54.2
Word: poganie, start_time: 54.2, end_time: 55.1
Word: się, start_time: 55.1, end_time: 55.3
Word: cieszą, start_time: 55.3, end_time: 55.8
Word: Francuzi, start_time: 55.8, end_time: 57.0
Word: mówią, start_time: 57.0, end_time: 57.1
Word: co, start_time: 57.1, end_time: 58.1
Word: za, start_time: 58.1, end_time: 58.2
Word: pomus, start_time: 58.2, end_time: 58.8
Word: na, start_time: 58.8, end_time: 59.4
Word: naszych, start_time: 59.4, end_time: 59.9
