Waiting for operation to complete...
Transcript: 125 bitwa jest cudowna staje się coraz zarzar trzeba Francuzi walą szybko i wściekle przecinają pięści boki krzyże przeszywają odzież do żywego ciała i krew płynie jasnym strumieniem po zielonej trawie Francję Francję Nie chciał Mahomet przekrój nie mów wszystkie ludy lud twój jest śmiały nie masz saracena i żeby nie krzyczał marsyl Przybywaj królu trzeba nam pomocy
Confidence: 0.9137031435966492
Word: 125, start_time: 0.0, end_time: 1.7000000000000002
Word: bitwa, start_time: 1.7000000000000002, end_time: 3.0
Word: jest, start_time: 3.0, end_time: 3.4
Word: cudowna, start_time: 3.4, end_time: 4.2
Word: staje, start_time: 4.2, end_time: 5.2
Word: się, start_time: 5.2, end_time: 5.4
Word: coraz, start_time: 5.4, end_time: 5.6
Word: zarzar, start_time: 5.6, end_time: 6.6
Word: trzeba, start_time: 6.6, end_time: 7.0
Word: Francuzi, start_time: 7.0, end_time: 8.1
Word: walą, start_time: 8.1, end_time: 8.4
Word: szybko, start_time: 8.4, end_time: 9.0
Word: i, start_time: 9.0, end_time: 9.2
Word: wściekle, start_time: 9.2, end_time: 9.9
Word: przecinają, start_time: 9.9, end_time: 10.9
Word: pięści, start_time: 10.9, end_time: 11.7
Word: boki, start_time: 11.7, end_time: 12.3
Word: krzyże, start_time: 12.3, end_time: 12.9
Word: przeszywają, start_time: 12.9, end_time: 14.0
Word: odzież, start_time: 14.0, end_time: 14.6
Word: do, start_time: 14.6, end_time: 14.8
Word: żywego, start_time: 14.8, end_time: 15.1
Word: ciała, start_time: 15.1, end_time: 15.6
Word: i, start_time: 15.6, end_time: 15.8
Word: krew, start_time: 15.8, end_time: 16.6
Word: płynie, start_time: 16.6, end_time: 17.1
Word: jasnym, start_time: 17.1, end_time: 17.7
Word: strumieniem, start_time: 17.7, end_time: 18.4
Word: po, start_time: 18.4, end_time: 18.6
Word: zielonej, start_time: 18.6, end_time: 19.1
Word: trawie, start_time: 19.1, end_time: 19.4
Word: Francję, start_time: 19.4, end_time: 21.0
Word: Francję, start_time: 21.0, end_time: 22.2
Word: Nie, start_time: 22.2, end_time: 22.8
Word: chciał, start_time: 22.8, end_time: 23.1
Word: Mahomet, start_time: 23.1, end_time: 23.3
Word: przekrój, start_time: 23.3, end_time: 24.3
Word: nie, start_time: 24.3, end_time: 24.4
Word: mów, start_time: 24.4, end_time: 25.3
Word: wszystkie, start_time: 25.3, end_time: 25.8
Word: ludy, start_time: 25.8, end_time: 26.2
Word: lud, start_time: 26.2, end_time: 27.1
Word: twój, start_time: 27.1, end_time: 27.4
Word: jest, start_time: 27.4, end_time: 28.0
Word: śmiały, start_time: 28.0, end_time: 28.8
Word: nie, start_time: 28.8, end_time: 29.5
Word: masz, start_time: 29.5, end_time: 29.6
Word: saracena, start_time: 29.6, end_time: 30.4
Word: i, start_time: 30.4, end_time: 30.5
Word: żeby, start_time: 30.5, end_time: 31.1
Word: nie, start_time: 31.1, end_time: 31.2
Word: krzyczał, start_time: 31.2, end_time: 31.7
Word: marsyl, start_time: 31.7, end_time: 32.7
Word: Przybywaj, start_time: 32.7, end_time: 33.7
Word: królu, start_time: 33.7, end_time: 34.2
Word: trzeba, start_time: 34.2, end_time: 35.1
Word: nam, start_time: 35.1, end_time: 35.3
Word: pomocy, start_time: 35.3, end_time: 36.2
