Waiting for operation to complete...
Transcript: 132 Słyszę ich arcybiskup jak się wadą spina konia szczerozłotym ostrogami pędzi ku nim i ich obu pań Rolandzie i Ty panie oliwierze błagam was na Boga Nie kłóćcie się trąbić wróg A to już was nie ocali mimo to zatrucie Tak będzie lepiej przyjdzie król będzie mógł nas pomścić nie trzeba aby Hiszpanie wrócili radzi do domu nosi Francuzi z sondą tutaj z konia znajdą nas zabitych lub okaleczonych włożona do trumien uniosą nas na Jutrznie bydlęta i będą nas opłakiwanie pełni bólu i litości pogrzebią nazw kruchta kościelnych nie zjedzą nas wielki wieprz i psy Roland rzeczy panie dobrze powiedziałeś
Confidence: 0.9487911462783813
Word: 132, start_time: 0.0, end_time: 1.5
Word: Słyszę, start_time: 1.5, end_time: 2.6
Word: ich, start_time: 2.6, end_time: 2.9
Word: arcybiskup, start_time: 2.9, end_time: 3.9
Word: jak, start_time: 3.9, end_time: 4.2
Word: się, start_time: 4.2, end_time: 4.4
Word: wadą, start_time: 4.4, end_time: 4.8
Word: spina, start_time: 4.8, end_time: 5.9
Word: konia, start_time: 5.9, end_time: 6.3
Word: szczerozłotym, start_time: 6.3, end_time: 7.2
Word: ostrogami, start_time: 7.2, end_time: 8.0
Word: pędzi, start_time: 8.0, end_time: 9.1
Word: ku, start_time: 9.1, end_time: 9.3
Word: nim, start_time: 9.3, end_time: 9.5
Word: i, start_time: 9.5, end_time: 9.7
Word: ich, start_time: 9.7, end_time: 10.8
Word: obu, start_time: 10.8, end_time: 11.2
Word: pań, start_time: 11.2, end_time: 12.3
Word: Rolandzie, start_time: 12.3, end_time: 12.8
Word: i, start_time: 12.8, end_time: 13.1
Word: Ty, start_time: 13.1, end_time: 13.7
Word: panie, start_time: 13.7, end_time: 14.2
Word: oliwierze, start_time: 14.2, end_time: 15.1
Word: błagam, start_time: 15.1, end_time: 16.3
Word: was, start_time: 16.3, end_time: 16.5
Word: na, start_time: 16.5, end_time: 16.7
Word: Boga, start_time: 16.7, end_time: 17.1
Word: Nie, start_time: 17.1, end_time: 17.2
Word: kłóćcie, start_time: 17.2, end_time: 17.6
Word: się, start_time: 17.6, end_time: 17.7
Word: trąbić, start_time: 17.7, end_time: 19.0
Word: wróg, start_time: 19.0, end_time: 19.4
Word: A, start_time: 19.4, end_time: 19.5
Word: to, start_time: 19.5, end_time: 20.6
Word: już, start_time: 20.6, end_time: 20.8
Word: was, start_time: 20.8, end_time: 21.0
Word: nie, start_time: 21.0, end_time: 21.2
Word: ocali, start_time: 21.2, end_time: 21.8
Word: mimo, start_time: 21.8, end_time: 22.7
Word: to, start_time: 22.7, end_time: 22.9
Word: zatrucie, start_time: 22.9, end_time: 23.5
Word: Tak, start_time: 23.5, end_time: 24.2
Word: będzie, start_time: 24.2, end_time: 24.6
Word: lepiej, start_time: 24.6, end_time: 24.8
Word: przyjdzie, start_time: 24.8, end_time: 26.2
Word: król, start_time: 26.2, end_time: 26.6
Word: będzie, start_time: 26.6, end_time: 27.4
Word: mógł, start_time: 27.4, end_time: 27.6
Word: nas, start_time: 27.6, end_time: 27.9
Word: pomścić, start_time: 27.9, end_time: 28.7
Word: nie, start_time: 28.7, end_time: 29.4
Word: trzeba, start_time: 29.4, end_time: 29.7
Word: aby, start_time: 29.7, end_time: 30.0
Word: Hiszpanie, start_time: 30.0, end_time: 30.6
Word: wrócili, start_time: 30.6, end_time: 31.2
Word: radzi, start_time: 31.2, end_time: 31.7
Word: do, start_time: 31.7, end_time: 31.8
Word: domu, start_time: 31.8, end_time: 32.2
Word: nosi, start_time: 32.2, end_time: 33.1
Word: Francuzi, start_time: 33.1, end_time: 33.7
Word: z, start_time: 33.7, end_time: 33.8
Word: sondą, start_time: 33.8, end_time: 34.5
Word: tutaj, start_time: 34.5, end_time: 34.9
Word: z, start_time: 34.9, end_time: 35.0
Word: konia, start_time: 35.0, end_time: 35.4
Word: znajdą, start_time: 35.4, end_time: 36.3
Word: nas, start_time: 36.3, end_time: 36.4
Word: zabitych, start_time: 36.4, end_time: 37.4
Word: lub, start_time: 37.4, end_time: 37.6
Word: okaleczonych, start_time: 37.6, end_time: 38.5
Word: włożona, start_time: 38.5, end_time: 39.6
Word: do, start_time: 39.6, end_time: 39.8
Word: trumien, start_time: 39.8, end_time: 40.2
Word: uniosą, start_time: 40.2, end_time: 41.2
Word: nas, start_time: 41.2, end_time: 41.5
Word: na, start_time: 41.5, end_time: 41.7
Word: Jutrznie, start_time: 41.7, end_time: 42.2
Word: bydlęta, start_time: 42.2, end_time: 42.8
Word: i, start_time: 42.8, end_time: 42.9
Word: będą, start_time: 42.9, end_time: 43.8
Word: nas, start_time: 43.8, end_time: 44.0
Word: opłakiwanie, start_time: 44.0, end_time: 45.0
Word: pełni, start_time: 45.0, end_time: 45.4
Word: bólu, start_time: 45.4, end_time: 45.8
Word: i, start_time: 45.8, end_time: 46.0
Word: litości, start_time: 46.0, end_time: 46.8
Word: pogrzebią, start_time: 46.8, end_time: 48.1
Word: nazw, start_time: 48.1, end_time: 48.5
Word: kruchta, start_time: 48.5, end_time: 49.0
Word: kościelnych, start_time: 49.0, end_time: 49.8
Word: nie, start_time: 49.8, end_time: 50.4
Word: zjedzą, start_time: 50.4, end_time: 50.8
Word: nas, start_time: 50.8, end_time: 51.1
Word: wielki, start_time: 51.1, end_time: 51.5
Word: wieprz, start_time: 51.5, end_time: 52.2
Word: i, start_time: 52.2, end_time: 52.4
Word: psy, start_time: 52.4, end_time: 52.8
Word: Roland, start_time: 52.8, end_time: 54.2
Word: rzeczy, start_time: 54.2, end_time: 54.6
Word: panie, start_time: 54.6, end_time: 55.6
Word: dobrze, start_time: 55.6, end_time: 56.6
Word: powiedziałeś, start_time: 56.6, end_time: 57.4
