Waiting for operation to complete...
Transcript: 134 hrabia Roland Z wielkim wysiłkiem z wielką męką bardzo boleśnie dzwoni w swój róg z ust jego tryska jasna krew skroń u Benka głos rogu rozlega się w oddali Karol słyszę go przebywając wąwozy książę naim słucha Frankowie słuchają król powiada toruk Rolando wy nie dzwonił bym A gdyby nie wydawał bitwy ganelon odpowie nie ma bitwy stary jesteś głowa twoja jest biała i oszczędzała przez takie słowa podobny Jesteś do dziecka Znasz dobrze pychę Rolanda to cud że Bóg ją tak długo cierpi Czyż nie poparzył się wziąć no place bez tego rozkazu saraceni uczynili wypad spotykali się z Rolandem twym
Confidence: 0.9569430947303772
Word: 134, start_time: 0.0, end_time: 1.8
Word: hrabia, start_time: 1.8, end_time: 3.0
Word: Roland, start_time: 3.0, end_time: 3.2
Word: Z, start_time: 3.2, end_time: 3.6
Word: wielkim, start_time: 3.6, end_time: 4.3
Word: wysiłkiem, start_time: 4.3, end_time: 4.6
Word: z, start_time: 4.6, end_time: 5.3
Word: wielką, start_time: 5.3, end_time: 5.8
Word: męką, start_time: 5.8, end_time: 6.4
Word: bardzo, start_time: 6.4, end_time: 7.4
Word: boleśnie, start_time: 7.4, end_time: 7.7
Word: dzwoni, start_time: 7.7, end_time: 8.6
Word: w, start_time: 8.6, end_time: 8.6
Word: swój, start_time: 8.6, end_time: 8.9
Word: róg, start_time: 8.9, end_time: 9.3
Word: z, start_time: 9.3, end_time: 9.5
Word: ust, start_time: 9.5, end_time: 10.7
Word: jego, start_time: 10.7, end_time: 11.0
Word: tryska, start_time: 11.0, end_time: 11.7
Word: jasna, start_time: 11.7, end_time: 12.2
Word: krew, start_time: 12.2, end_time: 12.5
Word: skroń, start_time: 12.5, end_time: 13.5
Word: u, start_time: 13.5, end_time: 13.6
Word: Benka, start_time: 13.6, end_time: 14.0
Word: głos, start_time: 14.0, end_time: 15.1
Word: rogu, start_time: 15.1, end_time: 15.6
Word: rozlega, start_time: 15.6, end_time: 16.5
Word: się, start_time: 16.5, end_time: 16.6
