Waiting for operation to complete...
Transcript: Scena druga Kleant doryna Plant co do mnie chyba to zostanę znów bym czymś mógł zasłużyć na swoją przygodę Atomic starowinka doryna to szkoda prawdziwa że nie może usłyszeć jakie pan nazywa powiedziałaby panu iż nie dał a wcale przyczyn byś z nią obchodził się tak poufale Kleant najlepiej świadczy o ma Humoru odmiana jak ona przez Tarifa swego osiadła na dole na z tego Niechaj pojęcie sobie pan wytworzy o synu ale tutaj to już trochę gorzej był to w przód człowiek z duszą Roztropna i godną w służbach króla okazał ten gość niezawodną teraz odkąd tarcicę swym Przejął się cały od tego czasu chodzi nie było głupie nazywa go swoim bratem miłuje go bardziej niż własną matkę przy nim żoną dziećmi gardzi to dziś tajemnic jego powiernik jedyny
Confidence: 0.9573459625244141
Word: Scena, start_time: 0.0, end_time: 0.8
Word: druga, start_time: 0.8, end_time: 1.1
Word: Kleant, start_time: 1.1, end_time: 2.6
Word: doryna, start_time: 2.6, end_time: 3.5
Word: Plant, start_time: 3.5, end_time: 4.5
Word: co, start_time: 4.5, end_time: 5.3
Word: do, start_time: 5.3, end_time: 5.4
Word: mnie, start_time: 5.4, end_time: 5.5
Word: chyba, start_time: 5.5, end_time: 6.1
Word: to, start_time: 6.1, end_time: 6.2
Word: zostanę, start_time: 6.2, end_time: 6.8
Word: znów, start_time: 6.8, end_time: 7.6
Word: bym, start_time: 7.6, end_time: 7.8
Word: czymś, start_time: 7.8, end_time: 8.1
Word: mógł, start_time: 8.1, end_time: 8.5
Word: zasłużyć, start_time: 8.5, end_time: 9.4
Word: na, start_time: 9.4, end_time: 9.5
Word: swoją, start_time: 9.5, end_time: 10.1
Word: przygodę, start_time: 10.1, end_time: 10.8
Word: Atomic, start_time: 10.8, end_time: 11.8
Word: starowinka, start_time: 11.8, end_time: 12.4
Word: doryna, start_time: 12.4, end_time: 13.4
Word: to, start_time: 13.4, end_time: 14.2
Word: szkoda, start_time: 14.2, end_time: 14.5
Word: prawdziwa, start_time: 14.5, end_time: 15.1
Word: że, start_time: 15.1, end_time: 15.3
Word: nie, start_time: 15.3, end_time: 15.5
Word: może, start_time: 15.5, end_time: 15.8
Word: usłyszeć, start_time: 15.8, end_time: 16.2
Word: jakie, start_time: 16.2, end_time: 16.6
Word: pan, start_time: 16.6, end_time: 16.8
Word: nazywa, start_time: 16.8, end_time: 17.4
Word: powiedziałaby, start_time: 17.4, end_time: 18.5
Word: panu, start_time: 18.5, end_time: 18.8
Word: iż, start_time: 18.8, end_time: 19.2
Word: nie, start_time: 19.2, end_time: 19.6
Word: dał, start_time: 19.6, end_time: 19.8
Word: a, start_time: 19.8, end_time: 19.9
Word: wcale, start_time: 19.9, end_time: 20.0
Word: przyczyn, start_time: 20.0, end_time: 20.9
Word: byś, start_time: 20.9, end_time: 21.3
Word: z, start_time: 21.3, end_time: 21.4
Word: nią, start_time: 21.4, end_time: 21.6
Word: obchodził, start_time: 21.6, end_time: 22.2
Word: się, start_time: 22.2, end_time: 22.4
Word: tak, start_time: 22.4, end_time: 22.6
Word: poufale, start_time: 22.6, end_time: 23.2
Word: Kleant, start_time: 23.2, end_time: 24.2
