Waiting for operation to complete...
Transcript: część trzecia rozdział pierwszy ojciec mieszkam na wsi dość daleko od Paryża skoro Przybyłem spotkałem w drzwiach lekarza który rzekł spóźnił się pan ojciec pragną pana widzieć ostatni raz wszedłem i ujrzałem ciało proszę rzekłem do lekarza kasztan aby wszyscy wyszli i abym nie zostawiono samego ojciec miał mi coś do powiedzenia i powiem i służba oddaliła się wówczas zbliżyliśmy się do łóżka podniosłem łagodnie Town ale zaledwie ujrzałem ojca rzuciłem się aby go uściskać i straciłem przytomność Kiedy przyszedłem do siebie usłyszałem jak ktoś mówił Jeśli zażąda od mówcie Pod jakim bądź pozorem zrozumiałem iż chciano mnie oddalić od Mar udałem że nie słyszę widząc że jestem spokojny zostawi
Confidence: 0.947261393070221
Word: część, start_time: 0.0, end_time: 1.2
Word: trzecia, start_time: 1.2, end_time: 2.0
Word: rozdział, start_time: 2.0, end_time: 3.2
Word: pierwszy, start_time: 3.2, end_time: 3.9
Word: ojciec, start_time: 3.9, end_time: 5.0
Word: mieszkam, start_time: 5.0, end_time: 5.4
Word: na, start_time: 5.4, end_time: 5.6
Word: wsi, start_time: 5.6, end_time: 5.8
Word: dość, start_time: 5.8, end_time: 6.8
Word: daleko, start_time: 6.8, end_time: 7.1
Word: od, start_time: 7.1, end_time: 7.4
Word: Paryża, start_time: 7.4, end_time: 7.8
Word: skoro, start_time: 7.8, end_time: 8.9
Word: Przybyłem, start_time: 8.9, end_time: 9.4
Word: spotkałem, start_time: 9.4, end_time: 10.3
Word: w, start_time: 10.3, end_time: 10.4
Word: drzwiach, start_time: 10.4, end_time: 10.8
Word: lekarza, start_time: 10.8, end_time: 11.5
Word: który, start_time: 11.5, end_time: 12.0
Word: rzekł, start_time: 12.0, end_time: 12.4
Word: spóźnił, start_time: 12.4, end_time: 13.9
Word: się, start_time: 13.9, end_time: 14.0
Word: pan, start_time: 14.0, end_time: 14.3
Word: ojciec, start_time: 14.3, end_time: 15.5
Word: pragną, start_time: 15.5, end_time: 15.9
Word: pana, start_time: 15.9, end_time: 16.2
Word: widzieć, start_time: 16.2, end_time: 16.5
Word: ostatni, start_time: 16.5, end_time: 17.3
Word: raz, start_time: 17.3, end_time: 17.5
Word: wszedłem, start_time: 17.5, end_time: 18.8
Word: i, start_time: 18.8, end_time: 19.0
Word: ujrzałem, start_time: 19.0, end_time: 19.7
