Waiting for operation to complete...
Transcript: 160 poganie mówią w złej godzinie śmy się pogodzili co za bolesny dzień wstał dla nas straciliśmy naszych planów i naszych parów Karol wraca pan mężny ze swoim wielkim wojskiem słyszymy jak grają donosi trąby Francuzów głośno się rozlega ich zawołanie montjoie hrabia Roland rycerz tak mężny że żaden człowiek z krwi i ciała nie zwycięży go nigdy wypuść mnie na niego strzały a potem zostawmy mu pole i wypuścili na niego obrotów i pocisków bez liku i włócznie dzidy i pierzaste strzały złamali i przedziurawił tarcze trzaskaly i Rosji pancerz ale ciała nie dosięgnie zranili wszakże konia jego 30 ranami pod hrabią Bilguuna
Confidence: 0.9519984126091003
Word: 160, start_time: 0.0, end_time: 1.4
Word: poganie, start_time: 1.4, end_time: 2.8
Word: mówią, start_time: 2.8, end_time: 3.1
Word: w, start_time: 3.1, end_time: 3.3
Word: złej, start_time: 3.3, end_time: 4.3
Word: godzinie, start_time: 4.3, end_time: 5.0
Word: śmy, start_time: 5.0, end_time: 5.3
Word: się, start_time: 5.3, end_time: 5.4
Word: pogodzili, start_time: 5.4, end_time: 6.2
Word: co, start_time: 6.2, end_time: 7.0
Word: za, start_time: 7.0, end_time: 7.1
Word: bolesny, start_time: 7.1, end_time: 7.6
Word: dzień, start_time: 7.6, end_time: 7.9
Word: wstał, start_time: 7.9, end_time: 8.4
Word: dla, start_time: 8.4, end_time: 8.7
Word: nas, start_time: 8.7, end_time: 9.0
Word: straciliśmy, start_time: 9.0, end_time: 10.6
Word: naszych, start_time: 10.6, end_time: 11.0
Word: planów, start_time: 11.0, end_time: 11.4
Word: i, start_time: 11.4, end_time: 11.7
Word: naszych, start_time: 11.7, end_time: 12.2
Word: parów, start_time: 12.2, end_time: 12.7
Word: Karol, start_time: 12.7, end_time: 13.8
Word: wraca, start_time: 13.8, end_time: 14.3
Word: pan, start_time: 14.3, end_time: 14.9
Word: mężny, start_time: 14.9, end_time: 15.5
Word: ze, start_time: 15.5, end_time: 16.3
Word: swoim, start_time: 16.3, end_time: 16.6
Word: wielkim, start_time: 16.6, end_time: 17.0
Word: wojskiem, start_time: 17.0, end_time: 17.8
Word: słyszymy, start_time: 17.8, end_time: 19.2
Word: jak, start_time: 19.2, end_time: 19.5
Word: grają, start_time: 19.5, end_time: 20.0
Word: donosi, start_time: 20.0, end_time: 20.5
Word: trąby, start_time: 20.5, end_time: 21.0
Word: Francuzów, start_time: 21.0, end_time: 21.6
