Waiting for operation to complete...
Transcript: 167 hrabia Roland V biskupa na Ziemi Obok jego ciała widzi leżące jego wnętrzności mózg Skupujemy strzała na piersi pięknie pośrodku złożył swe białe ręce tak piękne Roland wedle praw ludzkich odmawia nad nim swoją skargę ha miły panie rycerzu Wielkiego rodu polecam cię o to wspaniałemu panu Niebios nikt wiele chętniej nie będzie pełnił jego służby nigdy od czasu apostołów nie było takiego proroka tak pilnego w sprzężeniu prawa i ściąganiu do niego by twoja dusza mogła nie cierpieć żadnego braku Oby bramy raju były jej otwarte
Confidence: 0.954226553440094
Word: 167, start_time: 0.0, end_time: 1.9
Word: hrabia, start_time: 1.9, end_time: 3.2
Word: Roland, start_time: 3.2, end_time: 3.5
Word: V, start_time: 3.5, end_time: 4.3
Word: biskupa, start_time: 4.3, end_time: 5.4
Word: na, start_time: 5.4, end_time: 5.5
Word: Ziemi, start_time: 5.5, end_time: 5.9
Word: Obok, start_time: 5.9, end_time: 6.9
Word: jego, start_time: 6.9, end_time: 7.2
Word: ciała, start_time: 7.2, end_time: 7.7
Word: widzi, start_time: 7.7, end_time: 8.4
Word: leżące, start_time: 8.4, end_time: 8.9
Word: jego, start_time: 8.9, end_time: 9.2
Word: wnętrzności, start_time: 9.2, end_time: 10.1
Word: mózg, start_time: 10.1, end_time: 11.2
Word: Skupujemy, start_time: 11.2, end_time: 12.0
Word: strzała, start_time: 12.0, end_time: 12.5
Word: na, start_time: 12.5, end_time: 12.7
Word: piersi, start_time: 12.7, end_time: 13.9
Word: pięknie, start_time: 13.9, end_time: 14.9
Word: pośrodku, start_time: 14.9, end_time: 15.8
Word: złożył, start_time: 15.8, end_time: 16.9
Word: swe, start_time: 16.9, end_time: 17.2
Word: białe, start_time: 17.2, end_time: 17.6
Word: ręce, start_time: 17.6, end_time: 17.9
Word: tak, start_time: 17.9, end_time: 18.7
Word: piękne, start_time: 18.7, end_time: 19.3
Word: Roland, start_time: 19.3, end_time: 20.9
Word: wedle, start_time: 20.9, end_time: 21.7
Word: praw, start_time: 21.7, end_time: 22.0
Word: ludzkich, start_time: 22.0, end_time: 22.2
Word: odmawia, start_time: 22.2, end_time: 23.4
Word: nad, start_time: 23.4, end_time: 23.6
Word: nim, start_time: 23.6, end_time: 23.8
Word: swoją, start_time: 23.8, end_time: 24.3
Word: skargę, start_time: 24.3, end_time: 24.9
Word: ha, start_time: 24.9, end_time: 26.2
Word: miły, start_time: 26.2, end_time: 27.2
Word: panie, start_time: 27.2, end_time: 27.6
Word: rycerzu, start_time: 27.6, end_time: 28.9
Word: Wielkiego, start_time: 28.9, end_time: 29.5
Word: rodu, start_time: 29.5, end_time: 29.9
Word: polecam, start_time: 29.9, end_time: 31.1
Word: cię, start_time: 31.1, end_time: 31.3
Word: o, start_time: 31.3, end_time: 31.4
Word: to, start_time: 31.4, end_time: 31.7
Word: wspaniałemu, start_time: 31.7, end_time: 32.4
Word: panu, start_time: 32.4, end_time: 32.9
Word: Niebios, start_time: 32.9, end_time: 33.4
Word: nikt, start_time: 33.4, end_time: 35.0
Word: wiele, start_time: 35.0, end_time: 35.6
Word: chętniej, start_time: 35.6, end_time: 36.6
Word: nie, start_time: 36.6, end_time: 36.8
Word: będzie, start_time: 36.8, end_time: 37.2
Word: pełnił, start_time: 37.2, end_time: 37.8
Word: jego, start_time: 37.8, end_time: 38.0
Word: służby, start_time: 38.0, end_time: 38.6
Word: nigdy, start_time: 38.6, end_time: 39.7
Word: od, start_time: 39.7, end_time: 40.2
Word: czasu, start_time: 40.2, end_time: 40.6
Word: apostołów, start_time: 40.6, end_time: 41.3
Word: nie, start_time: 41.3, end_time: 42.2
Word: było, start_time: 42.2, end_time: 42.5
Word: takiego, start_time: 42.5, end_time: 42.9
Word: proroka, start_time: 42.9, end_time: 43.6
Word: tak, start_time: 43.6, end_time: 44.3
Word: pilnego, start_time: 44.3, end_time: 44.8
Word: w, start_time: 44.8, end_time: 45.0
Word: sprzężeniu, start_time: 45.0, end_time: 45.5
Word: prawa, start_time: 45.5, end_time: 46.2
Word: i, start_time: 46.2, end_time: 46.4
Word: ściąganiu, start_time: 46.4, end_time: 47.5
Word: do, start_time: 47.5, end_time: 47.7
Word: niego, start_time: 47.7, end_time: 48.0
Word: by, start_time: 48.0, end_time: 49.2
Word: twoja, start_time: 49.2, end_time: 49.5
Word: dusza, start_time: 49.5, end_time: 49.7
Word: mogła, start_time: 49.7, end_time: 50.7
Word: nie, start_time: 50.7, end_time: 50.9
Word: cierpieć, start_time: 50.9, end_time: 51.5
Word: żadnego, start_time: 51.5, end_time: 52.3
Word: braku, start_time: 52.3, end_time: 52.8
Word: Oby, start_time: 52.8, end_time: 53.6
Word: bramy, start_time: 53.6, end_time: 54.1
Word: raju, start_time: 54.1, end_time: 54.5
Word: były, start_time: 54.5, end_time: 55.4
Word: jej, start_time: 55.4, end_time: 55.6
Word: otwarte, start_time: 55.6, end_time: 56.3
