Waiting for operation to complete...
Transcript: 177 Roland umarł Bóg ma jego duszę w niebie cesarz przybywa do Rewal nie masz drogi i ścieżki ani sążnia ani stopy wolnej ziemi gdzie będzie leżał poganin albo Francuz Karol woła gdzie jesteś miły siostrzany gdzie arcybiskup gdzie hrabia Olivier gdzie geringer Year jego towarzysz gdzie Otton I hrabia branży Yvonne i ivar których tak kochałem Co się stało z Engel jerem gaskończyk jem i z wilkiem Samsonem Jest dzielnym anweisen Gdzie jest stary Gerard z rulonu gdzie 12 parów których mu zostawiłem na co mu się zda wołać kiedy żaden nie odpowiada Boże Rzecze król wielce trzeba mi rozpacza
Confidence: 0.9479748010635376
Word: 177, start_time: 0.0, end_time: 2.0
Word: Roland, start_time: 2.0, end_time: 3.6
Word: umarł, start_time: 3.6, end_time: 4.5
Word: Bóg, start_time: 4.5, end_time: 5.8
Word: ma, start_time: 5.8, end_time: 6.2
Word: jego, start_time: 6.2, end_time: 6.3
Word: duszę, start_time: 6.3, end_time: 6.7
Word: w, start_time: 6.7, end_time: 6.8
Word: niebie, start_time: 6.8, end_time: 7.2
Word: cesarz, start_time: 7.2, end_time: 8.5
Word: przybywa, start_time: 8.5, end_time: 9.5
Word: do, start_time: 9.5, end_time: 9.6
Word: Rewal, start_time: 9.6, end_time: 10.3
Word: nie, start_time: 10.3, end_time: 11.0
Word: masz, start_time: 11.0, end_time: 11.2
Word: drogi, start_time: 11.2, end_time: 11.8
Word: i, start_time: 11.8, end_time: 11.9
Word: ścieżki, start_time: 11.9, end_time: 12.2
Word: ani, start_time: 12.2, end_time: 13.3
Word: sążnia, start_time: 13.3, end_time: 14.0
Word: ani, start_time: 14.0, end_time: 14.6
Word: stopy, start_time: 14.6, end_time: 15.0
Word: wolnej, start_time: 15.0, end_time: 15.5
Word: ziemi, start_time: 15.5, end_time: 15.6
Word: gdzie, start_time: 15.6, end_time: 16.6
Word: będzie, start_time: 16.6, end_time: 16.8
Word: leżał, start_time: 16.8, end_time: 17.1
Word: poganin, start_time: 17.1, end_time: 17.8
Word: albo, start_time: 17.8, end_time: 18.3
Word: Francuz, start_time: 18.3, end_time: 18.9
Word: Karol, start_time: 18.9, end_time: 20.2
Word: woła, start_time: 20.2, end_time: 20.5
Word: gdzie, start_time: 20.5, end_time: 21.5
Word: jesteś, start_time: 21.5, end_time: 21.9
Word: miły, start_time: 21.9, end_time: 22.4
Word: siostrzany, start_time: 22.4, end_time: 23.2
Word: gdzie, start_time: 23.2, end_time: 24.0
Word: arcybiskup, start_time: 24.0, end_time: 24.8
Word: gdzie, start_time: 24.8, end_time: 25.5
Word: hrabia, start_time: 25.5, end_time: 25.9
Word: Olivier, start_time: 25.9, end_time: 26.3
Word: gdzie, start_time: 26.3, end_time: 27.4
Word: geringer, start_time: 27.4, end_time: 28.6
Word: Year, start_time: 28.6, end_time: 28.9
Word: jego, start_time: 28.9, end_time: 29.2
Word: towarzysz, start_time: 29.2, end_time: 29.8
Word: gdzie, start_time: 29.8, end_time: 30.5
Word: Otton, start_time: 30.5, end_time: 31.0
Word: I, start_time: 31.0, end_time: 31.2
Word: hrabia, start_time: 31.2, end_time: 32.1
Word: branży, start_time: 32.1, end_time: 33.0
Word: Yvonne, start_time: 33.0, end_time: 34.0
Word: i, start_time: 34.0, end_time: 34.2
Word: ivar, start_time: 34.2, end_time: 34.8
Word: których, start_time: 34.8, end_time: 35.5
Word: tak, start_time: 35.5, end_time: 35.8
Word: kochałem, start_time: 35.8, end_time: 36.3
Word: Co, start_time: 36.3, end_time: 37.2
Word: się, start_time: 37.2, end_time: 37.3
Word: stało, start_time: 37.3, end_time: 37.8
Word: z, start_time: 37.8, end_time: 37.9
