Waiting for operation to complete...
Transcript: 179 cesarz każe trąbić firmy jedzie waleczny cesarz ze swoim wielkim wojskiem dopadli Hiszpanów z tyłu gonią ich zjednac im męstwem wszyscy naraz kiedy cesarz widzi że ma się ku zmierzchowy zsiada z konia na zieloną murawę na łące kładzie się na ziemi i prosi Boga aby dla niego zatrzymał słońce i żeby się noc spóźniła a izby dzień trwał wówczas przychodzi do nich anioł ten który zwyczajnie z nim gada szybko daje mu ten rozkaz Karolu jedź jasny dzień będzie ci przyświecał postarzałeś kwiat Francji bo kto wie możesz się zemścić na tym pieskiem nasieniu rzekł a cesarz dosiada konia
Confidence: 0.941361129283905
Word: 179, start_time: 0.0, end_time: 1.4
Word: cesarz, start_time: 1.4, end_time: 3.2
Word: każe, start_time: 3.2, end_time: 3.5
Word: trąbić, start_time: 3.5, end_time: 4.0
Word: firmy, start_time: 4.0, end_time: 4.6
Word: jedzie, start_time: 4.6, end_time: 5.8
Word: waleczny, start_time: 5.8, end_time: 6.4
Word: cesarz, start_time: 6.4, end_time: 6.9
Word: ze, start_time: 6.9, end_time: 7.4
Word: swoim, start_time: 7.4, end_time: 7.7
Word: wielkim, start_time: 7.7, end_time: 8.0
Word: wojskiem, start_time: 8.0, end_time: 8.8
Word: dopadli, start_time: 8.8, end_time: 10.1
Word: Hiszpanów, start_time: 10.1, end_time: 10.6
Word: z, start_time: 10.6, end_time: 10.8
Word: tyłu, start_time: 10.8, end_time: 11.3
Word: gonią, start_time: 11.3, end_time: 12.1
Word: ich, start_time: 12.1, end_time: 12.5
Word: zjednac, start_time: 12.5, end_time: 13.3
Word: im, start_time: 13.3, end_time: 13.4
Word: męstwem, start_time: 13.4, end_time: 14.0
Word: wszyscy, start_time: 14.0, end_time: 14.9
Word: naraz, start_time: 14.9, end_time: 15.1
Word: kiedy, start_time: 15.1, end_time: 16.3
Word: cesarz, start_time: 16.3, end_time: 16.7
Word: widzi, start_time: 16.7, end_time: 17.2
Word: że, start_time: 17.2, end_time: 17.9
Word: ma, start_time: 17.9, end_time: 18.0
Word: się, start_time: 18.0, end_time: 18.1
Word: ku, start_time: 18.1, end_time: 18.3
Word: zmierzchowy, start_time: 18.3, end_time: 18.9
Word: zsiada, start_time: 18.9, end_time: 19.9
Word: z, start_time: 19.9, end_time: 19.9
Word: konia, start_time: 19.9, end_time: 20.1
Word: na, start_time: 20.1, end_time: 20.4
Word: zieloną, start_time: 20.4, end_time: 20.8
Word: murawę, start_time: 20.8, end_time: 21.1
Word: na, start_time: 21.1, end_time: 21.5
