Waiting for operation to complete...
Transcript: 181 Kiedy Karol widzi że poganie wszyscy zginęli Jedni zabicie żelazem a większość podtopiona i jak wielki łup zebrali jego rycerze zsiada z konia wodny król kładzie się na ziemi i dziękuję Bogu Kiedy się podniósł słońce zaszło cesarz powiada czas rozbić obóz za późno nam wracać gorące balkonie są zmęczone i zdrożony rozkulbaczyć a e zdejmijcie im used i Dajcie im popaść na murawie Frankowie odpowiadają panie dobrze mówisz
Confidence: 0.933379590511322
Word: 181, start_time: 0.0, end_time: 1.7000000000000002
Word: Kiedy, start_time: 1.7000000000000002, end_time: 2.7
Word: Karol, start_time: 2.7, end_time: 3.0
Word: widzi, start_time: 3.0, end_time: 3.5
Word: że, start_time: 3.5, end_time: 4.0
Word: poganie, start_time: 4.0, end_time: 4.4
Word: wszyscy, start_time: 4.4, end_time: 5.0
Word: zginęli, start_time: 5.0, end_time: 5.4
Word: Jedni, start_time: 5.4, end_time: 6.4
Word: zabicie, start_time: 6.4, end_time: 6.8
Word: żelazem, start_time: 6.8, end_time: 7.5
Word: a, start_time: 7.5, end_time: 7.6
Word: większość, start_time: 7.6, end_time: 8.3
Word: podtopiona, start_time: 8.3, end_time: 9.3
Word: i, start_time: 9.3, end_time: 9.4
Word: jak, start_time: 9.4, end_time: 10.2
Word: wielki, start_time: 10.2, end_time: 10.6
Word: łup, start_time: 10.6, end_time: 11.0
Word: zebrali, start_time: 11.0, end_time: 11.6
Word: jego, start_time: 11.6, end_time: 11.9
Word: rycerze, start_time: 11.9, end_time: 12.4
Word: zsiada, start_time: 12.4, end_time: 13.4
Word: z, start_time: 13.4, end_time: 13.4
Word: konia, start_time: 13.4, end_time: 13.6
Word: wodny, start_time: 13.6, end_time: 14.7
Word: król, start_time: 14.7, end_time: 15.1
Word: kładzie, start_time: 15.1, end_time: 16.1
Word: się, start_time: 16.1, end_time: 16.3
Word: na, start_time: 16.3, end_time: 16.4
Word: ziemi, start_time: 16.4, end_time: 16.8
Word: i, start_time: 16.8, end_time: 17.0
Word: dziękuję, start_time: 17.0, end_time: 17.9
Word: Bogu, start_time: 17.9, end_time: 18.1
Word: Kiedy, start_time: 18.1, end_time: 19.5
Word: się, start_time: 19.5, end_time: 19.7
Word: podniósł, start_time: 19.7, end_time: 20.1
Word: słońce, start_time: 20.1, end_time: 21.2
Word: zaszło, start_time: 21.2, end_time: 21.4
Word: cesarz, start_time: 21.4, end_time: 22.9
Word: powiada, start_time: 22.9, end_time: 23.5
Word: czas, start_time: 23.5, end_time: 24.4
Word: rozbić, start_time: 24.4, end_time: 25.1
Word: obóz, start_time: 25.1, end_time: 25.5
Word: za, start_time: 25.5, end_time: 26.5
Word: późno, start_time: 26.5, end_time: 27.0
Word: nam, start_time: 27.0, end_time: 27.1
Word: wracać, start_time: 27.1, end_time: 27.6
Word: gorące, start_time: 27.6, end_time: 28.5
Word: balkonie, start_time: 28.5, end_time: 29.6
Word: są, start_time: 29.6, end_time: 29.7
Word: zmęczone, start_time: 29.7, end_time: 30.2
Word: i, start_time: 30.2, end_time: 30.6
Word: zdrożony, start_time: 30.6, end_time: 31.3
Word: rozkulbaczyć, start_time: 31.3, end_time: 32.6
Word: a, start_time: 32.6, end_time: 33.0
Word: e, start_time: 33.0, end_time: 33.1
Word: zdejmijcie, start_time: 33.1, end_time: 34.1
Word: im, start_time: 34.1, end_time: 34.4
Word: used, start_time: 34.4, end_time: 34.8
Word: i, start_time: 34.8, end_time: 35.0
Word: Dajcie, start_time: 35.0, end_time: 35.9
Word: im, start_time: 35.9, end_time: 35.9
Word: popaść, start_time: 35.9, end_time: 37.0
Word: na, start_time: 37.0, end_time: 37.4
Word: murawie, start_time: 37.4, end_time: 37.9
Word: Frankowie, start_time: 37.9, end_time: 39.3
Word: odpowiadają, start_time: 39.3, end_time: 40.1
Word: panie, start_time: 40.1, end_time: 41.3
Word: dobrze, start_time: 41.3, end_time: 42.3
Word: mówisz, start_time: 42.3, end_time: 42.8
