Waiting for operation to complete...
Transcript: 184 jasna jest noc i księżyc lśniący Karol spoczywa ale pełen jest żałoby Orlanda i serce jego Ciężkie jest przyczyny Oliwiera i 12 barów i Francuzów zostawił ich Bronze wymarłych okrwawiona płaczę Lamentuję nie może się ukoić i prosi Boga aby zbawił ich dusze znużony jest bo jego męka jest bardzo wielka usnął nie może już dłużej na całej łące Francuzi posnęli ani jeden koń nie trzyma się na nogach jeśli chcą trawy szczypią ją leżący wiele się nauczył ten kto cierpiał
Confidence: 0.9367045164108276
Word: 184, start_time: 0.0, end_time: 2.2
Word: jasna, start_time: 2.2, end_time: 3.8
Word: jest, start_time: 3.8, end_time: 4.1
Word: noc, start_time: 4.1, end_time: 4.4
Word: i, start_time: 4.4, end_time: 4.7
Word: księżyc, start_time: 4.7, end_time: 5.1
Word: lśniący, start_time: 5.1, end_time: 6.3
Word: Karol, start_time: 6.3, end_time: 7.3
Word: spoczywa, start_time: 7.3, end_time: 7.9
Word: ale, start_time: 7.9, end_time: 8.4
Word: pełen, start_time: 8.4, end_time: 8.8
Word: jest, start_time: 8.8, end_time: 9.1
Word: żałoby, start_time: 9.1, end_time: 9.7
Word: Orlanda, start_time: 9.7, end_time: 10.5
Word: i, start_time: 10.5, end_time: 10.7
Word: serce, start_time: 10.7, end_time: 11.5
Word: jego, start_time: 11.5, end_time: 11.6
Word: Ciężkie, start_time: 11.6, end_time: 12.3
Word: jest, start_time: 12.3, end_time: 12.5
Word: przyczyny, start_time: 12.5, end_time: 13.3
Word: Oliwiera, start_time: 13.3, end_time: 14.1
Word: i, start_time: 14.1, end_time: 14.3
Word: 12, start_time: 14.3, end_time: 15.0
Word: barów, start_time: 15.0, end_time: 15.5
Word: i, start_time: 15.5, end_time: 15.7
Word: Francuzów, start_time: 15.7, end_time: 16.6
Word: zostawił, start_time: 16.6, end_time: 17.9
Word: ich, start_time: 17.9, end_time: 18.2
Word: Bronze, start_time: 18.2, end_time: 18.8
Word: wymarłych, start_time: 18.8, end_time: 20.3
Word: okrwawiona, start_time: 20.3, end_time: 21.1
Word: płaczę, start_time: 21.1, end_time: 22.7
Word: Lamentuję, start_time: 22.7, end_time: 22.9
Word: nie, start_time: 22.9, end_time: 24.4
Word: może, start_time: 24.4, end_time: 24.7
Word: się, start_time: 24.7, end_time: 24.8
Word: ukoić, start_time: 24.8, end_time: 25.4
Word: i, start_time: 25.4, end_time: 25.6
Word: prosi, start_time: 25.6, end_time: 26.7
Word: Boga, start_time: 26.7, end_time: 26.7
Word: aby, start_time: 26.7, end_time: 27.3
Word: zbawił, start_time: 27.3, end_time: 28.2
Word: ich, start_time: 28.2, end_time: 28.5
Word: dusze, start_time: 28.5, end_time: 29.0
Word: znużony, start_time: 29.0, end_time: 30.4
Word: jest, start_time: 30.4, end_time: 30.8
Word: bo, start_time: 30.8, end_time: 31.3
Word: jego, start_time: 31.3, end_time: 31.5
Word: męka, start_time: 31.5, end_time: 32.0
Word: jest, start_time: 32.0, end_time: 32.3
Word: bardzo, start_time: 32.3, end_time: 32.8
Word: wielka, start_time: 32.8, end_time: 33.2
Word: usnął, start_time: 33.2, end_time: 34.5
Word: nie, start_time: 34.5, end_time: 35.4
Word: może, start_time: 35.4, end_time: 35.7
Word: już, start_time: 35.7, end_time: 35.8
Word: dłużej, start_time: 35.8, end_time: 36.2
Word: na, start_time: 36.2, end_time: 37.3
Word: całej, start_time: 37.3, end_time: 37.6
Word: łące, start_time: 37.6, end_time: 38.2
Word: Francuzi, start_time: 38.2, end_time: 38.9
Word: posnęli, start_time: 38.9, end_time: 39.4
Word: ani, start_time: 39.4, end_time: 40.5
Word: jeden, start_time: 40.5, end_time: 40.8
Word: koń, start_time: 40.8, end_time: 41.2
Word: nie, start_time: 41.2, end_time: 41.5
Word: trzyma, start_time: 41.5, end_time: 41.9
Word: się, start_time: 41.9, end_time: 42.0
Word: na, start_time: 42.0, end_time: 42.1
Word: nogach, start_time: 42.1, end_time: 42.6
Word: jeśli, start_time: 42.6, end_time: 43.4
Word: chcą, start_time: 43.4, end_time: 43.7
Word: trawy, start_time: 43.7, end_time: 44.2
Word: szczypią, start_time: 44.2, end_time: 45.2
Word: ją, start_time: 45.2, end_time: 45.6
Word: leżący, start_time: 45.6, end_time: 46.5
Word: wiele, start_time: 46.5, end_time: 47.7
Word: się, start_time: 47.7, end_time: 47.9
Word: nauczył, start_time: 47.9, end_time: 48.5
Word: ten, start_time: 48.5, end_time: 48.8
Word: kto, start_time: 48.8, end_time: 49.6
Word: cierpiał, start_time: 49.6, end_time: 50.0
