Waiting for operation to complete...
Transcript: rozdział czwarty szliśmy w milczeniu wiatr przycichł drzewa drżały lekko potrząsając krople Z gałęzi od czasu do czasu łyska bo się jeszcze w dali po chłodzona Atmosfera przesycona była zapachem wilgotnej zieloność i wreszcie Nie bo wyjaśniło się zupełnie i księżyc świecił góry mimo woli dymałem nad szczególnym trafem który w ciągu Tak niewielu godzin pozwolił mi o to znaleźć się samemu w nocy w szczerym polu w towarzystwie kobiety której istnienia nieświadom Byłem jeszcze poprzedniego ranka przyjęła opiekę Nad Jarem jego nazwiska i szła swobodnie wspierając się z lekka na moim ramieniu ufność ta budziła we mnie wrażenie wielkiej śmiałości albo wielkiej prostoty musiało być w niej w istocie i to i to z każdym bowiem krokiem czułem iż serce moje wzbiera dumą i niewinnością zrazu rozmawialiśmy
Confidence: 0.9517426490783691
Word: rozdział, start_time: 0.0, end_time: 0.9
Word: czwarty, start_time: 0.9, end_time: 1.1
Word: szliśmy, start_time: 1.1, end_time: 2.7
Word: w, start_time: 2.7, end_time: 2.8
Word: milczeniu, start_time: 2.8, end_time: 3.3
Word: wiatr, start_time: 3.3, end_time: 4.4
Word: przycichł, start_time: 4.4, end_time: 5.0
Word: drzewa, start_time: 5.0, end_time: 6.1
Word: drżały, start_time: 6.1, end_time: 6.8
Word: lekko, start_time: 6.8, end_time: 7.2
Word: potrząsając, start_time: 7.2, end_time: 8.3
Word: krople, start_time: 8.3, end_time: 8.8
Word: Z, start_time: 8.8, end_time: 8.9
Word: gałęzi, start_time: 8.9, end_time: 9.4
Word: od, start_time: 9.4, end_time: 10.1
Word: czasu, start_time: 10.1, end_time: 10.4
Word: do, start_time: 10.4, end_time: 10.6
Word: czasu, start_time: 10.6, end_time: 10.7
Word: łyska, start_time: 10.7, end_time: 11.6
Word: bo, start_time: 11.6, end_time: 11.7
Word: się, start_time: 11.7, end_time: 12.0
Word: jeszcze, start_time: 12.0, end_time: 12.1
Word: w, start_time: 12.1, end_time: 12.4
Word: dali, start_time: 12.4, end_time: 12.7
Word: po, start_time: 12.7, end_time: 13.2
Word: chłodzona, start_time: 13.2, end_time: 13.7
Word: Atmosfera, start_time: 13.7, end_time: 14.4
Word: przesycona, start_time: 14.4, end_time: 15.2
Word: była, start_time: 15.2, end_time: 15.5
Word: zapachem, start_time: 15.5, end_time: 15.9
Word: wilgotnej, start_time: 15.9, end_time: 16.7
Word: zieloność, start_time: 16.7, end_time: 17.3
Word: i, start_time: 17.3, end_time: 17.4
Word: wreszcie, start_time: 17.4, end_time: 18.2
Word: Nie, start_time: 18.2, end_time: 18.5
Word: bo, start_time: 18.5, end_time: 18.7
