Waiting for operation to complete...
Transcript: 196 clarion powiedział pani nie gadaj próżno jesteśmy po słowie Bali Ganta poganina będzie bronił marsyla przyrzeka to jako zakład posyłam swoją rękawice i laskę mamy na f-rze 400 zegarów okrętów barek i Hypki chłodzi i tyle statków że nie umiem ich zliczyć Emir jest silny i potężny pójdzie do Francji poszukać Karola czuję w sobie moc aby go zabić albo zmusić by Błagał o łaskę animonda rzekła czemuż miałby iść tak daleko bliżej snadnie znajdziecie Franków oto 7 lat jak cesarz jest w tym kraju jest śmiały i Chrobry raczej umarł niż by uciekł z pola bitwy tyle on się Lenka każdego króla Ile mąż Lenka się dziecka
Confidence: 0.9532124400138855
Word: 196, start_time: 0.0, end_time: 1.6
Word: clarion, start_time: 1.6, end_time: 2.9
Word: powiedział, start_time: 2.9, end_time: 3.5
Word: pani, start_time: 3.5, end_time: 4.6
Word: nie, start_time: 4.6, end_time: 5.4
Word: gadaj, start_time: 5.4, end_time: 5.6
Word: próżno, start_time: 5.6, end_time: 6.2
Word: jesteśmy, start_time: 6.2, end_time: 7.4
Word: po, start_time: 7.4, end_time: 7.6
Word: słowie, start_time: 7.6, end_time: 8.1
Word: Bali, start_time: 8.1, end_time: 8.4
Word: Ganta, start_time: 8.4, end_time: 8.9
Word: poganina, start_time: 8.9, end_time: 9.8
Word: będzie, start_time: 9.8, end_time: 10.8
Word: bronił, start_time: 10.8, end_time: 11.4
Word: marsyla, start_time: 11.4, end_time: 12.0
Word: przyrzeka, start_time: 12.0, end_time: 12.9
Word: to, start_time: 12.9, end_time: 13.1
Word: jako, start_time: 13.1, end_time: 13.9
Word: zakład, start_time: 13.9, end_time: 14.4
Word: posyłam, start_time: 14.4, end_time: 15.3
Word: swoją, start_time: 15.3, end_time: 15.6
Word: rękawice, start_time: 15.6, end_time: 16.3
Word: i, start_time: 16.3, end_time: 16.4
Word: laskę, start_time: 16.4, end_time: 17.0
Word: mamy, start_time: 17.0, end_time: 18.0
Word: na, start_time: 18.0, end_time: 18.1
Word: f-rze, start_time: 18.1, end_time: 18.5
Word: 400, start_time: 18.5, end_time: 19.7
Word: zegarów, start_time: 19.7, end_time: 20.5
Word: okrętów, start_time: 20.5, end_time: 21.6
Word: barek, start_time: 21.6, end_time: 22.4
Word: i, start_time: 22.4, end_time: 22.5
Word: Hypki, start_time: 22.5, end_time: 23.1
Word: chłodzi, start_time: 23.1, end_time: 23.6
Word: i, start_time: 23.6, end_time: 23.8
Word: tyle, start_time: 23.8, end_time: 24.4
Word: statków, start_time: 24.4, end_time: 25.0
Word: że, start_time: 25.0, end_time: 25.5
Word: nie, start_time: 25.5, end_time: 25.7
Word: umiem, start_time: 25.7, end_time: 26.1
Word: ich, start_time: 26.1, end_time: 26.4
Word: zliczyć, start_time: 26.4, end_time: 26.9
Word: Emir, start_time: 26.9, end_time: 28.0
Word: jest, start_time: 28.0, end_time: 28.2
Word: silny, start_time: 28.2, end_time: 28.8
Word: i, start_time: 28.8, end_time: 28.9
Word: potężny, start_time: 28.9, end_time: 29.6
Word: pójdzie, start_time: 29.6, end_time: 30.5
Word: do, start_time: 30.5, end_time: 30.6
Word: Francji, start_time: 30.6, end_time: 31.1
Word: poszukać, start_time: 31.1, end_time: 31.8
Word: Karola, start_time: 31.8, end_time: 32.3
Word: czuję, start_time: 32.3, end_time: 33.2
Word: w, start_time: 33.2, end_time: 33.3
Word: sobie, start_time: 33.3, end_time: 33.4
Word: moc, start_time: 33.4, end_time: 33.8
Word: aby, start_time: 33.8, end_time: 34.5
Word: go, start_time: 34.5, end_time: 34.6
Word: zabić, start_time: 34.6, end_time: 35.1
Word: albo, start_time: 35.1, end_time: 35.6
Word: zmusić, start_time: 35.6, end_time: 36.3
Word: by, start_time: 36.3, end_time: 36.6
Word: Błagał, start_time: 36.6, end_time: 37.1
Word: o, start_time: 37.1, end_time: 37.1
Word: łaskę, start_time: 37.1, end_time: 37.7
Word: animonda, start_time: 37.7, end_time: 39.2
Word: rzekła, start_time: 39.2, end_time: 39.7
Word: czemuż, start_time: 39.7, end_time: 40.6
Word: miałby, start_time: 40.6, end_time: 40.8
Word: iść, start_time: 40.8, end_time: 41.3
Word: tak, start_time: 41.3, end_time: 41.8
Word: daleko, start_time: 41.8, end_time: 41.9
Word: bliżej, start_time: 41.9, end_time: 43.5
Word: snadnie, start_time: 43.5, end_time: 44.2
Word: znajdziecie, start_time: 44.2, end_time: 44.7
