Waiting for operation to complete...
Transcript: część druga druga przedmowa jeżeli zdoła liście objąć i zrozumieć te książkę którym to przypuszczeniem wyświadcza się wam nieskończenie wiele zaszczytu nawet najgłębszy autor nie zawsze obejmuje można powiedzieć nigdy nie obejmuje różnych znaczeń swojej książki jej doniosłości ani też dobrego lub złego Jakie można nią wyrządzić zatem jeżeli przestudiować liście z pewną uwagą te drobne scenki z życia małżeńskiego zauważyliście Być może ich koloryt Jaki kolor YT zapyta z pewnością jakiś poczciwy sklepikarz książki bywają oprawne żółto niebiesko biało perłowo zielonkawo niestety książki mają jeszcze inny kolor zabarwione są przez autora i niektórzy pisarze za pożyczają się w swoim kolorycie jednej książki rzucają refleksy na drugie
Confidence: 0.900003969669342
Word: część, start_time: 0.0, end_time: 1.1
Word: druga, start_time: 1.1, end_time: 1.8
Word: druga, start_time: 1.8, end_time: 2.9
Word: przedmowa, start_time: 2.9, end_time: 3.5
Word: jeżeli, start_time: 3.5, end_time: 4.4
Word: zdoła, start_time: 4.4, end_time: 4.8
Word: liście, start_time: 4.8, end_time: 5.3
Word: objąć, start_time: 5.3, end_time: 6.0
Word: i, start_time: 6.0, end_time: 6.2
Word: zrozumieć, start_time: 6.2, end_time: 7.1
Word: te, start_time: 7.1, end_time: 7.2
Word: książkę, start_time: 7.2, end_time: 7.7
Word: którym, start_time: 7.7, end_time: 8.7
Word: to, start_time: 8.7, end_time: 8.8
Word: przypuszczeniem, start_time: 8.8, end_time: 9.5
Word: wyświadcza, start_time: 9.5, end_time: 10.3
Word: się, start_time: 10.3, end_time: 10.4
Word: wam, start_time: 10.4, end_time: 10.6
Word: nieskończenie, start_time: 10.6, end_time: 11.3
Word: wiele, start_time: 11.3, end_time: 11.7
Word: zaszczytu, start_time: 11.7, end_time: 12.3
Word: nawet, start_time: 12.3, end_time: 13.1
Word: najgłębszy, start_time: 13.1, end_time: 13.9
Word: autor, start_time: 13.9, end_time: 14.5
Word: nie, start_time: 14.5, end_time: 14.8
Word: zawsze, start_time: 14.8, end_time: 15.0
Word: obejmuje, start_time: 15.0, end_time: 15.8
Word: można, start_time: 15.8, end_time: 16.4
Word: powiedzieć, start_time: 16.4, end_time: 16.7
Word: nigdy, start_time: 16.7, end_time: 17.5
Word: nie, start_time: 17.5, end_time: 17.6
Word: obejmuje, start_time: 17.6, end_time: 18.2
Word: różnych, start_time: 18.2, end_time: 18.6
Word: znaczeń, start_time: 18.6, end_time: 19.0
Word: swojej, start_time: 19.0, end_time: 19.4
Word: książki, start_time: 19.4, end_time: 19.9
Word: jej, start_time: 19.9, end_time: 20.6
Word: doniosłości, start_time: 20.6, end_time: 21.5
Word: ani, start_time: 21.5, end_time: 22.0
Word: też, start_time: 22.0, end_time: 22.2
Word: dobrego, start_time: 22.2, end_time: 22.8
Word: lub, start_time: 22.8, end_time: 23.0
Word: złego, start_time: 23.0, end_time: 23.1
Word: Jakie, start_time: 23.1, end_time: 24.2
Word: można, start_time: 24.2, end_time: 24.5
Word: nią, start_time: 24.5, end_time: 24.7
Word: wyrządzić, start_time: 24.7, end_time: 25.5
Word: zatem, start_time: 25.5, end_time: 26.3
Word: jeżeli, start_time: 26.3, end_time: 27.0
Word: przestudiować, start_time: 27.0, end_time: 27.9
Word: liście, start_time: 27.9, end_time: 28.2
Word: z, start_time: 28.2, end_time: 28.3
Word: pewną, start_time: 28.3, end_time: 28.7
Word: uwagą, start_time: 28.7, end_time: 29.2
Word: te, start_time: 29.2, end_time: 29.5
Word: drobne, start_time: 29.5, end_time: 29.9
Word: scenki, start_time: 29.9, end_time: 30.3
Word: z, start_time: 30.3, end_time: 30.4
Word: życia, start_time: 30.4, end_time: 30.5
Word: małżeńskiego, start_time: 30.5, end_time: 31.2
Word: zauważyliście, start_time: 31.2, end_time: 32.7
Word: Być, start_time: 32.7, end_time: 33.0
Word: może, start_time: 33.0, end_time: 33.4
Word: ich, start_time: 33.4, end_time: 33.8
Word: koloryt, start_time: 33.8, end_time: 34.5
Word: Jaki, start_time: 34.5, end_time: 36.0
Word: kolor, start_time: 36.0, end_time: 36.3
Word: YT, start_time: 36.3, end_time: 36.4
Word: zapyta, start_time: 36.4, end_time: 37.4
Word: z, start_time: 37.4, end_time: 37.5
Word: pewnością, start_time: 37.5, end_time: 38.0
Word: jakiś, start_time: 38.0, end_time: 38.3
Word: poczciwy, start_time: 38.3, end_time: 38.8
Word: sklepikarz, start_time: 38.8, end_time: 39.3
Word: książki, start_time: 39.3, end_time: 40.3
Word: bywają, start_time: 40.3, end_time: 40.7
Word: oprawne, start_time: 40.7, end_time: 41.2
Word: żółto, start_time: 41.2, end_time: 41.6
Word: niebiesko, start_time: 41.6, end_time: 42.2
Word: biało, start_time: 42.2, end_time: 42.9
Word: perłowo, start_time: 42.9, end_time: 43.7
Word: zielonkawo, start_time: 43.7, end_time: 44.7
Word: niestety, start_time: 44.7, end_time: 46.3
Word: książki, start_time: 46.3, end_time: 47.7
