Waiting for operation to complete...
Transcript: scena trzecia Marian na dole na dole na cóż to czy nagle język coś odjęło pan nie ja mam za nią nadstawiać karku nieustannie panna znosi ojca szalone koncepcji najlżejszego słówka nawet nie wyszedł ta Marianna cóż wyrzec przeciw ojca boli Tak surowej Dory na to co trzeba aby wybić mu ten zamiast głowy Marianna cóż więc doryna że serce samo stanowi o sobie że twój mąż ma być miły nie ojcu lecz tobie że gdy ciebie na celu ma owo zamel z ciebie pytać się godzi w czym widzisz swoje szczęście gdy zaś jego tak nęci Tartuffe z tym powodem może choćby dziś jeszcze żenić się z tym grabem Marian cóż Gdynia widok ojca taki strach mnie zbiera że wprost na ustach słówko mi każde zamiera doryna mówmy zatem rozsądnie Walery cię kocha a ty
Confidence: 0.8093453645706177
Word: scena, start_time: 0.0, end_time: 0.6000000000000001
Word: trzecia, start_time: 0.6000000000000001, end_time: 0.9
Word: Marian, start_time: 0.9, end_time: 2.5
Word: na, start_time: 2.5, end_time: 2.7
Word: dole, start_time: 2.7, end_time: 3.3
Word: na, start_time: 3.3, end_time: 3.4
Word: dole, start_time: 3.4, end_time: 4.5
Word: na, start_time: 4.5, end_time: 4.7
Word: cóż, start_time: 4.7, end_time: 5.6
Word: to, start_time: 5.6, end_time: 5.9
Word: czy, start_time: 5.9, end_time: 6.6
Word: nagle, start_time: 6.6, end_time: 6.8
Word: język, start_time: 6.8, end_time: 7.3
Word: coś, start_time: 7.3, end_time: 7.5
Word: odjęło, start_time: 7.5, end_time: 7.9
Word: pan, start_time: 7.9, end_time: 8.1
Word: nie, start_time: 8.1, end_time: 8.3
Word: ja, start_time: 8.3, end_time: 9.1
Word: mam, start_time: 9.1, end_time: 9.2
Word: za, start_time: 9.2, end_time: 9.4
Word: nią, start_time: 9.4, end_time: 9.6
Word: nadstawiać, start_time: 9.6, end_time: 10.4
Word: karku, start_time: 10.4, end_time: 10.4
Word: nieustannie, start_time: 10.4, end_time: 11.3
Word: panna, start_time: 11.3, end_time: 12.3
Word: znosi, start_time: 12.3, end_time: 12.7
Word: ojca, start_time: 12.7, end_time: 13.0
Word: szalone, start_time: 13.0, end_time: 13.4
Word: koncepcji, start_time: 13.4, end_time: 14.0
Word: najlżejszego, start_time: 14.0, end_time: 14.9
Word: słówka, start_time: 14.9, end_time: 15.3
Word: nawet, start_time: 15.3, end_time: 15.6
Word: nie, start_time: 15.6, end_time: 15.8
Word: wyszedł, start_time: 15.8, end_time: 16.2
Word: ta, start_time: 16.2, end_time: 16.3
Word: Marianna, start_time: 16.3, end_time: 17.5
Word: cóż, start_time: 17.5, end_time: 18.3
Word: wyrzec, start_time: 18.3, end_time: 18.8
Word: przeciw, start_time: 18.8, end_time: 19.2
Word: ojca, start_time: 19.2, end_time: 19.6
Word: boli, start_time: 19.6, end_time: 19.8
Word: Tak, start_time: 19.8, end_time: 20.0
Word: surowej, start_time: 20.0, end_time: 20.6
Word: Dory, start_time: 20.6, end_time: 21.5
Word: na, start_time: 21.5, end_time: 21.7
Word: to, start_time: 21.7, end_time: 22.4
Word: co, start_time: 22.4, end_time: 22.6
Word: trzeba, start_time: 22.6, end_time: 23.0
Word: aby, start_time: 23.0, end_time: 23.5
Word: wybić, start_time: 23.5, end_time: 24.2
Word: mu, start_time: 24.2, end_time: 24.3
Word: ten, start_time: 24.3, end_time: 24.5
Word: zamiast, start_time: 24.5, end_time: 24.9
Word: głowy, start_time: 24.9, end_time: 25.3
Word: Marianna, start_time: 25.3, end_time: 26.6
Word: cóż, start_time: 26.6, end_time: 27.6
Word: więc, start_time: 27.6, end_time: 28.0
Word: doryna, start_time: 28.0, end_time: 29.1
Word: że, start_time: 29.1, end_time: 30.1
Word: serce, start_time: 30.1, end_time: 30.5
Word: samo, start_time: 30.5, end_time: 30.8
Word: stanowi, start_time: 30.8, end_time: 31.2
Word: o, start_time: 31.2, end_time: 31.3
Word: sobie, start_time: 31.3, end_time: 31.7
Word: że, start_time: 31.7, end_time: 31.9
Word: twój, start_time: 31.9, end_time: 32.5
Word: mąż, start_time: 32.5, end_time: 32.7
Word: ma, start_time: 32.7, end_time: 33.1
Word: być, start_time: 33.1, end_time: 33.2
Word: miły, start_time: 33.2, end_time: 33.8
Word: nie, start_time: 33.8, end_time: 33.9
Word: ojcu, start_time: 33.9, end_time: 34.4
Word: lecz, start_time: 34.4, end_time: 34.6
Word: tobie, start_time: 34.6, end_time: 34.9
Word: że, start_time: 34.9, end_time: 35.6
Word: gdy, start_time: 35.6, end_time: 35.8
Word: ciebie, start_time: 35.8, end_time: 36.0
Word: na, start_time: 36.0, end_time: 36.2
Word: celu, start_time: 36.2, end_time: 36.5
Word: ma, start_time: 36.5, end_time: 36.6
Word: owo, start_time: 36.6, end_time: 36.9
Word: zamel, start_time: 36.9, end_time: 37.3
Word: z, start_time: 37.3, end_time: 37.4
Word: ciebie, start_time: 37.4, end_time: 37.7
Word: pytać, start_time: 37.7, end_time: 38.9
Word: się, start_time: 38.9, end_time: 38.9
Word: godzi, start_time: 38.9, end_time: 39.4
Word: w, start_time: 39.4, end_time: 39.5
Word: czym, start_time: 39.5, end_time: 39.8
Word: widzisz, start_time: 39.8, end_time: 40.1
Word: swoje, start_time: 40.1, end_time: 40.4
Word: szczęście, start_time: 40.4, end_time: 41.0
Word: gdy, start_time: 41.0, end_time: 41.7
Word: zaś, start_time: 41.7, end_time: 41.9
Word: jego, start_time: 41.9, end_time: 42.1
Word: tak, start_time: 42.1, end_time: 42.4
Word: nęci, start_time: 42.4, end_time: 42.8
Word: Tartuffe, start_time: 42.8, end_time: 43.4
Word: z, start_time: 43.4, end_time: 43.5
Word: tym, start_time: 43.5, end_time: 43.7
Word: powodem, start_time: 43.7, end_time: 43.9
Word: może, start_time: 43.9, end_time: 44.7
Word: choćby, start_time: 44.7, end_time: 45.0
Word: dziś, start_time: 45.0, end_time: 45.2
Word: jeszcze, start_time: 45.2, end_time: 45.5
Word: żenić, start_time: 45.5, end_time: 46.2
Word: się, start_time: 46.2, end_time: 46.2
Word: z, start_time: 46.2, end_time: 46.4
Word: tym, start_time: 46.4, end_time: 46.6
Word: grabem, start_time: 46.6, end_time: 46.9
Word: Marian, start_time: 46.9, end_time: 48.0
Word: cóż, start_time: 48.0, end_time: 48.9
Word: Gdynia, start_time: 48.9, end_time: 49.8
Word: widok, start_time: 49.8, end_time: 50.1
Word: ojca, start_time: 50.1, end_time: 50.5
Word: taki, start_time: 50.5, end_time: 50.7
Word: strach, start_time: 50.7, end_time: 51.1
Word: mnie, start_time: 51.1, end_time: 51.2
Word: zbiera, start_time: 51.2, end_time: 51.7
Word: że, start_time: 51.7, end_time: 52.2
Word: wprost, start_time: 52.2, end_time: 52.7
Word: na, start_time: 52.7, end_time: 53.0
Word: ustach, start_time: 53.0, end_time: 53.4
Word: słówko, start_time: 53.4, end_time: 54.0
Word: mi, start_time: 54.0, end_time: 54.1
Word: każde, start_time: 54.1, end_time: 54.5
Word: zamiera, start_time: 54.5, end_time: 55.0
Word: doryna, start_time: 55.0, end_time: 56.0
Word: mówmy, start_time: 56.0, end_time: 57.0
Word: zatem, start_time: 57.0, end_time: 57.3
Word: rozsądnie, start_time: 57.3, end_time: 58.0
