Waiting for operation to complete...
Transcript: 210 przyjacielu Rolandzie Niech Bóg się zmiłuje nad tobą niech twoja dusza dostanie się do raju ten który cię zabił pogrążył Francję w rozpaczy dusi mnie taka żałość że wolałbym mierzyć o mojej Rycerze którzy się dla mnie pomarli Oby Bóg syn Najświętszej Panny dał aby nim dotrę do wąwozu w.cz dusza moja oddzieliła się w tym samym dniu od ciała i aby została przy ich duszach i aby moje ciało pogrzebano przy nich płacze szarpie białą brodę A Duke Nine powiada wielka jest męczarnia Karola
Confidence: 0.9641087651252747
Word: 210, start_time: 0.0, end_time: 1.5
Word: przyjacielu, start_time: 1.5, end_time: 3.2
Word: Rolandzie, start_time: 3.2, end_time: 3.8
Word: Niech, start_time: 3.8, end_time: 4.7
Word: Bóg, start_time: 4.7, end_time: 5.1
Word: się, start_time: 5.1, end_time: 5.3
Word: zmiłuje, start_time: 5.3, end_time: 5.9
Word: nad, start_time: 5.9, end_time: 6.1
Word: tobą, start_time: 6.1, end_time: 6.4
Word: niech, start_time: 6.4, end_time: 6.7
Word: twoja, start_time: 6.7, end_time: 7.7
Word: dusza, start_time: 7.7, end_time: 7.7
Word: dostanie, start_time: 7.7, end_time: 8.8
Word: się, start_time: 8.8, end_time: 8.9
Word: do, start_time: 8.9, end_time: 9.0
Word: raju, start_time: 9.0, end_time: 9.5
Word: ten, start_time: 9.5, end_time: 10.6
Word: który, start_time: 10.6, end_time: 11.0
Word: cię, start_time: 11.0, end_time: 11.1
Word: zabił, start_time: 11.1, end_time: 11.6
Word: pogrążył, start_time: 11.6, end_time: 12.7
Word: Francję, start_time: 12.7, end_time: 13.3
Word: w, start_time: 13.3, end_time: 13.3
Word: rozpaczy, start_time: 13.3, end_time: 14.0
Word: dusi, start_time: 14.0, end_time: 15.5
Word: mnie, start_time: 15.5, end_time: 15.6
Word: taka, start_time: 15.6, end_time: 16.1
Word: żałość, start_time: 16.1, end_time: 16.7
Word: że, start_time: 16.7, end_time: 17.3
Word: wolałbym, start_time: 17.3, end_time: 18.1
Word: mierzyć, start_time: 18.1, end_time: 18.8
Word: o, start_time: 18.8, end_time: 19.1
Word: mojej, start_time: 19.1, end_time: 20.7
Word: Rycerze, start_time: 20.7, end_time: 21.2
Word: którzy, start_time: 21.2, end_time: 21.7
Word: się, start_time: 21.7, end_time: 22.0
Word: dla, start_time: 22.0, end_time: 22.3
Word: mnie, start_time: 22.3, end_time: 22.5
Word: pomarli, start_time: 22.5, end_time: 23.1
Word: Oby, start_time: 23.1, end_time: 24.0
Word: Bóg, start_time: 24.0, end_time: 24.4
Word: syn, start_time: 24.4, end_time: 25.2
Word: Najświętszej, start_time: 25.2, end_time: 26.0
Word: Panny, start_time: 26.0, end_time: 26.4
Word: dał, start_time: 26.4, end_time: 27.1
Word: aby, start_time: 27.1, end_time: 27.8
Word: nim, start_time: 27.8, end_time: 28.1
Word: dotrę, start_time: 28.1, end_time: 28.6
Word: do, start_time: 28.6, end_time: 28.8
Word: wąwozu, start_time: 28.8, end_time: 29.2
Word: w.cz, start_time: 29.2, end_time: 29.8
Word: dusza, start_time: 29.8, end_time: 30.8
Word: moja, start_time: 30.8, end_time: 31.1
Word: oddzieliła, start_time: 31.1, end_time: 32.0
Word: się, start_time: 32.0, end_time: 32.1
Word: w, start_time: 32.1, end_time: 32.3
Word: tym, start_time: 32.3, end_time: 32.5
Word: samym, start_time: 32.5, end_time: 32.6
Word: dniu, start_time: 32.6, end_time: 33.1
Word: od, start_time: 33.1, end_time: 33.6
Word: ciała, start_time: 33.6, end_time: 34.2
Word: i, start_time: 34.2, end_time: 34.3
Word: aby, start_time: 34.3, end_time: 35.0
Word: została, start_time: 35.0, end_time: 35.5
Word: przy, start_time: 35.5, end_time: 35.8
Word: ich, start_time: 35.8, end_time: 36.1
Word: duszach, start_time: 36.1, end_time: 36.8
Word: i, start_time: 36.8, end_time: 36.9
Word: aby, start_time: 36.9, end_time: 37.6
Word: moje, start_time: 37.6, end_time: 37.9
Word: ciało, start_time: 37.9, end_time: 38.4
Word: pogrzebano, start_time: 38.4, end_time: 39.2
Word: przy, start_time: 39.2, end_time: 39.5
Word: nich, start_time: 39.5, end_time: 39.8
Word: płacze, start_time: 39.8, end_time: 41.2
Word: szarpie, start_time: 41.2, end_time: 42.2
Word: białą, start_time: 42.2, end_time: 42.5
Word: brodę, start_time: 42.5, end_time: 42.9
Word: A, start_time: 42.9, end_time: 43.1
Word: Duke, start_time: 43.1, end_time: 43.9
Word: Nine, start_time: 43.9, end_time: 44.5
Word: powiada, start_time: 44.5, end_time: 45.3
Word: wielka, start_time: 45.3, end_time: 46.7
Word: jest, start_time: 46.7, end_time: 47.0
Word: męczarnia, start_time: 47.0, end_time: 47.8
Word: Karola, start_time: 47.8, end_time: 48.3
