Waiting for operation to complete...
Transcript: 213 cesarz każe się gotować do pogrzebu Rolanda i Oliwiera i arcybiskupa turbina w swoich oczach każe otworzyć ciała wszystkich trzech każesz złożyć ich serca w jedwabne całuny chowają się w trumnie z białego marmuru potem wzięto ciało trzech baronów i złożono je pięknie umyte pachnidła mi i winem Wieleń w skórach król voted baldai gmina hrabiego Milena i margrabiego Ottona zabierzcie ich na trzy wozy pięknie przykryte są wozy Gala żeńskim jedwabiem
Confidence: 0.9405474662780762
Word: 213, start_time: 0.0, end_time: 0.9
Word: cesarz, start_time: 0.9, end_time: 2.4
Word: każe, start_time: 2.4, end_time: 2.9
Word: się, start_time: 2.9, end_time: 3.0
Word: gotować, start_time: 3.0, end_time: 3.6
Word: do, start_time: 3.6, end_time: 3.8
Word: pogrzebu, start_time: 3.8, end_time: 4.3
Word: Rolanda, start_time: 4.3, end_time: 5.0
Word: i, start_time: 5.0, end_time: 5.1
Word: Oliwiera, start_time: 5.1, end_time: 5.9
Word: i, start_time: 5.9, end_time: 6.1
Word: arcybiskupa, start_time: 6.1, end_time: 7.4
Word: turbina, start_time: 7.4, end_time: 8.0
Word: w, start_time: 8.0, end_time: 8.2
Word: swoich, start_time: 8.2, end_time: 9.1
Word: oczach, start_time: 9.1, end_time: 9.3
Word: każe, start_time: 9.3, end_time: 10.3
Word: otworzyć, start_time: 10.3, end_time: 10.8
Word: ciała, start_time: 10.8, end_time: 11.2
Word: wszystkich, start_time: 11.2, end_time: 11.8
Word: trzech, start_time: 11.8, end_time: 12.1
Word: każesz, start_time: 12.1, end_time: 13.3
Word: złożyć, start_time: 13.3, end_time: 13.8
Word: ich, start_time: 13.8, end_time: 14.1
Word: serca, start_time: 14.1, end_time: 14.6
Word: w, start_time: 14.6, end_time: 14.8
Word: jedwabne, start_time: 14.8, end_time: 15.6
Word: całuny, start_time: 15.6, end_time: 16.1
Word: chowają, start_time: 16.1, end_time: 17.3
Word: się, start_time: 17.3, end_time: 17.4
Word: w, start_time: 17.4, end_time: 17.6
Word: trumnie, start_time: 17.6, end_time: 18.0
Word: z, start_time: 18.0, end_time: 18.3
Word: białego, start_time: 18.3, end_time: 18.7
Word: marmuru, start_time: 18.7, end_time: 18.9
Word: potem, start_time: 18.9, end_time: 20.5
Word: wzięto, start_time: 20.5, end_time: 21.4
Word: ciało, start_time: 21.4, end_time: 21.8
Word: trzech, start_time: 21.8, end_time: 22.1
Word: baronów, start_time: 22.1, end_time: 22.8
Word: i, start_time: 22.8, end_time: 23.0
Word: złożono, start_time: 23.0, end_time: 24.1
Word: je, start_time: 24.1, end_time: 24.3
Word: pięknie, start_time: 24.3, end_time: 24.9
Word: umyte, start_time: 24.9, end_time: 25.5
Word: pachnidła, start_time: 25.5, end_time: 26.2
Word: mi, start_time: 26.2, end_time: 26.4
Word: i, start_time: 26.4, end_time: 26.5
Word: winem, start_time: 26.5, end_time: 27.2
Word: Wieleń, start_time: 27.2, end_time: 28.0
Word: w, start_time: 28.0, end_time: 28.1
Word: skórach, start_time: 28.1, end_time: 28.6
Word: król, start_time: 28.6, end_time: 29.7
Word: voted, start_time: 29.7, end_time: 30.4
Word: baldai, start_time: 30.4, end_time: 31.1
Word: gmina, start_time: 31.1, end_time: 31.9
Word: hrabiego, start_time: 31.9, end_time: 32.8
Word: Milena, start_time: 32.8, end_time: 33.5
Word: i, start_time: 33.5, end_time: 33.6
Word: margrabiego, start_time: 33.6, end_time: 34.6
Word: Ottona, start_time: 34.6, end_time: 35.4
Word: zabierzcie, start_time: 35.4, end_time: 36.4
Word: ich, start_time: 36.4, end_time: 36.8
Word: na, start_time: 36.8, end_time: 37.0
Word: trzy, start_time: 37.0, end_time: 37.3
Word: wozy, start_time: 37.3, end_time: 37.6
Word: pięknie, start_time: 37.6, end_time: 39.2
Word: przykryte, start_time: 39.2, end_time: 39.8
Word: są, start_time: 39.8, end_time: 40.0
Word: wozy, start_time: 40.0, end_time: 40.5
Word: Gala, start_time: 40.5, end_time: 41.3
Word: żeńskim, start_time: 41.3, end_time: 41.9
Word: jedwabiem, start_time: 41.9, end_time: 42.7
