Waiting for operation to complete...
Transcript: 214 cesarz Karol chce wracać aż w przednim jawią się przednie straży pogan od ich najbliższej chorągwi przychodzą i posłowie w imieniu emira oznajmiają mu bitwę Karolu dumny nie tak łatwo powrócisz widzisz Bali Ganta który jedzie za tobą wielkie są wojska które przywiózł z Arabii Nim przyjdzie wieczór ujrzymy czy jesteś mężny Karol gładzi ręką brodę przypomina sobie swoją żałobę i wszystko co stracił rzuca z daleka na cały swój orszak dumne spojrzenie po czym krzyczysz silnym i donośnym głosem Baranowie francuscy na koń i do broni
Confidence: 0.9407585263252258
Word: 214, start_time: 0.0, end_time: 1.7000000000000002
Word: cesarz, start_time: 1.7000000000000002, end_time: 2.9
Word: Karol, start_time: 2.9, end_time: 3.3
Word: chce, start_time: 3.3, end_time: 3.8
Word: wracać, start_time: 3.8, end_time: 4.0
Word: aż, start_time: 4.0, end_time: 5.4
Word: w, start_time: 5.4, end_time: 5.5
Word: przednim, start_time: 5.5, end_time: 6.0
Word: jawią, start_time: 6.0, end_time: 6.5
Word: się, start_time: 6.5, end_time: 6.7
Word: przednie, start_time: 6.7, end_time: 7.3
Word: straży, start_time: 7.3, end_time: 7.8
Word: pogan, start_time: 7.8, end_time: 8.4
Word: od, start_time: 8.4, end_time: 9.3
Word: ich, start_time: 9.3, end_time: 9.6
Word: najbliższej, start_time: 9.6, end_time: 10.4
Word: chorągwi, start_time: 10.4, end_time: 11.0
Word: przychodzą, start_time: 11.0, end_time: 11.5
Word: i, start_time: 11.5, end_time: 11.6
Word: posłowie, start_time: 11.6, end_time: 12.4
Word: w, start_time: 12.4, end_time: 12.6
Word: imieniu, start_time: 12.6, end_time: 13.7
Word: emira, start_time: 13.7, end_time: 14.4
Word: oznajmiają, start_time: 14.4, end_time: 15.3
Word: mu, start_time: 15.3, end_time: 15.5
Word: bitwę, start_time: 15.5, end_time: 16.0
Word: Karolu, start_time: 16.0, end_time: 17.4
Word: dumny, start_time: 17.4, end_time: 17.8
Word: nie, start_time: 17.8, end_time: 17.9
Word: tak, start_time: 17.9, end_time: 18.7
Word: łatwo, start_time: 18.7, end_time: 18.9
Word: powrócisz, start_time: 18.9, end_time: 19.8
Word: widzisz, start_time: 19.8, end_time: 21.0
Word: Bali, start_time: 21.0, end_time: 21.3
Word: Ganta, start_time: 21.3, end_time: 21.8
Word: który, start_time: 21.8, end_time: 22.2
Word: jedzie, start_time: 22.2, end_time: 22.5
Word: za, start_time: 22.5, end_time: 22.8
Word: tobą, start_time: 22.8, end_time: 23.1
Word: wielkie, start_time: 23.1, end_time: 24.3
Word: są, start_time: 24.3, end_time: 24.4
Word: wojska, start_time: 24.4, end_time: 25.0
Word: które, start_time: 25.0, end_time: 25.2
Word: przywiózł, start_time: 25.2, end_time: 25.9
Word: z, start_time: 25.9, end_time: 26.1
Word: Arabii, start_time: 26.1, end_time: 26.7
Word: Nim, start_time: 26.7, end_time: 27.7
Word: przyjdzie, start_time: 27.7, end_time: 28.0
Word: wieczór, start_time: 28.0, end_time: 28.4
Word: ujrzymy, start_time: 28.4, end_time: 29.6
Word: czy, start_time: 29.6, end_time: 30.1
Word: jesteś, start_time: 30.1, end_time: 30.5
Word: mężny, start_time: 30.5, end_time: 31.0
Word: Karol, start_time: 31.0, end_time: 32.0
Word: gładzi, start_time: 32.0, end_time: 32.6
Word: ręką, start_time: 32.6, end_time: 32.9
Word: brodę, start_time: 32.9, end_time: 33.5
Word: przypomina, start_time: 33.5, end_time: 34.6
Word: sobie, start_time: 34.6, end_time: 34.8
Word: swoją, start_time: 34.8, end_time: 35.3
Word: żałobę, start_time: 35.3, end_time: 35.9
Word: i, start_time: 35.9, end_time: 36.1
Word: wszystko, start_time: 36.1, end_time: 36.9
Word: co, start_time: 36.9, end_time: 37.1
Word: stracił, start_time: 37.1, end_time: 37.7
Word: rzuca, start_time: 37.7, end_time: 39.1
Word: z, start_time: 39.1, end_time: 39.2
Word: daleka, start_time: 39.2, end_time: 39.8
Word: na, start_time: 39.8, end_time: 39.9
Word: cały, start_time: 39.9, end_time: 40.3
Word: swój, start_time: 40.3, end_time: 40.5
Word: orszak, start_time: 40.5, end_time: 41.1
Word: dumne, start_time: 41.1, end_time: 41.5
Word: spojrzenie, start_time: 41.5, end_time: 42.2
Word: po, start_time: 42.2, end_time: 42.8
Word: czym, start_time: 42.8, end_time: 42.9
Word: krzyczysz, start_time: 42.9, end_time: 43.4
Word: silnym, start_time: 43.4, end_time: 44.0
Word: i, start_time: 44.0, end_time: 44.1
Word: donośnym, start_time: 44.1, end_time: 44.8
Word: głosem, start_time: 44.8, end_time: 45.0
Word: Baranowie, start_time: 45.0, end_time: 46.6
Word: francuscy, start_time: 46.6, end_time: 47.3
Word: na, start_time: 47.3, end_time: 48.0
Word: koń, start_time: 48.0, end_time: 48.3
Word: i, start_time: 48.3, end_time: 48.5
Word: do, start_time: 48.5, end_time: 49.3
Word: broni, start_time: 49.3, end_time: 49.8
