Waiting for operation to complete...
Transcript: 218 dwa pierwsze szyki Złożone są z Francuzów po nich ustawia się trzeci w tym są wasale bawarscy szacują ich na 20 tysięcy rycerzy gdzie oni Stoją tam nie ugnie się szereg bitewny nie masz pod słońcem ludzi których by Karol bardziej miłował z wyjątkiem Francuzów którzy podbili mu tyle królestw hrabia ogier duński dzielny wojownik poprowadzi ich Piękne to jest wojsko
Confidence: 0.9449055194854736
Word: 218, start_time: 0.0, end_time: 1.6
Word: dwa, start_time: 1.6, end_time: 2.6
Word: pierwsze, start_time: 2.6, end_time: 3.2
Word: szyki, start_time: 3.2, end_time: 3.6
Word: Złożone, start_time: 3.6, end_time: 4.1
Word: są, start_time: 4.1, end_time: 4.3
Word: z, start_time: 4.3, end_time: 4.4
Word: Francuzów, start_time: 4.4, end_time: 5.1
Word: po, start_time: 5.1, end_time: 5.9
Word: nich, start_time: 5.9, end_time: 6.2
Word: ustawia, start_time: 6.2, end_time: 6.9
Word: się, start_time: 6.9, end_time: 7.0
Word: trzeci, start_time: 7.0, end_time: 7.5
Word: w, start_time: 7.5, end_time: 7.7
Word: tym, start_time: 7.7, end_time: 8.3
Word: są, start_time: 8.3, end_time: 8.5
Word: wasale, start_time: 8.5, end_time: 9.1
Word: bawarscy, start_time: 9.1, end_time: 9.8
Word: szacują, start_time: 9.8, end_time: 10.9
Word: ich, start_time: 10.9, end_time: 11.3
Word: na, start_time: 11.3, end_time: 11.6
Word: 20, start_time: 11.6, end_time: 12.2
Word: tysięcy, start_time: 12.2, end_time: 12.5
Word: rycerzy, start_time: 12.5, end_time: 12.8
Word: gdzie, start_time: 12.8, end_time: 14.3
Word: oni, start_time: 14.3, end_time: 14.5
Word: Stoją, start_time: 14.5, end_time: 15.0
Word: tam, start_time: 15.0, end_time: 15.9
Word: nie, start_time: 15.9, end_time: 16.1
Word: ugnie, start_time: 16.1, end_time: 16.6
Word: się, start_time: 16.6, end_time: 16.7
Word: szereg, start_time: 16.7, end_time: 17.1
Word: bitewny, start_time: 17.1, end_time: 17.7
Word: nie, start_time: 17.7, end_time: 18.4
Word: masz, start_time: 18.4, end_time: 18.6
Word: pod, start_time: 18.6, end_time: 18.8
Word: słońcem, start_time: 18.8, end_time: 19.2
Word: ludzi, start_time: 19.2, end_time: 19.7
Word: których, start_time: 19.7, end_time: 20.4
Word: by, start_time: 20.4, end_time: 20.5
Word: Karol, start_time: 20.5, end_time: 21.0
Word: bardziej, start_time: 21.0, end_time: 21.4
Word: miłował, start_time: 21.4, end_time: 22.2
Word: z, start_time: 22.2, end_time: 22.3
Word: wyjątkiem, start_time: 22.3, end_time: 23.1
Word: Francuzów, start_time: 23.1, end_time: 23.8
Word: którzy, start_time: 23.8, end_time: 24.4
Word: podbili, start_time: 24.4, end_time: 25.0
Word: mu, start_time: 25.0, end_time: 25.4
Word: tyle, start_time: 25.4, end_time: 25.8
Word: królestw, start_time: 25.8, end_time: 26.5
Word: hrabia, start_time: 26.5, end_time: 27.6
Word: ogier, start_time: 27.6, end_time: 28.2
Word: duński, start_time: 28.2, end_time: 28.8
Word: dzielny, start_time: 28.8, end_time: 29.6
Word: wojownik, start_time: 29.6, end_time: 30.3
Word: poprowadzi, start_time: 30.3, end_time: 31.3
Word: ich, start_time: 31.3, end_time: 31.6
Word: Piękne, start_time: 31.6, end_time: 34.0
Word: to, start_time: 34.0, end_time: 34.2
Word: jest, start_time: 34.2, end_time: 34.3
Word: wojsko, start_time: 34.3, end_time: 34.8
