Waiting for operation to complete...
Transcript: rozdział siódmy po tych słowach pani Pearson zamilkła jakby czekając odpowiedzi ponieważ trwałym tak przygnieciony smutkiem wysunęła łagodnie rękę odeszła kilka kroków zatrzymała się jeszcze następnie wróciła z wolna do domu zostałem tak na trawniku spodziewałem się tego co mi rzekła natychmiast powziąłem postanowienie zamyśliłem wyjechać podniosłem się z sercem zbolały ale mężnym i obszedłem ogród dokoła patrzałem na dom na jej okno wychodząc zamknąłem furtkę i przyłożyłem wargi do zamku wróciwszy do domu Kazałem służące mu aby na rządził co trzeba jako że mam zamiar wyjechać o świcie nie porozumiał się ale dałem znak aby słuchał i nie pytał o nic przyniósł walizy I zaczęliśmy czynić przygotowania była piąta rano zaczynał Odyniec kiedy zapytałem sam się
Confidence: 0.9487444162368774
Word: rozdział, start_time: 0.0, end_time: 1.0
Word: siódmy, start_time: 1.0, end_time: 1.5
Word: po, start_time: 1.5, end_time: 2.2
Word: tych, start_time: 2.2, end_time: 2.3
Word: słowach, start_time: 2.3, end_time: 2.5
Word: pani, start_time: 2.5, end_time: 3.2
Word: Pearson, start_time: 3.2, end_time: 3.8
Word: zamilkła, start_time: 3.8, end_time: 4.5
Word: jakby, start_time: 4.5, end_time: 5.1
Word: czekając, start_time: 5.1, end_time: 5.4
Word: odpowiedzi, start_time: 5.4, end_time: 6.3
Word: ponieważ, start_time: 6.3, end_time: 6.9
Word: trwałym, start_time: 6.9, end_time: 7.7
Word: tak, start_time: 7.7, end_time: 8.0
Word: przygnieciony, start_time: 8.0, end_time: 8.7
Word: smutkiem, start_time: 8.7, end_time: 9.3
Word: wysunęła, start_time: 9.3, end_time: 10.4
Word: łagodnie, start_time: 10.4, end_time: 10.9
Word: rękę, start_time: 10.9, end_time: 11.3
Word: odeszła, start_time: 11.3, end_time: 12.3
Word: kilka, start_time: 12.3, end_time: 12.5
Word: kroków, start_time: 12.5, end_time: 12.8
Word: zatrzymała, start_time: 12.8, end_time: 14.1
Word: się, start_time: 14.1, end_time: 14.3
Word: jeszcze, start_time: 14.3, end_time: 14.7
Word: następnie, start_time: 14.7, end_time: 15.9
Word: wróciła, start_time: 15.9, end_time: 16.4
Word: z, start_time: 16.4, end_time: 16.5
Word: wolna, start_time: 16.5, end_time: 16.9
Word: do, start_time: 16.9, end_time: 17.0
Word: domu, start_time: 17.0, end_time: 17.4
Word: zostałem, start_time: 17.4, end_time: 18.6
Word: tak, start_time: 18.6, end_time: 18.8
Word: na, start_time: 18.8, end_time: 18.9
Word: trawniku, start_time: 18.9, end_time: 19.4
Word: spodziewałem, start_time: 19.4, end_time: 20.5
Word: się, start_time: 20.5, end_time: 20.6
Word: tego, start_time: 20.6, end_time: 20.7
Word: co, start_time: 20.7, end_time: 21.1
Word: mi, start_time: 21.1, end_time: 21.2
Word: rzekła, start_time: 21.2, end_time: 21.6
Word: natychmiast, start_time: 21.6, end_time: 23.2
Word: powziąłem, start_time: 23.2, end_time: 23.7
Word: postanowienie, start_time: 23.7, end_time: 24.5
Word: zamyśliłem, start_time: 24.5, end_time: 25.7
Word: wyjechać, start_time: 25.7, end_time: 26.3
Word: podniosłem, start_time: 26.3, end_time: 27.5
Word: się, start_time: 27.5, end_time: 27.7
Word: z, start_time: 27.7, end_time: 27.8
Word: sercem, start_time: 27.8, end_time: 28.2
Word: zbolały, start_time: 28.2, end_time: 28.8
Word: ale, start_time: 28.8, end_time: 29.4
Word: mężnym, start_time: 29.4, end_time: 30.1
Word: i, start_time: 30.1, end_time: 30.2
Word: obszedłem, start_time: 30.2, end_time: 31.1
Word: ogród, start_time: 31.1, end_time: 31.6
Word: dokoła, start_time: 31.6, end_time: 32.0
Word: patrzałem, start_time: 32.0, end_time: 33.0
Word: na, start_time: 33.0, end_time: 33.1
Word: dom, start_time: 33.1, end_time: 33.4
Word: na, start_time: 33.4, end_time: 33.9
Word: jej, start_time: 33.9, end_time: 34.0
Word: okno, start_time: 34.0, end_time: 34.5
Word: wychodząc, start_time: 34.5, end_time: 35.7
Word: zamknąłem, start_time: 35.7, end_time: 36.2
Word: furtkę, start_time: 36.2, end_time: 36.7
Word: i, start_time: 36.7, end_time: 36.8
Word: przyłożyłem, start_time: 36.8, end_time: 37.8
Word: wargi, start_time: 37.8, end_time: 38.3
Word: do, start_time: 38.3, end_time: 38.4
Word: zamku, start_time: 38.4, end_time: 38.9
Word: wróciwszy, start_time: 38.9, end_time: 40.1
Word: do, start_time: 40.1, end_time: 40.4
Word: domu, start_time: 40.4, end_time: 40.7
Word: Kazałem, start_time: 40.7, end_time: 41.3
Word: służące, start_time: 41.3, end_time: 42.0
Word: mu, start_time: 42.0, end_time: 42.2
Word: aby, start_time: 42.2, end_time: 42.4
Word: na, start_time: 42.4, end_time: 42.7
Word: rządził, start_time: 42.7, end_time: 43.2
Word: co, start_time: 43.2, end_time: 43.3
Word: trzeba, start_time: 43.3, end_time: 43.8
Word: jako, start_time: 43.8, end_time: 44.4
Word: że, start_time: 44.4, end_time: 44.6
Word: mam, start_time: 44.6, end_time: 44.7
Word: zamiar, start_time: 44.7, end_time: 44.9
Word: wyjechać, start_time: 44.9, end_time: 45.2
Word: o, start_time: 45.2, end_time: 45.7
Word: świcie, start_time: 45.7, end_time: 46.1
Word: nie, start_time: 46.1, end_time: 46.9
Word: porozumiał, start_time: 46.9, end_time: 47.6
Word: się, start_time: 47.6, end_time: 47.8
Word: ale, start_time: 47.8, end_time: 48.5
Word: dałem, start_time: 48.5, end_time: 48.8
Word: znak, start_time: 48.8, end_time: 49.2
Word: aby, start_time: 49.2, end_time: 49.4
Word: słuchał, start_time: 49.4, end_time: 50.0
Word: i, start_time: 50.0, end_time: 50.1
Word: nie, start_time: 50.1, end_time: 50.4
Word: pytał, start_time: 50.4, end_time: 50.7
Word: o, start_time: 50.7, end_time: 50.8
Word: nic, start_time: 50.8, end_time: 51.0
Word: przyniósł, start_time: 51.0, end_time: 52.2
Word: walizy, start_time: 52.2, end_time: 52.8
Word: I, start_time: 52.8, end_time: 53.0
Word: zaczęliśmy, start_time: 53.0, end_time: 53.7
Word: czynić, start_time: 53.7, end_time: 54.2
Word: przygotowania, start_time: 54.2, end_time: 55.0
Word: była, start_time: 55.0, end_time: 56.2
Word: piąta, start_time: 56.2, end_time: 56.6
Word: rano, start_time: 56.6, end_time: 57.0
Word: zaczynał, start_time: 57.0, end_time: 57.8
Word: Odyniec, start_time: 57.8, end_time: 58.1
Word: kiedy, start_time: 58.1, end_time: 58.8
Word: zapytałem, start_time: 58.8, end_time: 59.3
Word: sam, start_time: 59.3, end_time: 59.6
Word: się, start_time: 59.6, end_time: 59.8
Transcript: dokąd się mam udać na tę myśl tak prostą która mi wszelako nie przyszła dotąd do głowy uczyłem nieprzetarte zniechęcenie spojrzałem na pole chodząc po czym a powinno kręgu ogarnęła mnie Wielka niemoc czułem się bezgranicznie znużony usiadłem w fotelu stopniowo ogarniał mnie jakiś zamęt krzyknąłem rękę do czoła było zlany potem gwałtowna febra wstrząsowa wszystkie moje członki zaledwie miałem siłę zawilec się do łóżka przy pomocy służącego myśli Moje były tak mętne z trudnością Przypomniałem sobie to co zaszło tak upłynął dzień nad wieczorem usłyszałem dźwięki orkiestry była to niedzielna zabawa posłałem la Riva abyś zajrzał i dowiedział się czy pani Pearson tam jest nie zastał jej Wysłałem go do domu okiennice były zamknięte służąca oznajmiła Hiszpanii
Confidence: 0.9472432136535645
Word: dokąd, start_time: 59.9, end_time: 61.0
Word: się, start_time: 61.0, end_time: 61.1
Word: mam, start_time: 61.1, end_time: 61.3
Word: udać, start_time: 61.3, end_time: 61.6
Word: na, start_time: 61.6, end_time: 62.0
Word: tę, start_time: 62.0, end_time: 62.7
Word: myśl, start_time: 62.7, end_time: 62.9
Word: tak, start_time: 62.9, end_time: 63.3
Word: prostą, start_time: 63.3, end_time: 63.9
Word: która, start_time: 63.9, end_time: 64.6
Word: mi, start_time: 64.6, end_time: 64.7
Word: wszelako, start_time: 64.7, end_time: 65.2
Word: nie, start_time: 65.2, end_time: 65.3
Word: przyszła, start_time: 65.3, end_time: 65.7
Word: dotąd, start_time: 65.7, end_time: 65.9
Word: do, start_time: 65.9, end_time: 66.2
Word: głowy, start_time: 66.2, end_time: 66.5
Word: uczyłem, start_time: 66.5, end_time: 67.4
Word: nieprzetarte, start_time: 67.4, end_time: 68.3
Word: zniechęcenie, start_time: 68.3, end_time: 69.0
Word: spojrzałem, start_time: 69.0, end_time: 70.2
Word: na, start_time: 70.2, end_time: 70.3
Word: pole, start_time: 70.3, end_time: 70.6
Word: chodząc, start_time: 70.6, end_time: 71.6
