Waiting for operation to complete...
Transcript: 228 w całym wojsku każe bębnić w bębny idąc w trąby rogi głośno i dźwięcznie poganie spadają na ziemię aby przywdziać zbroję Emir nie chce być na opieszałość wzięła błękitną stalową kolczugę wiąże Chełm Strojny złotem i kamieniami potem do lewego boku przypasuje miecz wpisze swojej znalazł dla imię z przyczyny miecza Karola o którym słyszał nazywa swój szacowny szacowny to jego krzyk bitewny proszę tak wykrzykiwać swoim rycerzom potem wiesza na szyi wielką szeroką tarcze klamra na niej złota Brzeg Strojny kryształem rzemień z tęgiego jedwabiu a podbicie haftowany chwyta swoją włócznie którą nazywa Market Drzewce jest grube jak masz
Confidence: 0.9534890055656433
Word: 228, start_time: 0.0, end_time: 1.8
Word: w, start_time: 1.8, end_time: 1.9
Word: całym, start_time: 1.9, end_time: 3.0
Word: wojsku, start_time: 3.0, end_time: 3.6
Word: każe, start_time: 3.6, end_time: 3.9
Word: bębnić, start_time: 3.9, end_time: 4.5
Word: w, start_time: 4.5, end_time: 4.6
Word: bębny, start_time: 4.6, end_time: 5.2
Word: idąc, start_time: 5.2, end_time: 5.7
Word: w, start_time: 5.7, end_time: 5.8
Word: trąby, start_time: 5.8, end_time: 6.5
Word: rogi, start_time: 6.5, end_time: 6.6
Word: głośno, start_time: 6.6, end_time: 8.0
Word: i, start_time: 8.0, end_time: 8.0
Word: dźwięcznie, start_time: 8.0, end_time: 8.8
Word: poganie, start_time: 8.8, end_time: 10.0
Word: spadają, start_time: 10.0, end_time: 10.5
Word: na, start_time: 10.5, end_time: 10.6
Word: ziemię, start_time: 10.6, end_time: 11.1
Word: aby, start_time: 11.1, end_time: 11.6
Word: przywdziać, start_time: 11.6, end_time: 12.2
Word: zbroję, start_time: 12.2, end_time: 12.7
Word: Emir, start_time: 12.7, end_time: 13.7
Word: nie, start_time: 13.7, end_time: 14.3
Word: chce, start_time: 14.3, end_time: 14.5
Word: być, start_time: 14.5, end_time: 14.7
Word: na, start_time: 14.7, end_time: 15.0
Word: opieszałość, start_time: 15.0, end_time: 15.5
Word: wzięła, start_time: 15.5, end_time: 17.1
Word: błękitną, start_time: 17.1, end_time: 17.9
Word: stalową, start_time: 17.9, end_time: 18.5
Word: kolczugę, start_time: 18.5, end_time: 19.1
Word: wiąże, start_time: 19.1, end_time: 20.2
Word: Chełm, start_time: 20.2, end_time: 20.6
Word: Strojny, start_time: 20.6, end_time: 21.3
Word: złotem, start_time: 21.3, end_time: 21.8
Word: i, start_time: 21.8, end_time: 21.9
Word: kamieniami, start_time: 21.9, end_time: 22.6
Word: potem, start_time: 22.6, end_time: 23.9
Word: do, start_time: 23.9, end_time: 24.0
Word: lewego, start_time: 24.0, end_time: 24.3
Word: boku, start_time: 24.3, end_time: 24.6
Word: przypasuje, start_time: 24.6, end_time: 25.4
Word: miecz, start_time: 25.4, end_time: 25.7
Word: wpisze, start_time: 25.7, end_time: 27.0
Word: swojej, start_time: 27.0, end_time: 27.5
Word: znalazł, start_time: 27.5, end_time: 28.4
Word: dla, start_time: 28.4, end_time: 28.6
Word: imię, start_time: 28.6, end_time: 29.3
Word: z, start_time: 29.3, end_time: 29.4
Word: przyczyny, start_time: 29.4, end_time: 30.5
Word: miecza, start_time: 30.5, end_time: 30.8
Word: Karola, start_time: 30.8, end_time: 31.4
Word: o, start_time: 31.4, end_time: 31.5
Word: którym, start_time: 31.5, end_time: 32.1
Word: słyszał, start_time: 32.1, end_time: 32.6
Word: nazywa, start_time: 32.6, end_time: 33.4
Word: swój, start_time: 33.4, end_time: 33.8
Word: szacowny, start_time: 33.8, end_time: 34.8
Word: szacowny, start_time: 34.8, end_time: 36.1
Word: to, start_time: 36.1, end_time: 36.7
Word: jego, start_time: 36.7, end_time: 37.0
Word: krzyk, start_time: 37.0, end_time: 37.4
Word: bitewny, start_time: 37.4, end_time: 38.1
Word: proszę, start_time: 38.1, end_time: 39.0
Word: tak, start_time: 39.0, end_time: 39.2
Word: wykrzykiwać, start_time: 39.2, end_time: 39.9
Word: swoim, start_time: 39.9, end_time: 40.3
Word: rycerzom, start_time: 40.3, end_time: 41.0
Word: potem, start_time: 41.0, end_time: 41.7
Word: wiesza, start_time: 41.7, end_time: 42.2
Word: na, start_time: 42.2, end_time: 42.3
Word: szyi, start_time: 42.3, end_time: 42.6
Word: wielką, start_time: 42.6, end_time: 43.2
Word: szeroką, start_time: 43.2, end_time: 43.7
Word: tarcze, start_time: 43.7, end_time: 44.3
Word: klamra, start_time: 44.3, end_time: 45.4
Word: na, start_time: 45.4, end_time: 45.5
Word: niej, start_time: 45.5, end_time: 45.7
Word: złota, start_time: 45.7, end_time: 46.2
Word: Brzeg, start_time: 46.2, end_time: 47.0
Word: Strojny, start_time: 47.0, end_time: 47.9
Word: kryształem, start_time: 47.9, end_time: 48.5
Word: rzemień, start_time: 48.5, end_time: 49.6
Word: z, start_time: 49.6, end_time: 49.7
Word: tęgiego, start_time: 49.7, end_time: 50.2
Word: jedwabiu, start_time: 50.2, end_time: 50.9
Word: a, start_time: 50.9, end_time: 51.0
Word: podbicie, start_time: 51.0, end_time: 52.0
Word: haftowany, start_time: 52.0, end_time: 52.8
Word: chwyta, start_time: 52.8, end_time: 54.0
Word: swoją, start_time: 54.0, end_time: 54.3
Word: włócznie, start_time: 54.3, end_time: 54.8
Word: którą, start_time: 54.8, end_time: 55.7
Word: nazywa, start_time: 55.7, end_time: 56.2
Word: Market, start_time: 56.2, end_time: 57.1
Word: Drzewce, start_time: 57.1, end_time: 58.3
Word: jest, start_time: 58.3, end_time: 58.5
Word: grube, start_time: 58.5, end_time: 59.1
Word: jak, start_time: 59.1, end_time: 59.5
Word: masz, start_time: 59.5, end_time: 59.8
Transcript: a żelazo starczyłoby na drzewie dla Muława ligand wsiadł na swego rumaka makulec zza morza trzymał mu strzemię waleczny rycerz raczył się szeroko lędźwie ma wąskie a boki szerokie 1 obserwuję i dobrze otoczoną marki krzepkie płeć rumiano twardą jego kędzierzawa głowa Biała jest jak kwiat wiosenny Co zaś do dzielności tej dowiódł nieraz Boże co za rycerz gdyby był chrześcijański spina Kolonia jasna krew tryska pod ostrogą puszcza się galopa skacze przez był może 50 stóp szeroki krzyczą ten jest stworzony aby bronić granic który Francuz odważy się walczyć przeciw niemu chcący czy niechcący przypłacić życiem
Confidence: 0.8660709261894226
Word: a, start_time: 59.9, end_time: 60.0
Word: żelazo, start_time: 60.0, end_time: 61.0
Word: starczyłoby, start_time: 61.0, end_time: 61.8
Word: na, start_time: 61.8, end_time: 62.0
Word: drzewie, start_time: 62.0, end_time: 62.5
Word: dla, start_time: 62.5, end_time: 62.6
Word: Muława, start_time: 62.6, end_time: 64.1
Word: ligand, start_time: 64.1, end_time: 64.6
Word: wsiadł, start_time: 64.6, end_time: 65.5
Word: na, start_time: 65.5, end_time: 65.6
Word: swego, start_time: 65.6, end_time: 65.9
Word: rumaka, start_time: 65.9, end_time: 66.4
Word: makulec, start_time: 66.4, end_time: 67.7
Word: zza, start_time: 67.7, end_time: 68.3
Word: morza, start_time: 68.3, end_time: 68.5
Word: trzymał, start_time: 68.5, end_time: 69.2
Word: mu, start_time: 69.2, end_time: 69.4
Word: strzemię, start_time: 69.4, end_time: 70.0
Word: waleczny, start_time: 70.0, end_time: 70.9
Word: rycerz, start_time: 70.9, end_time: 71.1
Word: raczył, start_time: 71.1, end_time: 72.5
Word: się, start_time: 72.5, end_time: 72.6
Word: szeroko, start_time: 72.6, end_time: 73.2
Word: lędźwie, start_time: 73.2, end_time: 74.3
Word: ma, start_time: 74.3, end_time: 74.3
Word: wąskie, start_time: 74.3, end_time: 74.9
Word: a, start_time: 74.9, end_time: 75.0
Word: boki, start_time: 75.0, end_time: 75.6
Word: szerokie, start_time: 75.6, end_time: 76.2
Word: 1, start_time: 76.2, end_time: 77.0
Word: obserwuję, start_time: 77.0, end_time: 77.8
Word: i, start_time: 77.8, end_time: 77.9
Word: dobrze, start_time: 77.9, end_time: 78.6
Word: otoczoną, start_time: 78.6, end_time: 79.3
Word: marki, start_time: 79.3, end_time: 80.0
Word: krzepkie, start_time: 80.0, end_time: 80.6
Word: płeć, start_time: 80.6, end_time: 81.3
Word: rumiano, start_time: 81.3, end_time: 82.1
Word: twardą, start_time: 82.1, end_time: 83.5
Word: jego, start_time: 83.5, end_time: 84.4
Word: kędzierzawa, start_time: 84.4, end_time: 85.1
Word: głowa, start_time: 85.1, end_time: 85.6
Word: Biała, start_time: 85.6, end_time: 85.9
Word: jest, start_time: 85.9, end_time: 86.6
Word: jak, start_time: 86.6, end_time: 86.8
Word: kwiat, start_time: 86.8, end_time: 87.0
Word: wiosenny, start_time: 87.0, end_time: 87.6
Word: Co, start_time: 87.6, end_time: 88.8
Word: zaś, start_time: 88.8, end_time: 89.0
Word: do, start_time: 89.0, end_time: 89.2
Word: dzielności, start_time: 89.2, end_time: 90.1
Word: tej, start_time: 90.1, end_time: 90.8
Word: dowiódł, start_time: 90.8, end_time: 91.5
Word: nieraz, start_time: 91.5, end_time: 92.1
Word: Boże, start_time: 92.1, end_time: 93.3
Word: co, start_time: 93.3, end_time: 94.1
Word: za, start_time: 94.1, end_time: 94.1
Word: rycerz, start_time: 94.1, end_time: 94.7
Word: gdyby, start_time: 94.7, end_time: 95.4
Word: był, start_time: 95.4, end_time: 95.7
Word: chrześcijański, start_time: 95.7, end_time: 96.8
Word: spina, start_time: 96.8, end_time: 98.1
Word: Kolonia, start_time: 98.1, end_time: 98.4
Word: jasna, start_time: 98.4, end_time: 99.3
Word: krew, start_time: 99.3, end_time: 99.8
Word: tryska, start_time: 99.8, end_time: 100.4
Word: pod, start_time: 100.4, end_time: 100.6
Word: ostrogą, start_time: 100.6, end_time: 101.2
Word: puszcza, start_time: 101.2, end_time: 102.2
Word: się, start_time: 102.2, end_time: 102.3
Word: galopa, start_time: 102.3, end_time: 102.8
Word: skacze, start_time: 102.8, end_time: 103.6
Word: przez, start_time: 103.6, end_time: 103.9
Word: był, start_time: 103.9, end_time: 105.0
Word: może, start_time: 105.0, end_time: 105.4
Word: 50, start_time: 105.4, end_time: 106.1
Word: stóp, start_time: 106.1, end_time: 106.4
Word: szeroki, start_time: 106.4, end_time: 106.9
Word: krzyczą, start_time: 106.9, end_time: 108.4
Word: ten, start_time: 108.4, end_time: 109.5
