Waiting for operation to complete...
Transcript: 236 Emir jest to bardzo roztropny woła do siebie syna swego i dwóch królów panowie baronowie będziecie jechać na przedzie po prowadzicie wszystkie moje chorągwie ale 3najlepsze zatrzymam przy sobie pierwszą turecką drugą walizkę A trzecią z olbrzymów malczewskich ze mną będą tańczyć oni to będą walczyć przeciw Karolowi i francuzom jeżeli coś spróbuję targnąć się na mnie zdejmę mu głowę z ramion nie doczeka się Niechaj wie o tym żadnego innego prawa
Confidence: 0.9288374185562134
Word: 236, start_time: 0.0, end_time: 1.8
Word: Emir, start_time: 1.8, end_time: 3.6
Word: jest, start_time: 3.6, end_time: 4.2
Word: to, start_time: 4.2, end_time: 4.4
Word: bardzo, start_time: 4.4, end_time: 5.3
Word: roztropny, start_time: 5.3, end_time: 6.0
Word: woła, start_time: 6.0, end_time: 6.9
Word: do, start_time: 6.9, end_time: 7.1
Word: siebie, start_time: 7.1, end_time: 7.3
Word: syna, start_time: 7.3, end_time: 7.7
Word: swego, start_time: 7.7, end_time: 8.1
Word: i, start_time: 8.1, end_time: 8.4
Word: dwóch, start_time: 8.4, end_time: 8.9
Word: królów, start_time: 8.9, end_time: 9.4
Word: panowie, start_time: 9.4, end_time: 10.8
Word: baronowie, start_time: 10.8, end_time: 11.4
Word: będziecie, start_time: 11.4, end_time: 12.4
Word: jechać, start_time: 12.4, end_time: 12.8
Word: na, start_time: 12.8, end_time: 12.8
Word: przedzie, start_time: 12.8, end_time: 13.4
Word: po, start_time: 13.4, end_time: 14.1
Word: prowadzicie, start_time: 14.1, end_time: 14.6
Word: wszystkie, start_time: 14.6, end_time: 15.2
Word: moje, start_time: 15.2, end_time: 15.4
Word: chorągwie, start_time: 15.4, end_time: 16.2
Word: ale, start_time: 16.2, end_time: 17.3
Word: 3najlepsze, start_time: 17.3, end_time: 17.7
Word: zatrzymam, start_time: 17.7, end_time: 19.1
Word: przy, start_time: 19.1, end_time: 19.4
Word: sobie, start_time: 19.4, end_time: 19.8
Word: pierwszą, start_time: 19.8, end_time: 20.9
Word: turecką, start_time: 20.9, end_time: 21.6
Word: drugą, start_time: 21.6, end_time: 22.6
Word: walizkę, start_time: 22.6, end_time: 23.5
Word: A, start_time: 23.5, end_time: 24.0
Word: trzecią, start_time: 24.0, end_time: 25.0
Word: z, start_time: 25.0, end_time: 25.3
Word: olbrzymów, start_time: 25.3, end_time: 26.3
Word: malczewskich, start_time: 26.3, end_time: 27.5
Word: ze, start_time: 27.5, end_time: 28.4
Word: mną, start_time: 28.4, end_time: 28.6
Word: będą, start_time: 28.6, end_time: 29.2
Word: tańczyć, start_time: 29.2, end_time: 30.2
Word: oni, start_time: 30.2, end_time: 31.4
Word: to, start_time: 31.4, end_time: 31.5
Word: będą, start_time: 31.5, end_time: 31.8
Word: walczyć, start_time: 31.8, end_time: 32.3
Word: przeciw, start_time: 32.3, end_time: 32.8
Word: Karolowi, start_time: 32.8, end_time: 33.5
Word: i, start_time: 33.5, end_time: 33.6
Word: francuzom, start_time: 33.6, end_time: 34.5
Word: jeżeli, start_time: 34.5, end_time: 35.7
Word: coś, start_time: 35.7, end_time: 36.2
Word: spróbuję, start_time: 36.2, end_time: 37.1
Word: targnąć, start_time: 37.1, end_time: 37.7
Word: się, start_time: 37.7, end_time: 37.7
Word: na, start_time: 37.7, end_time: 38.0
Word: mnie, start_time: 38.0, end_time: 38.2
Word: zdejmę, start_time: 38.2, end_time: 39.3
Word: mu, start_time: 39.3, end_time: 39.4
Word: głowę, start_time: 39.4, end_time: 39.8
Word: z, start_time: 39.8, end_time: 39.9
Word: ramion, start_time: 39.9, end_time: 40.4
Word: nie, start_time: 40.4, end_time: 41.3
Word: doczeka, start_time: 41.3, end_time: 41.7
Word: się, start_time: 41.7, end_time: 41.8
Word: Niechaj, start_time: 41.8, end_time: 42.9
Word: wie, start_time: 42.9, end_time: 43.2
Word: o, start_time: 43.2, end_time: 43.3
Word: tym, start_time: 43.3, end_time: 43.6
Word: żadnego, start_time: 43.6, end_time: 44.6
Word: innego, start_time: 44.6, end_time: 45.1
Word: prawa, start_time: 45.1, end_time: 45.8
