Waiting for operation to complete...
Transcript: 239 Kiedy Karol Wielki Mirai smoka chorągiewki sztandar i jak wielka jest siła Arabów i jak oni pokrywą okolice prócz pola które on zajmuje król francuski woła a głos jego niesie daleko baronowie francuscy dobrzy z was was ale wytrzymaliście tyle szczerych bitew widzicie pogan okrutnicy są i tchórze cała ich wiara nie zda się im za szeląga liczne jest ich plemię Ale co to jest to dla was panowie kto nie chcę w tej chwili zginąć ze mną niech sobie idzie po czym spina konia ostrogami ten sendur daje 4S Francuzi powiadają dzielnego mamy króla jedź wielkie rycerzu żaden z nas ci nie chyba
Confidence: 0.9475549459457397
Word: 239, start_time: 0.0, end_time: 1.6
Word: Kiedy, start_time: 1.6, end_time: 3.3
Word: Karol, start_time: 3.3, end_time: 3.7
Word: Wielki, start_time: 3.7, end_time: 4.0
Word: Mirai, start_time: 4.0, end_time: 5.2
Word: smoka, start_time: 5.2, end_time: 5.9
Word: chorągiewki, start_time: 5.9, end_time: 7.1
Word: sztandar, start_time: 7.1, end_time: 7.7
Word: i, start_time: 7.7, end_time: 7.8
Word: jak, start_time: 7.8, end_time: 8.5
Word: wielka, start_time: 8.5, end_time: 8.9
Word: jest, start_time: 8.9, end_time: 9.0
Word: siła, start_time: 9.0, end_time: 9.5
Word: Arabów, start_time: 9.5, end_time: 10.1
Word: i, start_time: 10.1, end_time: 10.4
Word: jak, start_time: 10.4, end_time: 11.0
Word: oni, start_time: 11.0, end_time: 11.3
Word: pokrywą, start_time: 11.3, end_time: 12.3
Word: okolice, start_time: 12.3, end_time: 13.1
Word: prócz, start_time: 13.1, end_time: 13.4
Word: pola, start_time: 13.4, end_time: 13.9
Word: które, start_time: 13.9, end_time: 14.3
Word: on, start_time: 14.3, end_time: 14.5
Word: zajmuje, start_time: 14.5, end_time: 14.8
Word: król, start_time: 14.8, end_time: 15.9
Word: francuski, start_time: 15.9, end_time: 16.3
Word: woła, start_time: 16.3, end_time: 17.0
Word: a, start_time: 17.0, end_time: 17.2
Word: głos, start_time: 17.2, end_time: 17.9
Word: jego, start_time: 17.9, end_time: 18.2
Word: niesie, start_time: 18.2, end_time: 18.7
Word: daleko, start_time: 18.7, end_time: 19.2
Word: baronowie, start_time: 19.2, end_time: 20.5
Word: francuscy, start_time: 20.5, end_time: 21.3
Word: dobrzy, start_time: 21.3, end_time: 22.5
Word: z, start_time: 22.5, end_time: 22.6
Word: was, start_time: 22.6, end_time: 22.9
Word: was, start_time: 22.9, end_time: 23.3
Word: ale, start_time: 23.3, end_time: 23.6
Word: wytrzymaliście, start_time: 23.6, end_time: 25.0
Word: tyle, start_time: 25.0, end_time: 25.6
Word: szczerych, start_time: 25.6, end_time: 26.1
Word: bitew, start_time: 26.1, end_time: 26.5
Word: widzicie, start_time: 26.5, end_time: 27.7
Word: pogan, start_time: 27.7, end_time: 28.2
Word: okrutnicy, start_time: 28.2, end_time: 29.5
Word: są, start_time: 29.5, end_time: 29.6
Word: i, start_time: 29.6, end_time: 29.9
Word: tchórze, start_time: 29.9, end_time: 30.4
Word: cała, start_time: 30.4, end_time: 31.3
Word: ich, start_time: 31.3, end_time: 31.6
Word: wiara, start_time: 31.6, end_time: 32.0
Word: nie, start_time: 32.0, end_time: 32.2
Word: zda, start_time: 32.2, end_time: 32.5
Word: się, start_time: 32.5, end_time: 32.7
Word: im, start_time: 32.7, end_time: 32.9
