Waiting for operation to complete...
Transcript: 243 malamis siedzi na koniu cale białym Rzuca się w ciszę Francuzów od jednego do drugiego idzie zadając srogie ciosy i waląc trupa trupa najpierw szyba ligand krzyczy omoi baronowie długo was żywiołem patrzcie na mego syna Karola On chce to sięgnąć ilu baronów wzywa zastrzyku dzielniejszego nadal nie żądam wspomóż czego waszymi ostrymi włóczniami na te słowa poganie Rzucają się zadając szybkie ciosy wielka jest rzeźba bitwa jest piękna i krwawa ani w przód ani potem nie widziano tak zażartej bitwy
Confidence: 0.932438850402832
Word: 243, start_time: 0.0, end_time: 1.8
Word: malamis, start_time: 1.8, end_time: 3.8
Word: siedzi, start_time: 3.8, end_time: 4.1
Word: na, start_time: 4.1, end_time: 4.3
Word: koniu, start_time: 4.3, end_time: 4.7
Word: cale, start_time: 4.7, end_time: 5.4
Word: białym, start_time: 5.4, end_time: 5.9
Word: Rzuca, start_time: 5.9, end_time: 7.0
Word: się, start_time: 7.0, end_time: 7.2
Word: w, start_time: 7.2, end_time: 7.3
Word: ciszę, start_time: 7.3, end_time: 7.6
Word: Francuzów, start_time: 7.6, end_time: 8.3
Word: od, start_time: 8.3, end_time: 9.1
Word: jednego, start_time: 9.1, end_time: 9.5
Word: do, start_time: 9.5, end_time: 9.8
Word: drugiego, start_time: 9.8, end_time: 9.9
Word: idzie, start_time: 9.9, end_time: 10.8
Word: zadając, start_time: 10.8, end_time: 11.6
Word: srogie, start_time: 11.6, end_time: 12.1
Word: ciosy, start_time: 12.1, end_time: 12.6
Word: i, start_time: 12.6, end_time: 12.7
Word: waląc, start_time: 12.7, end_time: 13.3
Word: trupa, start_time: 13.3, end_time: 13.8
Word: trupa, start_time: 13.8, end_time: 14.1
Word: najpierw, start_time: 14.1, end_time: 15.7
Word: szyba, start_time: 15.7, end_time: 16.0
Word: ligand, start_time: 16.0, end_time: 16.4
Word: krzyczy, start_time: 16.4, end_time: 17.0
Word: omoi, start_time: 17.0, end_time: 18.3
Word: baronowie, start_time: 18.3, end_time: 19.0
Word: długo, start_time: 19.0, end_time: 20.0
Word: was, start_time: 20.0, end_time: 20.3
Word: żywiołem, start_time: 20.3, end_time: 21.2
Word: patrzcie, start_time: 21.2, end_time: 22.2
Word: na, start_time: 22.2, end_time: 22.4
Word: mego, start_time: 22.4, end_time: 22.6
Word: syna, start_time: 22.6, end_time: 22.8
Word: Karola, start_time: 22.8, end_time: 23.9
Word: On, start_time: 23.9, end_time: 24.3
Word: chce, start_time: 24.3, end_time: 24.6
Word: to, start_time: 24.6, end_time: 24.7
Word: sięgnąć, start_time: 24.7, end_time: 25.1
Word: ilu, start_time: 25.1, end_time: 26.3
Word: baronów, start_time: 26.3, end_time: 27.0
Word: wzywa, start_time: 27.0, end_time: 27.8
Word: zastrzyku, start_time: 27.8, end_time: 28.7
Word: dzielniejszego, start_time: 28.7, end_time: 29.7
Word: nadal, start_time: 29.7, end_time: 30.5
Word: nie, start_time: 30.5, end_time: 30.9
Word: żądam, start_time: 30.9, end_time: 31.4
Word: wspomóż, start_time: 31.4, end_time: 32.3
Word: czego, start_time: 32.3, end_time: 32.7
Word: waszymi, start_time: 32.7, end_time: 33.1
Word: ostrymi, start_time: 33.1, end_time: 33.8
Word: włóczniami, start_time: 33.8, end_time: 34.4
Word: na, start_time: 34.4, end_time: 35.3
Word: te, start_time: 35.3, end_time: 35.4
Word: słowa, start_time: 35.4, end_time: 35.6
Word: poganie, start_time: 35.6, end_time: 36.4
Word: Rzucają, start_time: 36.4, end_time: 37.0
Word: się, start_time: 37.0, end_time: 37.3
Word: zadając, start_time: 37.3, end_time: 38.3
Word: szybkie, start_time: 38.3, end_time: 38.6
Word: ciosy, start_time: 38.6, end_time: 38.8
Word: wielka, start_time: 38.8, end_time: 40.0
Word: jest, start_time: 40.0, end_time: 40.3
Word: rzeźba, start_time: 40.3, end_time: 40.8
Word: bitwa, start_time: 40.8, end_time: 42.0
Word: jest, start_time: 42.0, end_time: 42.2
Word: piękna, start_time: 42.2, end_time: 42.8
Word: i, start_time: 42.8, end_time: 42.9
Word: krwawa, start_time: 42.9, end_time: 43.6
Word: ani, start_time: 43.6, end_time: 44.2
Word: w, start_time: 44.2, end_time: 44.3
Word: przód, start_time: 44.3, end_time: 44.7
Word: ani, start_time: 44.7, end_time: 45.3
Word: potem, start_time: 45.3, end_time: 45.7
Word: nie, start_time: 45.7, end_time: 46.0
Word: widziano, start_time: 46.0, end_time: 46.4
Word: tak, start_time: 46.4, end_time: 46.7
Word: zażartej, start_time: 46.7, end_time: 47.3
Word: bitwy, start_time: 47.3, end_time: 47.7
