Waiting for operation to complete...
Transcript: 244 wielkie są wojska hufce śmiały wszystkie chorągwie wdał się w bitwę a poganie walą krzepko na podziw Boże tyle drzewców pęka na dwoje tyle tarczy się łamie tyle stalowych koszulek się pruje Ziemia jest cała nimi zasypana i trawa na polu zielona imienia Emil wołanie wiernych bijcie Baranowie bijcie to nasienie chrześcijańskie bitwa jest uparta i twarda ani przedtem ani potem nie widziano równie zaciętej aż do nocy będzie trwała bez wytchnienia
Confidence: 0.9390732049942017
Word: 244, start_time: 0.0, end_time: 1.7000000000000002
Word: wielkie, start_time: 1.7000000000000002, end_time: 3.3
Word: są, start_time: 3.3, end_time: 3.4
Word: wojska, start_time: 3.4, end_time: 4.0
Word: hufce, start_time: 4.0, end_time: 4.9
Word: śmiały, start_time: 4.9, end_time: 5.5
Word: wszystkie, start_time: 5.5, end_time: 6.5
Word: chorągwie, start_time: 6.5, end_time: 7.0
Word: wdał, start_time: 7.0, end_time: 7.2
Word: się, start_time: 7.2, end_time: 7.3
Word: w, start_time: 7.3, end_time: 7.5
Word: bitwę, start_time: 7.5, end_time: 7.8
Word: a, start_time: 7.8, end_time: 8.0
Word: poganie, start_time: 8.0, end_time: 9.0
Word: walą, start_time: 9.0, end_time: 9.4
Word: krzepko, start_time: 9.4, end_time: 10.0
Word: na, start_time: 10.0, end_time: 10.2
Word: podziw, start_time: 10.2, end_time: 10.7
Word: Boże, start_time: 10.7, end_time: 11.9
Word: tyle, start_time: 11.9, end_time: 12.8
Word: drzewców, start_time: 12.8, end_time: 13.4
Word: pęka, start_time: 13.4, end_time: 13.8
Word: na, start_time: 13.8, end_time: 13.9
Word: dwoje, start_time: 13.9, end_time: 14.3
Word: tyle, start_time: 14.3, end_time: 14.9
Word: tarczy, start_time: 14.9, end_time: 15.3
Word: się, start_time: 15.3, end_time: 15.5
Word: łamie, start_time: 15.5, end_time: 16.0
Word: tyle, start_time: 16.0, end_time: 16.5
Word: stalowych, start_time: 16.5, end_time: 17.1
Word: koszulek, start_time: 17.1, end_time: 17.7
Word: się, start_time: 17.7, end_time: 17.8
Word: pruje, start_time: 17.8, end_time: 18.3
Word: Ziemia, start_time: 18.3, end_time: 19.4
Word: jest, start_time: 19.4, end_time: 19.7
Word: cała, start_time: 19.7, end_time: 20.1
Word: nimi, start_time: 20.1, end_time: 20.3
Word: zasypana, start_time: 20.3, end_time: 20.9
Word: i, start_time: 20.9, end_time: 21.1
Word: trawa, start_time: 21.1, end_time: 21.9
Word: na, start_time: 21.9, end_time: 22.0
Word: polu, start_time: 22.0, end_time: 22.4
Word: zielona, start_time: 22.4, end_time: 23.3
Word: imienia, start_time: 23.3, end_time: 23.8
Word: Emil, start_time: 23.8, end_time: 25.1
Word: wołanie, start_time: 25.1, end_time: 25.6
Word: wiernych, start_time: 25.6, end_time: 26.1
Word: bijcie, start_time: 26.1, end_time: 27.1
Word: Baranowie, start_time: 27.1, end_time: 27.8
Word: bijcie, start_time: 27.8, end_time: 28.7
Word: to, start_time: 28.7, end_time: 29.0
Word: nasienie, start_time: 29.0, end_time: 29.4
Word: chrześcijańskie, start_time: 29.4, end_time: 30.5
Word: bitwa, start_time: 30.5, end_time: 31.6
Word: jest, start_time: 31.6, end_time: 31.8
Word: uparta, start_time: 31.8, end_time: 32.5
Word: i, start_time: 32.5, end_time: 32.6
Word: twarda, start_time: 32.6, end_time: 33.2
Word: ani, start_time: 33.2, end_time: 33.8
Word: przedtem, start_time: 33.8, end_time: 34.3
Word: ani, start_time: 34.3, end_time: 34.6
Word: potem, start_time: 34.6, end_time: 35.1
Word: nie, start_time: 35.1, end_time: 35.7
Word: widziano, start_time: 35.7, end_time: 36.1
Word: równie, start_time: 36.1, end_time: 36.5
Word: zaciętej, start_time: 36.5, end_time: 37.1
Word: aż, start_time: 37.1, end_time: 38.0
Word: do, start_time: 38.0, end_time: 38.2
Word: nocy, start_time: 38.2, end_time: 38.3
Word: będzie, start_time: 38.3, end_time: 38.9
Word: trwała, start_time: 38.9, end_time: 39.4
Word: bez, start_time: 39.4, end_time: 39.7
Word: wytchnienia, start_time: 39.7, end_time: 40.0
