Waiting for operation to complete...
Transcript: 246 cesarz wzywa swoich Francuzów panowie baronowie miłuję was Wierzę w was dla mnie wydaliście tyle bitew zdobyliście tyle królestw zdarli stroną królów Uznaję to dobrze winien wam jestem zapłatę Ciało moje ziemię bogactwa pościcie waszych synów waszych braci i waszych dziedziców którzy po drodze wypadli tamtego wieczoru wiecie że przeciw poganom mam prawo za sobą Frankowie odpowiadają tanie prawdę powiadasz i 20000 jest ich koło niego którzy jednym głosem przysięgają mu wiarę iż nie chybiony Chodź by mieli paść każdy dobrze użyje z tej kopii wnet dzwonią miecze bitwa jest na podziw zacięta
Confidence: 0.9535938501358032
Word: 246, start_time: 0.0, end_time: 1.3
Word: cesarz, start_time: 1.3, end_time: 2.9
Word: wzywa, start_time: 2.9, end_time: 3.7
Word: swoich, start_time: 3.7, end_time: 4.1
Word: Francuzów, start_time: 4.1, end_time: 4.7
Word: panowie, start_time: 4.7, end_time: 5.9
Word: baronowie, start_time: 5.9, end_time: 6.4
Word: miłuję, start_time: 6.4, end_time: 7.4
Word: was, start_time: 7.4, end_time: 7.6
Word: Wierzę, start_time: 7.6, end_time: 8.7
Word: w, start_time: 8.7, end_time: 8.7
Word: was, start_time: 8.7, end_time: 9.0
Word: dla, start_time: 9.0, end_time: 10.0
Word: mnie, start_time: 10.0, end_time: 10.3
Word: wydaliście, start_time: 10.3, end_time: 11.0
Word: tyle, start_time: 11.0, end_time: 11.3
Word: bitew, start_time: 11.3, end_time: 11.7
Word: zdobyliście, start_time: 11.7, end_time: 12.7
Word: tyle, start_time: 12.7, end_time: 13.2
Word: królestw, start_time: 13.2, end_time: 14.0
Word: zdarli, start_time: 14.0, end_time: 14.9
Word: stroną, start_time: 14.9, end_time: 15.5
Word: królów, start_time: 15.5, end_time: 16.1
Word: Uznaję, start_time: 16.1, end_time: 17.1
Word: to, start_time: 17.1, end_time: 17.2
Word: dobrze, start_time: 17.2, end_time: 17.7
Word: winien, start_time: 17.7, end_time: 18.7
Word: wam, start_time: 18.7, end_time: 18.9
Word: jestem, start_time: 18.9, end_time: 19.2
Word: zapłatę, start_time: 19.2, end_time: 19.8
Word: Ciało, start_time: 19.8, end_time: 20.6
Word: moje, start_time: 20.6, end_time: 21.0
Word: ziemię, start_time: 21.0, end_time: 21.9
Word: bogactwa, start_time: 21.9, end_time: 23.1
Word: pościcie, start_time: 23.1, end_time: 24.4
Word: waszych, start_time: 24.4, end_time: 24.7
Word: synów, start_time: 24.7, end_time: 25.1
Word: waszych, start_time: 25.1, end_time: 25.8
Word: braci, start_time: 25.8, end_time: 26.4
Word: i, start_time: 26.4, end_time: 26.5
Word: waszych, start_time: 26.5, end_time: 27.0
Word: dziedziców, start_time: 27.0, end_time: 27.6
Word: którzy, start_time: 27.6, end_time: 28.5
Word: po, start_time: 28.5, end_time: 28.7
Word: drodze, start_time: 28.7, end_time: 29.2
Word: wypadli, start_time: 29.2, end_time: 30.0
Word: tamtego, start_time: 30.0, end_time: 30.4
Word: wieczoru, start_time: 30.4, end_time: 31.0
Word: wiecie, start_time: 31.0, end_time: 32.0
Word: że, start_time: 32.0, end_time: 32.6
Word: przeciw, start_time: 32.6, end_time: 32.9
Word: poganom, start_time: 32.9, end_time: 33.1
Word: mam, start_time: 33.1, end_time: 34.0
Word: prawo, start_time: 34.0, end_time: 34.5
Word: za, start_time: 34.5, end_time: 34.7
Word: sobą, start_time: 34.7, end_time: 35.0
Word: Frankowie, start_time: 35.0, end_time: 36.4
Word: odpowiadają, start_time: 36.4, end_time: 37.2
Word: tanie, start_time: 37.2, end_time: 38.2
Word: prawdę, start_time: 38.2, end_time: 39.2
Word: powiadasz, start_time: 39.2, end_time: 39.8
Word: i, start_time: 39.8, end_time: 40.0
Word: 20000, start_time: 40.0, end_time: 41.8
Word: jest, start_time: 41.8, end_time: 42.3
Word: ich, start_time: 42.3, end_time: 42.6
Word: koło, start_time: 42.6, end_time: 43.0
Word: niego, start_time: 43.0, end_time: 43.3
Word: którzy, start_time: 43.3, end_time: 44.1
Word: jednym, start_time: 44.1, end_time: 44.4
Word: głosem, start_time: 44.4, end_time: 44.8
Word: przysięgają, start_time: 44.8, end_time: 45.9
Word: mu, start_time: 45.9, end_time: 46.1
Word: wiarę, start_time: 46.1, end_time: 46.4
Word: iż, start_time: 46.4, end_time: 47.1
Word: nie, start_time: 47.1, end_time: 47.3
Word: chybiony, start_time: 47.3, end_time: 48.0
Word: Chodź, start_time: 48.0, end_time: 48.5
Word: by, start_time: 48.5, end_time: 48.7
Word: mieli, start_time: 48.7, end_time: 49.0
Word: paść, start_time: 49.0, end_time: 49.4
Word: każdy, start_time: 49.4, end_time: 50.5
Word: dobrze, start_time: 50.5, end_time: 50.9
Word: użyje, start_time: 50.9, end_time: 51.5
Word: z, start_time: 51.5, end_time: 51.6
Word: tej, start_time: 51.6, end_time: 51.8
Word: kopii, start_time: 51.8, end_time: 52.2
Word: wnet, start_time: 52.2, end_time: 53.3
Word: dzwonią, start_time: 53.3, end_time: 54.1
Word: miecze, start_time: 54.1, end_time: 54.5
Word: bitwa, start_time: 54.5, end_time: 55.5
Word: jest, start_time: 55.5, end_time: 55.8
Word: na, start_time: 55.8, end_time: 56.1
Word: podziw, start_time: 56.1, end_time: 56.6
Word: zacięta, start_time: 56.6, end_time: 57.5
