Waiting for operation to complete...
Transcript: rozdział 25 Tomek znowu chodził w aureoli sławy bohatera był ulubieńcem dorosłych i przedmiotem straszliwej zazdrości młodzieży jego nazwisko zostało nawet uwiecznione drukiem bo miejscowy dziennik szeroko rozpisywał się o jego czy nie było kilku takich którzy przepowiadali że z pewnością zostanie kiedyś prezydentem jeżeli tylko przed tego nie powiesz jak to zwykle bywa zmiennych bezmyślny świat przytulił teraz mów a Pottera do twoich piersi i tak samo obficie obsypywać go pochwałami jak przedtem obelgami ale taki jest już porządek na tym świecie i Tomka były pełne radości i chwały lecz noce napełniały go trwogą i przerażeniem pół Indianin Joe zatruwał mu wszystkie sny jego spojrzeniu zapisana była Tomkowi śmierć Po zapadnięciu zmroku żadna siła nie wyciągnęła by chłopca z domu tak znajdował się w takim samym stanie w nocy przed ostatnim decydującym dniem procesu Tomek opowiedział adwokat
Confidence: 0.8876336216926575
Word: rozdział, start_time: 0.0, end_time: 1.0
Word: 25, start_time: 1.0, end_time: 1.5
Word: Tomek, start_time: 1.5, end_time: 3.0
Word: znowu, start_time: 3.0, end_time: 3.3
Word: chodził, start_time: 3.3, end_time: 3.7
Word: w, start_time: 3.7, end_time: 3.8
Word: aureoli, start_time: 3.8, end_time: 4.2
Word: sławy, start_time: 4.2, end_time: 4.7
Word: bohatera, start_time: 4.7, end_time: 5.3
Word: był, start_time: 5.3, end_time: 6.1
Word: ulubieńcem, start_time: 6.1, end_time: 6.4
Word: dorosłych, start_time: 6.4, end_time: 7.2
Word: i, start_time: 7.2, end_time: 7.4
Word: przedmiotem, start_time: 7.4, end_time: 8.0
Word: straszliwej, start_time: 8.0, end_time: 8.7
Word: zazdrości, start_time: 8.7, end_time: 9.2
Word: młodzieży, start_time: 9.2, end_time: 9.7
Word: jego, start_time: 9.7, end_time: 10.4
Word: nazwisko, start_time: 10.4, end_time: 10.9
Word: zostało, start_time: 10.9, end_time: 11.2
Word: nawet, start_time: 11.2, end_time: 11.5
Word: uwiecznione, start_time: 11.5, end_time: 12.1
Word: drukiem, start_time: 12.1, end_time: 12.6
Word: bo, start_time: 12.6, end_time: 13.0
Word: miejscowy, start_time: 13.0, end_time: 13.4
Word: dziennik, start_time: 13.4, end_time: 13.8
Word: szeroko, start_time: 13.8, end_time: 14.4
Word: rozpisywał, start_time: 14.4, end_time: 14.9
Word: się, start_time: 14.9, end_time: 15.0
Word: o, start_time: 15.0, end_time: 15.1
Word: jego, start_time: 15.1, end_time: 15.3
Word: czy, start_time: 15.3, end_time: 15.5
Word: nie, start_time: 15.5, end_time: 15.7
Word: było, start_time: 15.7, end_time: 16.5
Word: kilku, start_time: 16.5, end_time: 16.8
Word: takich, start_time: 16.8, end_time: 17.0
Word: którzy, start_time: 17.0, end_time: 17.6
Word: przepowiadali, start_time: 17.6, end_time: 18.3
Word: że, start_time: 18.3, end_time: 18.7
Word: z, start_time: 18.7, end_time: 18.8
Word: pewnością, start_time: 18.8, end_time: 18.9
Word: zostanie, start_time: 18.9, end_time: 19.8
Word: kiedyś, start_time: 19.8, end_time: 20.0
Word: prezydentem, start_time: 20.0, end_time: 20.7
Word: jeżeli, start_time: 20.7, end_time: 21.4
Word: tylko, start_time: 21.4, end_time: 21.6
Word: przed, start_time: 21.6, end_time: 22.1
Word: tego, start_time: 22.1, end_time: 22.3
Word: nie, start_time: 22.3, end_time: 22.4
Word: powiesz, start_time: 22.4, end_time: 22.7
Word: jak, start_time: 22.7, end_time: 23.7
Word: to, start_time: 23.7, end_time: 23.8
Word: zwykle, start_time: 23.8, end_time: 24.0
Word: bywa, start_time: 24.0, end_time: 24.2
Word: zmiennych, start_time: 24.2, end_time: 25.4
Word: bezmyślny, start_time: 25.4, end_time: 26.0
Word: świat, start_time: 26.0, end_time: 26.4
Word: przytulił, start_time: 26.4, end_time: 27.1
Word: teraz, start_time: 27.1, end_time: 27.3
Word: mów, start_time: 27.3, end_time: 27.7
Word: a, start_time: 27.7, end_time: 27.7
Word: Pottera, start_time: 27.7, end_time: 28.1
Word: do, start_time: 28.1, end_time: 28.3
Word: twoich, start_time: 28.3, end_time: 28.5
