Waiting for operation to complete...
Transcript: 265 poganie pomarli Karol wygrał bitwę zwalił bramy saragossy wie że nie będą jej bronili zajął Miasto Wojska jego weszły w nie prawem zdobyczy i spały tamtej nocy król z białą brodą pełen jest do dumy abramy moda oddałam mu wszystkie wieże 10 wielkich 50 małych Kto zyska pomoc Bożą dobrze Wieńczy swoje dzieła
Confidence: 0.9315067529678345
Word: 265, start_time: 0.0, end_time: 1.7000000000000002
Word: poganie, start_time: 1.7000000000000002, end_time: 3.3
Word: pomarli, start_time: 3.3, end_time: 3.9
Word: Karol, start_time: 3.9, end_time: 5.0
Word: wygrał, start_time: 5.0, end_time: 5.6
Word: bitwę, start_time: 5.6, end_time: 6.0
Word: zwalił, start_time: 6.0, end_time: 7.2
Word: bramy, start_time: 7.2, end_time: 7.6
Word: saragossy, start_time: 7.6, end_time: 8.3
Word: wie, start_time: 8.3, end_time: 9.2
Word: że, start_time: 9.2, end_time: 9.3
Word: nie, start_time: 9.3, end_time: 9.5
Word: będą, start_time: 9.5, end_time: 9.9
Word: jej, start_time: 9.9, end_time: 10.2
Word: bronili, start_time: 10.2, end_time: 10.7
Word: zajął, start_time: 10.7, end_time: 11.7
Word: Miasto, start_time: 11.7, end_time: 12.1
Word: Wojska, start_time: 12.1, end_time: 12.9
Word: jego, start_time: 12.9, end_time: 13.3
Word: weszły, start_time: 13.3, end_time: 13.7
Word: w, start_time: 13.7, end_time: 13.8
Word: nie, start_time: 13.8, end_time: 14.0
Word: prawem, start_time: 14.0, end_time: 14.5
Word: zdobyczy, start_time: 14.5, end_time: 15.1
Word: i, start_time: 15.1, end_time: 15.2
Word: spały, start_time: 15.2, end_time: 16.1
Word: tamtej, start_time: 16.1, end_time: 16.7
Word: nocy, start_time: 16.7, end_time: 16.9
Word: król, start_time: 16.9, end_time: 18.5
Word: z, start_time: 18.5, end_time: 18.5
Word: białą, start_time: 18.5, end_time: 18.9
Word: brodą, start_time: 18.9, end_time: 19.4
Word: pełen, start_time: 19.4, end_time: 20.2
Word: jest, start_time: 20.2, end_time: 20.4
Word: do, start_time: 20.4, end_time: 20.5
Word: dumy, start_time: 20.5, end_time: 20.9
Word: abramy, start_time: 20.9, end_time: 21.8
Word: moda, start_time: 21.8, end_time: 22.1
Word: oddałam, start_time: 22.1, end_time: 22.9
Word: mu, start_time: 22.9, end_time: 23.1
Word: wszystkie, start_time: 23.1, end_time: 23.6
Word: wieże, start_time: 23.6, end_time: 24.0
Word: 10, start_time: 24.0, end_time: 25.0
Word: wielkich, start_time: 25.0, end_time: 25.6
Word: 50, start_time: 25.6, end_time: 26.4
Word: małych, start_time: 26.4, end_time: 26.8
Word: Kto, start_time: 26.8, end_time: 27.8
Word: zyska, start_time: 27.8, end_time: 28.1
Word: pomoc, start_time: 28.1, end_time: 28.5
Word: Bożą, start_time: 28.5, end_time: 28.8
Word: dobrze, start_time: 28.8, end_time: 30.1
Word: Wieńczy, start_time: 30.1, end_time: 30.6
Word: swoje, start_time: 30.6, end_time: 31.0
Word: dzieła, start_time: 31.0, end_time: 31.4
