Waiting for operation to complete...
Transcript: scena 5 orgon elmira dummies Cardiff Devils podchodzisz Ojcze szczęśliwym przypadkiem może się to uraczyć widowiskiem rzadkie ładne i doznał za swoje starania zapłaty i ten pan wdzięcznym ci się ukazał zakaty w swej tkliwości dla ciebie cały zapał mieści w tym aby cię obedrzeć z honoru i części właśnie słyszałem pani to za świadka stanie jakiej swych brudnych huj ci uczynił wyznanie na rzecz w swej dobroci biorąc zbyt łagodny chciała ukryć przed tobą te bezczelna zbrodnie lecz ja żądam byś wiedział jak to rzeczy stoją i Mniemam że Milczenie jest zniewagę twoją a Mira Nie sądzę by w istocie żona była dużą głowę węża zaprzątać lada baśnią próżno mi w tym honor jej czerpie
Confidence: 0.9466516375541687
Word: scena, start_time: 0.0, end_time: 0.9
Word: 5, start_time: 0.9, end_time: 1.3
Word: orgon, start_time: 1.3, end_time: 2.4
Word: elmira, start_time: 2.4, end_time: 3.3
Word: dummies, start_time: 3.3, end_time: 4.4
Word: Cardiff, start_time: 4.4, end_time: 5.2
Word: Devils, start_time: 5.2, end_time: 6.0
Word: podchodzisz, start_time: 6.0, end_time: 8.1
Word: Ojcze, start_time: 8.1, end_time: 8.6
Word: szczęśliwym, start_time: 8.6, end_time: 9.6
Word: przypadkiem, start_time: 9.6, end_time: 10.2
Word: może, start_time: 10.2, end_time: 10.9
Word: się, start_time: 10.9, end_time: 11.2
Word: to, start_time: 11.2, end_time: 11.4
Word: uraczyć, start_time: 11.4, end_time: 12.2
Word: widowiskiem, start_time: 12.2, end_time: 13.2
Word: rzadkie, start_time: 13.2, end_time: 13.8
Word: ładne, start_time: 13.8, end_time: 15.3
Word: i, start_time: 15.3, end_time: 15.4
Word: doznał, start_time: 15.4, end_time: 16.0
Word: za, start_time: 16.0, end_time: 16.2
Word: swoje, start_time: 16.2, end_time: 16.7
Word: starania, start_time: 16.7, end_time: 17.1
Word: zapłaty, start_time: 17.1, end_time: 17.8
Word: i, start_time: 17.8, end_time: 17.9
