Waiting for operation to complete...
Transcript: 270 cesarz wrócił do akwizgranu ganelon zdrajca w żelaznych kajdanach jest w mieście przed pałacem słudzy przywiązali go do szubienicy spędzali mu ręce rzemieniami z Jeleniej skóry Biją go silnie rózgami i kijami nie zasłużył na nic lepszego wielkiej boleści czeka swego sądu
Confidence: 0.9371781349182129
Word: 270, start_time: 0.0, end_time: 1.5
Word: cesarz, start_time: 1.5, end_time: 2.9
Word: wrócił, start_time: 2.9, end_time: 3.7
Word: do, start_time: 3.7, end_time: 3.9
Word: akwizgranu, start_time: 3.9, end_time: 4.4
Word: ganelon, start_time: 4.4, end_time: 5.8
Word: zdrajca, start_time: 5.8, end_time: 6.6
Word: w, start_time: 6.6, end_time: 6.7
Word: żelaznych, start_time: 6.7, end_time: 7.5
Word: kajdanach, start_time: 7.5, end_time: 8.1
Word: jest, start_time: 8.1, end_time: 8.7
Word: w, start_time: 8.7, end_time: 8.7
Word: mieście, start_time: 8.7, end_time: 9.0
Word: przed, start_time: 9.0, end_time: 9.4
Word: pałacem, start_time: 9.4, end_time: 9.9
Word: słudzy, start_time: 9.9, end_time: 11.0
Word: przywiązali, start_time: 11.0, end_time: 11.6
Word: go, start_time: 11.6, end_time: 11.8
Word: do, start_time: 11.8, end_time: 11.9
Word: szubienicy, start_time: 11.9, end_time: 12.2
Word: spędzali, start_time: 12.2, end_time: 13.4
Word: mu, start_time: 13.4, end_time: 13.5
Word: ręce, start_time: 13.5, end_time: 13.9
Word: rzemieniami, start_time: 13.9, end_time: 14.5
Word: z, start_time: 14.5, end_time: 14.6
Word: Jeleniej, start_time: 14.6, end_time: 15.1
Word: skóry, start_time: 15.1, end_time: 15.3
Word: Biją, start_time: 15.3, end_time: 16.4
Word: go, start_time: 16.4, end_time: 16.6
Word: silnie, start_time: 16.6, end_time: 17.1
Word: rózgami, start_time: 17.1, end_time: 17.7
Word: i, start_time: 17.7, end_time: 17.9
Word: kijami, start_time: 17.9, end_time: 18.6
Word: nie, start_time: 18.6, end_time: 19.2
Word: zasłużył, start_time: 19.2, end_time: 19.8
Word: na, start_time: 19.8, end_time: 19.9
Word: nic, start_time: 19.9, end_time: 20.3
Word: lepszego, start_time: 20.3, end_time: 20.7
Word: wielkiej, start_time: 20.7, end_time: 22.2
Word: boleści, start_time: 22.2, end_time: 22.9
Word: czeka, start_time: 22.9, end_time: 23.5
Word: swego, start_time: 23.5, end_time: 23.9
Word: sądu, start_time: 23.9, end_time: 24.1
