Waiting for operation to complete...
Transcript: 271 napisane jest w Starej pieśni że Karol z wielu krajów zwołał swoich wasali zebrali się w Akwizgranie w kaplicy jest to dzień uroczystego święta dzień powiada wielu Świętego Barona Sylwestra wówczas zaczyna się sąd a Oto historia ganelona zdrajcy cesarz kazał go zabrać z przed siebie
Confidence: 0.9310770034790039
Word: 271, start_time: 0.0, end_time: 1.8
Word: napisane, start_time: 1.8, end_time: 3.3
Word: jest, start_time: 3.3, end_time: 3.5
Word: w, start_time: 3.5, end_time: 3.6
Word: Starej, start_time: 3.6, end_time: 4.0
Word: pieśni, start_time: 4.0, end_time: 4.3
Word: że, start_time: 4.3, end_time: 5.2
Word: Karol, start_time: 5.2, end_time: 5.7
Word: z, start_time: 5.7, end_time: 6.0
Word: wielu, start_time: 6.0, end_time: 6.4
Word: krajów, start_time: 6.4, end_time: 6.6
Word: zwołał, start_time: 6.6, end_time: 7.4
Word: swoich, start_time: 7.4, end_time: 7.9
Word: wasali, start_time: 7.9, end_time: 8.1
Word: zebrali, start_time: 8.1, end_time: 9.7
Word: się, start_time: 9.7, end_time: 9.9
Word: w, start_time: 9.9, end_time: 10.0
Word: Akwizgranie, start_time: 10.0, end_time: 10.5
Word: w, start_time: 10.5, end_time: 11.0
Word: kaplicy, start_time: 11.0, end_time: 11.6
Word: jest, start_time: 11.6, end_time: 12.6
Word: to, start_time: 12.6, end_time: 12.8
Word: dzień, start_time: 12.8, end_time: 13.2
Word: uroczystego, start_time: 13.2, end_time: 13.9
Word: święta, start_time: 13.9, end_time: 14.5
Word: dzień, start_time: 14.5, end_time: 15.5
Word: powiada, start_time: 15.5, end_time: 16.2
Word: wielu, start_time: 16.2, end_time: 16.5
Word: Świętego, start_time: 16.5, end_time: 17.5
Word: Barona, start_time: 17.5, end_time: 18.1
Word: Sylwestra, start_time: 18.1, end_time: 18.8
Word: wówczas, start_time: 18.8, end_time: 20.0
Word: zaczyna, start_time: 20.0, end_time: 21.1
Word: się, start_time: 21.1, end_time: 21.2
Word: sąd, start_time: 21.2, end_time: 21.7
Word: a, start_time: 21.7, end_time: 21.8
Word: Oto, start_time: 21.8, end_time: 22.9
Word: historia, start_time: 22.9, end_time: 23.2
Word: ganelona, start_time: 23.2, end_time: 24.2
Word: zdrajcy, start_time: 24.2, end_time: 24.8
Word: cesarz, start_time: 24.8, end_time: 26.0
Word: kazał, start_time: 26.0, end_time: 26.6
Word: go, start_time: 26.6, end_time: 26.8
Word: zabrać, start_time: 26.8, end_time: 27.3
Word: z, start_time: 27.3, end_time: 27.4
Word: przed, start_time: 27.4, end_time: 27.7
Word: siebie, start_time: 27.7, end_time: 28.1
