Waiting for operation to complete...
Transcript: 279 kiedy tiery widzi że będzie bitwa podaje Karolowi prawo rękawice cesarz daje za nie rękojmię po czym każe wynieść 4 ławy na plac ci którzy mają walczyć siadają powszechnym sądem wyzywali się wedle prawideł ogier duński zaniósł podwójne wyzwanie po czym żądają swoich koni i Oręża
Confidence: 0.8696533441543579
Word: 279, start_time: 0.0, end_time: 1.3
Word: kiedy, start_time: 1.3, end_time: 2.9
Word: tiery, start_time: 2.9, end_time: 3.4
Word: widzi, start_time: 3.4, end_time: 4.2
Word: że, start_time: 4.2, end_time: 4.4
Word: będzie, start_time: 4.4, end_time: 4.7
Word: bitwa, start_time: 4.7, end_time: 5.0
Word: podaje, start_time: 5.0, end_time: 6.1
Word: Karolowi, start_time: 6.1, end_time: 6.7
Word: prawo, start_time: 6.7, end_time: 7.2
Word: rękawice, start_time: 7.2, end_time: 7.9
Word: cesarz, start_time: 7.9, end_time: 9.1
Word: daje, start_time: 9.1, end_time: 9.5
Word: za, start_time: 9.5, end_time: 9.7
Word: nie, start_time: 9.7, end_time: 9.9
Word: rękojmię, start_time: 9.9, end_time: 10.5
Word: po, start_time: 10.5, end_time: 11.0
Word: czym, start_time: 11.0, end_time: 11.2
Word: każe, start_time: 11.2, end_time: 11.5
Word: wynieść, start_time: 11.5, end_time: 12.1
Word: 4, start_time: 12.1, end_time: 12.7
Word: ławy, start_time: 12.7, end_time: 13.1
Word: na, start_time: 13.1, end_time: 13.2
Word: plac, start_time: 13.2, end_time: 13.5
Word: ci, start_time: 13.5, end_time: 14.2
Word: którzy, start_time: 14.2, end_time: 14.6
Word: mają, start_time: 14.6, end_time: 14.8
Word: walczyć, start_time: 14.8, end_time: 15.2
Word: siadają, start_time: 15.2, end_time: 16.3
Word: powszechnym, start_time: 16.3, end_time: 17.6
Word: sądem, start_time: 17.6, end_time: 18.1
Word: wyzywali, start_time: 18.1, end_time: 19.0
Word: się, start_time: 19.0, end_time: 19.2
Word: wedle, start_time: 19.2, end_time: 19.6
Word: prawideł, start_time: 19.6, end_time: 20.2
Word: ogier, start_time: 20.2, end_time: 21.3
Word: duński, start_time: 21.3, end_time: 21.9
Word: zaniósł, start_time: 21.9, end_time: 22.7
Word: podwójne, start_time: 22.7, end_time: 23.4
Word: wyzwanie, start_time: 23.4, end_time: 23.9
Word: po, start_time: 23.9, end_time: 24.7
Word: czym, start_time: 24.7, end_time: 24.9
Word: żądają, start_time: 24.9, end_time: 25.9
Word: swoich, start_time: 25.9, end_time: 26.4
Word: koni, start_time: 26.4, end_time: 26.8
Word: i, start_time: 26.8, end_time: 26.9
Word: Oręża, start_time: 26.9, end_time: 27.9
