Waiting for operation to complete...
Transcript: 281 jest pod Akwizgran m-pole bardzo szerokie tamto starli się dwaj Baranowie są mężni i dzielni wielce a konie i Franceski rwące tengo spinają je ostrogami puszczają cugle całą siłą mą się z sobą tarcze się łamią lecą sztuki kolczugi się drą że mnie nie trzaskają Łęki skręcają się siodła spadają na ziemię 100000 ludzi płacze Patrząc na nich
Confidence: 0.9276173114776611
Word: 281, start_time: 0.0, end_time: 2.0
Word: jest, start_time: 2.0, end_time: 3.3
Word: pod, start_time: 3.3, end_time: 3.7
Word: Akwizgran, start_time: 3.7, end_time: 4.8
Word: m-pole, start_time: 4.8, end_time: 5.4
Word: bardzo, start_time: 5.4, end_time: 5.9
Word: szerokie, start_time: 5.9, end_time: 6.5
Word: tamto, start_time: 6.5, end_time: 7.5
Word: starli, start_time: 7.5, end_time: 8.1
Word: się, start_time: 8.1, end_time: 8.2
Word: dwaj, start_time: 8.2, end_time: 8.6
Word: Baranowie, start_time: 8.6, end_time: 9.2
Word: są, start_time: 9.2, end_time: 10.0
Word: mężni, start_time: 10.0, end_time: 10.6
Word: i, start_time: 10.6, end_time: 10.8
Word: dzielni, start_time: 10.8, end_time: 11.5
Word: wielce, start_time: 11.5, end_time: 12.0
Word: a, start_time: 12.0, end_time: 12.1
Word: konie, start_time: 12.1, end_time: 12.9
Word: i, start_time: 12.9, end_time: 13.0
Word: Franceski, start_time: 13.0, end_time: 14.1
Word: rwące, start_time: 14.1, end_time: 14.8
Word: tengo, start_time: 14.8, end_time: 15.7
Word: spinają, start_time: 15.7, end_time: 16.3
Word: je, start_time: 16.3, end_time: 16.5
Word: ostrogami, start_time: 16.5, end_time: 17.1
Word: puszczają, start_time: 17.1, end_time: 18.0
Word: cugle, start_time: 18.0, end_time: 18.5
Word: całą, start_time: 18.5, end_time: 19.3
Word: siłą, start_time: 19.3, end_time: 19.8
Word: mą, start_time: 19.8, end_time: 20.3
Word: się, start_time: 20.3, end_time: 20.5
Word: z, start_time: 20.5, end_time: 20.6
Word: sobą, start_time: 20.6, end_time: 21.0
Word: tarcze, start_time: 21.0, end_time: 22.1
Word: się, start_time: 22.1, end_time: 22.3
Word: łamią, start_time: 22.3, end_time: 22.7
Word: lecą, start_time: 22.7, end_time: 23.3
Word: sztuki, start_time: 23.3, end_time: 23.8
Word: kolczugi, start_time: 23.8, end_time: 24.7
Word: się, start_time: 24.7, end_time: 24.8
Word: drą, start_time: 24.8, end_time: 25.1
Word: że, start_time: 25.1, end_time: 25.3
Word: mnie, start_time: 25.3, end_time: 26.0
Word: nie, start_time: 26.0, end_time: 26.1
Word: trzaskają, start_time: 26.1, end_time: 26.8
Word: Łęki, start_time: 26.8, end_time: 27.8
Word: skręcają, start_time: 27.8, end_time: 28.5
Word: się, start_time: 28.5, end_time: 28.7
Word: siodła, start_time: 28.7, end_time: 29.7
Word: spadają, start_time: 29.7, end_time: 30.5
Word: na, start_time: 30.5, end_time: 30.6
Word: ziemię, start_time: 30.6, end_time: 31.1
Word: 100000, start_time: 31.1, end_time: 32.6
Word: ludzi, start_time: 32.6, end_time: 33.0
Word: płacze, start_time: 33.0, end_time: 33.6
Word: Patrząc, start_time: 33.6, end_time: 34.5
Word: na, start_time: 34.5, end_time: 34.7
Word: nich, start_time: 34.7, end_time: 34.9
