Waiting for operation to complete...
Transcript: 285p nabel z Florencji bardzo jest dzielny Walerego w Chełm prowancki ogień tryska trawa płonie Młyńska ostrzem stalowego brzeszczota nie spada na jego czoło bravely co ma całe we krwi i krwawą kolczugę na grzbiecie i na piersi Bóg czuwa nad nim i nadal nie położył go trupem
Confidence: 0.8915038108825684
Word: 285p, start_time: 0.0, end_time: 3.3
Word: nabel, start_time: 3.3, end_time: 3.7
Word: z, start_time: 3.7, end_time: 3.8
Word: Florencji, start_time: 3.8, end_time: 4.9
Word: bardzo, start_time: 4.9, end_time: 5.8
Word: jest, start_time: 5.8, end_time: 6.0
Word: dzielny, start_time: 6.0, end_time: 6.7
Word: Walerego, start_time: 6.7, end_time: 8.2
Word: w, start_time: 8.2, end_time: 8.4
Word: Chełm, start_time: 8.4, end_time: 8.9
Word: prowancki, start_time: 8.9, end_time: 9.7
Word: ogień, start_time: 9.7, end_time: 10.6
Word: tryska, start_time: 10.6, end_time: 11.2
Word: trawa, start_time: 11.2, end_time: 12.0
Word: płonie, start_time: 12.0, end_time: 12.2
Word: Młyńska, start_time: 12.2, end_time: 13.7
Word: ostrzem, start_time: 13.7, end_time: 14.5
Word: stalowego, start_time: 14.5, end_time: 15.0
Word: brzeszczota, start_time: 15.0, end_time: 15.7
Word: nie, start_time: 15.7, end_time: 16.7
Word: spada, start_time: 16.7, end_time: 17.4
Word: na, start_time: 17.4, end_time: 17.5
Word: jego, start_time: 17.5, end_time: 17.8
Word: czoło, start_time: 17.8, end_time: 18.3
Word: bravely, start_time: 18.3, end_time: 19.3
Word: co, start_time: 19.3, end_time: 19.6
Word: ma, start_time: 19.6, end_time: 19.8
Word: całe, start_time: 19.8, end_time: 20.2
Word: we, start_time: 20.2, end_time: 20.3
Word: krwi, start_time: 20.3, end_time: 20.6
Word: i, start_time: 20.6, end_time: 20.9
Word: krwawą, start_time: 20.9, end_time: 21.6
Word: kolczugę, start_time: 21.6, end_time: 22.3
Word: na, start_time: 22.3, end_time: 22.4
Word: grzbiecie, start_time: 22.4, end_time: 22.8
Word: i, start_time: 22.8, end_time: 23.1
Word: na, start_time: 23.1, end_time: 23.3
Word: piersi, start_time: 23.3, end_time: 23.9
Word: Bóg, start_time: 23.9, end_time: 24.8
Word: czuwa, start_time: 24.8, end_time: 25.1
Word: nad, start_time: 25.1, end_time: 25.5
Word: nim, start_time: 25.5, end_time: 25.7
Word: i, start_time: 25.7, end_time: 25.8
Word: nadal, start_time: 25.8, end_time: 26.8
Word: nie, start_time: 26.8, end_time: 27.3
Word: położył, start_time: 27.3, end_time: 27.8
Word: go, start_time: 27.8, end_time: 27.9
Word: trupem, start_time: 27.9, end_time: 28.4
