Waiting for operation to complete...
Transcript: scena siódma orgon Tartuffe orgon znieważać tak człowieka co z tym życiem całym Tartuffe niech mu nie podaruję jak ja darowałem do orgona bo gdybyś wiedział jakiej doznaje boleści że tak przed bratem moim chcą mnie o drzeć z Cześć orgon bracie Tartuffe niewdzięczności już samo wspomnienie duszy mojej zadanie tak straszne cierpienie taką zgroza w nim budzi Serce mi pęka mówić trudno Dobija mnie chyba ta męka orgon biegnąc cały we łzach ku drzwiom którymi wypędził syna łotrze żałuję teraz żeby cię puścił całą bo mówić cię na miejscu jedynie przystało do Tartuffe a przyjdź do siebie mój bracie
Confidence: 0.8324614763259888
Word: scena, start_time: 0.0, end_time: 1.2
Word: siódma, start_time: 1.2, end_time: 1.5
Word: orgon, start_time: 1.5, end_time: 3.0
Word: Tartuffe, start_time: 3.0, end_time: 3.8
Word: orgon, start_time: 3.8, end_time: 5.0
Word: znieważać, start_time: 5.0, end_time: 6.6
Word: tak, start_time: 6.6, end_time: 7.0
Word: człowieka, start_time: 7.0, end_time: 7.6
Word: co, start_time: 7.6, end_time: 7.8
Word: z, start_time: 7.8, end_time: 7.9
Word: tym, start_time: 7.9, end_time: 8.2
Word: życiem, start_time: 8.2, end_time: 8.3
Word: całym, start_time: 8.3, end_time: 9.2
Word: Tartuffe, start_time: 9.2, end_time: 10.5
Word: niech, start_time: 10.5, end_time: 11.5
Word: mu, start_time: 11.5, end_time: 11.7
Word: nie, start_time: 11.7, end_time: 11.7
Word: podaruję, start_time: 11.7, end_time: 12.6
Word: jak, start_time: 12.6, end_time: 13.5
Word: ja, start_time: 13.5, end_time: 13.8
Word: darowałem, start_time: 13.8, end_time: 14.5
Word: do, start_time: 14.5, end_time: 15.5
Word: orgona, start_time: 15.5, end_time: 16.0
Word: bo, start_time: 16.0, end_time: 16.9
Word: gdybyś, start_time: 16.9, end_time: 17.3
Word: wiedział, start_time: 17.3, end_time: 17.8
Word: jakiej, start_time: 17.8, end_time: 18.3
Word: doznaje, start_time: 18.3, end_time: 18.7
Word: boleści, start_time: 18.7, end_time: 19.4
Word: że, start_time: 19.4, end_time: 20.1
Word: tak, start_time: 20.1, end_time: 20.3
Word: przed, start_time: 20.3, end_time: 20.8
Word: bratem, start_time: 20.8, end_time: 21.2
Word: moim, start_time: 21.2, end_time: 21.8
Word: chcą, start_time: 21.8, end_time: 22.4
Word: mnie, start_time: 22.4, end_time: 22.6
Word: o, start_time: 22.6, end_time: 22.9
Word: drzeć, start_time: 22.9, end_time: 23.5
Word: z, start_time: 23.5, end_time: 23.6
Word: Cześć, start_time: 23.6, end_time: 24.2
Word: orgon, start_time: 24.2, end_time: 25.6
Word: bracie, start_time: 25.6, end_time: 26.6
Word: Tartuffe, start_time: 26.6, end_time: 28.1
Word: niewdzięczności, start_time: 28.1, end_time: 30.1
Word: już, start_time: 30.1, end_time: 30.3
Word: samo, start_time: 30.3, end_time: 30.7
Word: wspomnienie, start_time: 30.7, end_time: 30.9
Word: duszy, start_time: 30.9, end_time: 32.1
Word: mojej, start_time: 32.1, end_time: 32.3
Word: zadanie, start_time: 32.3, end_time: 32.9
Word: tak, start_time: 32.9, end_time: 33.1
Word: straszne, start_time: 33.1, end_time: 33.7
Word: cierpienie, start_time: 33.7, end_time: 34.3
Word: taką, start_time: 34.3, end_time: 35.1
Word: zgroza, start_time: 35.1, end_time: 35.7
Word: w, start_time: 35.7, end_time: 35.8
Word: nim, start_time: 35.8, end_time: 36.0
Word: budzi, start_time: 36.0, end_time: 36.3
Word: Serce, start_time: 36.3, end_time: 37.7
Word: mi, start_time: 37.7, end_time: 37.8
Word: pęka, start_time: 37.8, end_time: 38.3
Word: mówić, start_time: 38.3, end_time: 39.3
Word: trudno, start_time: 39.3, end_time: 40.1
Word: Dobija, start_time: 40.1, end_time: 41.1
Word: mnie, start_time: 41.1, end_time: 41.3
Word: chyba, start_time: 41.3, end_time: 41.6
Word: ta, start_time: 41.6, end_time: 41.8
Word: męka, start_time: 41.8, end_time: 42.2
Word: orgon, start_time: 42.2, end_time: 43.6
Word: biegnąc, start_time: 43.6, end_time: 44.9
Word: cały, start_time: 44.9, end_time: 45.3
Word: we, start_time: 45.3, end_time: 45.5
Word: łzach, start_time: 45.5, end_time: 45.6
Word: ku, start_time: 45.6, end_time: 46.2
Word: drzwiom, start_time: 46.2, end_time: 46.3
Word: którymi, start_time: 46.3, end_time: 47.5
Word: wypędził, start_time: 47.5, end_time: 48.2
Word: syna, start_time: 48.2, end_time: 48.5
Word: łotrze, start_time: 48.5, end_time: 49.7
Word: żałuję, start_time: 49.7, end_time: 50.7
Word: teraz, start_time: 50.7, end_time: 50.9
Word: żeby, start_time: 50.9, end_time: 51.3
Word: cię, start_time: 51.3, end_time: 51.4
Word: puścił, start_time: 51.4, end_time: 51.6
Word: całą, start_time: 51.6, end_time: 52.4
Word: bo, start_time: 52.4, end_time: 53.0
Word: mówić, start_time: 53.0, end_time: 53.6
Word: cię, start_time: 53.6, end_time: 53.9
Word: na, start_time: 53.9, end_time: 54.1
Word: miejscu, start_time: 54.1, end_time: 54.3
Word: jedynie, start_time: 54.3, end_time: 55.0
Word: przystało, start_time: 55.0, end_time: 55.8
Word: do, start_time: 55.8, end_time: 56.9
Word: Tartuffe, start_time: 56.9, end_time: 57.3
Word: a, start_time: 57.3, end_time: 57.4
Word: przyjdź, start_time: 57.4, end_time: 58.7
Word: do, start_time: 58.7, end_time: 58.8
Word: siebie, start_time: 58.8, end_time: 59.2
Word: mój, start_time: 59.2, end_time: 59.4
Word: bracie, start_time: 59.4, end_time: 59.8
