Waiting for operation to complete...
Transcript: Rozdział 30 wyznania pewnego poranku Adolf zatopiony jest po prostu w nadmiarze słodyczy do zbytku szczęśliwy mąż szuka przyczyn tej zdwojony i czułości i słyszy z ust Karoliny te słowa w umówione najszczęśliwszym głosem dollfie co odpowiada przerażony utajonym drżeniem jakie wyczuwa w głosie Karoliny Przyrzeknij mi że nie będziesz się gniewał dobrze że nigdy nie będziesz miał do mnie żalu nigdy mów że że mi przebaczysz że nigdy nie będziesz mi o tym wspominał Ależ mów że już zresztą ty sam jesteś wszystkiemu winien Albo powiedz nareszcie albo odchodzę tylko ty jesteś w stanie wybawić mnie z kłopotów w jaki się wpakowałem i to tylko przez ciebie ale chcę wiedzieć chodzi o no o już
Confidence: 0.9531744122505188
Word: Rozdział, start_time: 0.0, end_time: 0.8
Word: 30, start_time: 0.8, end_time: 1.4
Word: wyznania, start_time: 1.4, end_time: 2.7
Word: pewnego, start_time: 2.7, end_time: 3.7
Word: poranku, start_time: 3.7, end_time: 4.2
Word: Adolf, start_time: 4.2, end_time: 5.0
Word: zatopiony, start_time: 5.0, end_time: 5.8
Word: jest, start_time: 5.8, end_time: 5.9
Word: po, start_time: 5.9, end_time: 6.1
Word: prostu, start_time: 6.1, end_time: 6.4
Word: w, start_time: 6.4, end_time: 6.6
Word: nadmiarze, start_time: 6.6, end_time: 7.0
Word: słodyczy, start_time: 7.0, end_time: 7.8
Word: do, start_time: 7.8, end_time: 8.7
Word: zbytku, start_time: 8.7, end_time: 9.1
Word: szczęśliwy, start_time: 9.1, end_time: 9.9
Word: mąż, start_time: 9.9, end_time: 10.0
Word: szuka, start_time: 10.0, end_time: 10.7
Word: przyczyn, start_time: 10.7, end_time: 11.1
Word: tej, start_time: 11.1, end_time: 11.6
Word: zdwojony, start_time: 11.6, end_time: 12.2
Word: i, start_time: 12.2, end_time: 12.3
Word: czułości, start_time: 12.3, end_time: 12.8
Word: i, start_time: 12.8, end_time: 13.0
Word: słyszy, start_time: 13.0, end_time: 13.8
Word: z, start_time: 13.8, end_time: 13.9
Word: ust, start_time: 13.9, end_time: 14.3
Word: Karoliny, start_time: 14.3, end_time: 14.8
Word: te, start_time: 14.8, end_time: 15.0
Word: słowa, start_time: 15.0, end_time: 15.5
Word: w, start_time: 15.5, end_time: 15.7
Word: umówione, start_time: 15.7, end_time: 16.4
Word: najszczęśliwszym, start_time: 16.4, end_time: 17.7
Word: głosem, start_time: 17.7, end_time: 18.1
Word: dollfie, start_time: 18.1, end_time: 19.1
Word: co, start_time: 19.1, end_time: 19.9
Word: odpowiada, start_time: 19.9, end_time: 20.9
Word: przerażony, start_time: 20.9, end_time: 21.5
Word: utajonym, start_time: 21.5, end_time: 22.1
Word: drżeniem, start_time: 22.1, end_time: 22.7
Word: jakie, start_time: 22.7, end_time: 23.3
Word: wyczuwa, start_time: 23.3, end_time: 23.6
Word: w, start_time: 23.6, end_time: 23.7
Word: głosie, start_time: 23.7, end_time: 24.1
Word: Karoliny, start_time: 24.1, end_time: 24.7
Word: Przyrzeknij, start_time: 24.7, end_time: 25.9
Word: mi, start_time: 25.9, end_time: 26.0
Word: że, start_time: 26.0, end_time: 26.9
Word: nie, start_time: 26.9, end_time: 27.0
Word: będziesz, start_time: 27.0, end_time: 27.3
Word: się, start_time: 27.3, end_time: 27.4
Word: gniewał, start_time: 27.4, end_time: 27.9
Word: dobrze, start_time: 27.9, end_time: 29.2
Word: że, start_time: 29.2, end_time: 30.1
Word: nigdy, start_time: 30.1, end_time: 30.4
Word: nie, start_time: 30.4, end_time: 30.6
Word: będziesz, start_time: 30.6, end_time: 30.9
Word: miał, start_time: 30.9, end_time: 31.2
Word: do, start_time: 31.2, end_time: 31.2
Word: mnie, start_time: 31.2, end_time: 31.4
Word: żalu, start_time: 31.4, end_time: 31.8
Word: nigdy, start_time: 31.8, end_time: 33.0
Word: mów, start_time: 33.0, end_time: 33.5
Word: że, start_time: 33.5, end_time: 33.7
Word: że, start_time: 33.7, end_time: 34.8
Word: mi, start_time: 34.8, end_time: 35.0
Word: przebaczysz, start_time: 35.0, end_time: 35.6
Word: że, start_time: 35.6, end_time: 36.2
Word: nigdy, start_time: 36.2, end_time: 36.5
Word: nie, start_time: 36.5, end_time: 36.6
Word: będziesz, start_time: 36.6, end_time: 36.9
Word: mi, start_time: 36.9, end_time: 37.0
Word: o, start_time: 37.0, end_time: 37.1
Word: tym, start_time: 37.1, end_time: 37.4
Word: wspominał, start_time: 37.4, end_time: 37.9
Word: Ależ, start_time: 37.9, end_time: 38.8
Word: mów, start_time: 38.8, end_time: 39.4
