Waiting for operation to complete...
Transcript: scena trzecia pani pernelle orgon elmira Kleant Marianna Damis doryna pani pernelle co się stało straszliwe jakieś wieści głoszą orkon wszystko mogę potwierdzić Bo on sam patrzył na to i zasnęła ski piękną cieszę się z zapłatą biorę człowieka niemalże w jednej koszuli przygarnia mam w domu niż brata podejmuje ciulej codzień dobrodziejstw nowych ode mnie doznaje dają własną córkę majątek mu daję a w tym że samym czasie Taneczna poczwara Cześć mierzony podstępnie wydrzeć mi się stara gdy zaś spełzły na niczym Niska praca owa on z własnych mech dobrodziejstw broń dziś na mnie kocha i chce nam o ruinę nadużyć okropnie tego co mówię dałem w ręce nie roz
Confidence: 0.961755096912384
Word: scena, start_time: 0.0, end_time: 1.1
Word: trzecia, start_time: 1.1, end_time: 1.4
Word: pani, start_time: 1.4, end_time: 3.1
Word: pernelle, start_time: 3.1, end_time: 3.4
Word: orgon, start_time: 3.4, end_time: 4.7
Word: elmira, start_time: 4.7, end_time: 5.5
Word: Kleant, start_time: 5.5, end_time: 6.6
Word: Marianna, start_time: 6.6, end_time: 7.7
Word: Damis, start_time: 7.7, end_time: 8.8
Word: doryna, start_time: 8.8, end_time: 9.3
Word: pani, start_time: 9.3, end_time: 11.2
Word: pernelle, start_time: 11.2, end_time: 11.5
Word: co, start_time: 11.5, end_time: 12.6
Word: się, start_time: 12.6, end_time: 12.8
Word: stało, start_time: 12.8, end_time: 13.2
Word: straszliwe, start_time: 13.2, end_time: 14.2
Word: jakieś, start_time: 14.2, end_time: 14.5
Word: wieści, start_time: 14.5, end_time: 14.7
Word: głoszą, start_time: 14.7, end_time: 15.3
Word: orkon, start_time: 15.3, end_time: 16.5
Word: wszystko, start_time: 16.5, end_time: 17.9
Word: mogę, start_time: 17.9, end_time: 18.3
Word: potwierdzić, start_time: 18.3, end_time: 18.5
Word: Bo, start_time: 18.5, end_time: 19.6
Word: on, start_time: 19.6, end_time: 19.7
Word: sam, start_time: 19.7, end_time: 20.0
Word: patrzył, start_time: 20.0, end_time: 20.5
Word: na, start_time: 20.5, end_time: 20.6
Word: to, start_time: 20.6, end_time: 20.9
Word: i, start_time: 20.9, end_time: 20.9
Word: zasnęła, start_time: 20.9, end_time: 22.5
Word: ski, start_time: 22.5, end_time: 22.9
Word: piękną, start_time: 22.9, end_time: 23.5
Word: cieszę, start_time: 23.5, end_time: 23.9
Word: się, start_time: 23.9, end_time: 24.1
Word: z, start_time: 24.1, end_time: 24.1
Word: zapłatą, start_time: 24.1, end_time: 24.3
Word: biorę, start_time: 24.3, end_time: 25.5
Word: człowieka, start_time: 25.5, end_time: 26.0
Word: niemalże, start_time: 26.0, end_time: 26.6
Word: w, start_time: 26.6, end_time: 26.8
Word: jednej, start_time: 26.8, end_time: 27.2
Word: koszuli, start_time: 27.2, end_time: 27.7
Word: przygarnia, start_time: 27.7, end_time: 28.6
Word: mam, start_time: 28.6, end_time: 28.7
Word: w, start_time: 28.7, end_time: 28.8
Word: domu, start_time: 28.8, end_time: 29.0
Word: niż, start_time: 29.0, end_time: 29.7
Word: brata, start_time: 29.7, end_time: 30.2
Word: podejmuje, start_time: 30.2, end_time: 31.0
Word: ciulej, start_time: 31.0, end_time: 31.5
Word: codzień, start_time: 31.5, end_time: 32.5
Word: dobrodziejstw, start_time: 32.5, end_time: 33.3
Word: nowych, start_time: 33.3, end_time: 33.7
Word: ode, start_time: 33.7, end_time: 34.0
Word: mnie, start_time: 34.0, end_time: 34.1
Word: doznaje, start_time: 34.1, end_time: 34.7
Word: dają, start_time: 34.7, end_time: 35.4
Word: własną, start_time: 35.4, end_time: 35.9
Word: córkę, start_time: 35.9, end_time: 36.2
Word: majątek, start_time: 36.2, end_time: 37.2
Word: mu, start_time: 37.2, end_time: 37.4
Word: daję, start_time: 37.4, end_time: 37.8
Word: a, start_time: 37.8, end_time: 37.9
Word: w, start_time: 37.9, end_time: 38.6
Word: tym, start_time: 38.6, end_time: 38.9
Word: że, start_time: 38.9, end_time: 39.0
Word: samym, start_time: 39.0, end_time: 39.4
Word: czasie, start_time: 39.4, end_time: 39.6
Word: Taneczna, start_time: 39.6, end_time: 40.6
Word: poczwara, start_time: 40.6, end_time: 41.0
Word: Cześć, start_time: 41.0, end_time: 41.8
Word: mierzony, start_time: 41.8, end_time: 42.5
Word: podstępnie, start_time: 42.5, end_time: 43.3
Word: wydrzeć, start_time: 43.3, end_time: 43.8
Word: mi, start_time: 43.8, end_time: 44.0
Word: się, start_time: 44.0, end_time: 44.2
Word: stara, start_time: 44.2, end_time: 44.6
Word: gdy, start_time: 44.6, end_time: 45.4
Word: zaś, start_time: 45.4, end_time: 45.6
Word: spełzły, start_time: 45.6, end_time: 46.4
Word: na, start_time: 46.4, end_time: 46.4
Word: niczym, start_time: 46.4, end_time: 46.7
Word: Niska, start_time: 46.7, end_time: 47.6
Word: praca, start_time: 47.6, end_time: 48.1
Word: owa, start_time: 48.1, end_time: 48.5
Word: on, start_time: 48.5, end_time: 49.0
Word: z, start_time: 49.0, end_time: 49.2
Word: własnych, start_time: 49.2, end_time: 49.8
Word: mech, start_time: 49.8, end_time: 50.1
Word: dobrodziejstw, start_time: 50.1, end_time: 51.0
Word: broń, start_time: 51.0, end_time: 51.7
Word: dziś, start_time: 51.7, end_time: 52.0
Word: na, start_time: 52.0, end_time: 52.3
Word: mnie, start_time: 52.3, end_time: 52.4
Word: kocha, start_time: 52.4, end_time: 52.9
Word: i, start_time: 52.9, end_time: 53.1
Word: chce, start_time: 53.1, end_time: 54.0
Word: nam, start_time: 54.0, end_time: 54.4
Word: o, start_time: 54.4, end_time: 54.6
Word: ruinę, start_time: 54.6, end_time: 55.4
Word: nadużyć, start_time: 55.4, end_time: 56.4
Word: okropnie, start_time: 56.4, end_time: 57.2
Word: tego, start_time: 57.2, end_time: 57.9
Word: co, start_time: 57.9, end_time: 58.4
Word: mówię, start_time: 58.4, end_time: 58.7
Word: dałem, start_time: 58.7, end_time: 59.1
Word: w, start_time: 59.1, end_time: 59.2
Word: ręce, start_time: 59.2, end_time: 59.6
Word: nie, start_time: 59.6, end_time: 59.7
Word: roz, start_time: 59.7, end_time: 59.9
Transcript: stopnie wypędza mnie z dóbr moich i maskę obłudy zdrowszy stronce tak nisko jak on sam był wprzódy Dolina biedaczek pani pernelle nie mój synu nie mogę dać wiary aby on miał w istocie tak źle zamiary orgon Halo pani pernelle człowiek poczciwy wszędzie zawieźć budzi orgon cóż zatem mowa twoja dowieźć mi się trudzi moja matko pani pernelle Żydom twój idzie trybem dziwnym i Żyd dawna już każdy był mu to przeciwnym jakiś to ma związek z tym czynem zuchwałym pani pernelle zawsze mi powtarzała gdyż był dzieckiem małym że cnota zwykle w świecie obudzę nienawiść że zawistni przeminą ale nigdy zawiść orgon ale cóż te maksymy dzisiaj właśnie znaczą pani pernelle choć głupi
Confidence: 0.9489402174949646
Word: stopnie, start_time: 59.9, end_time: 60.4
Word: wypędza, start_time: 60.4, end_time: 61.5
Word: mnie, start_time: 61.5, end_time: 61.8
Word: z, start_time: 61.8, end_time: 61.9
