Waiting for operation to complete...
Transcript: scena 8:00 pani pernelle orgon elmira Marianna cleant Walery Damis doryna Cloud panuj nad swoim porywem nie poniżaj sam siebie wybuchem z żywym zostaw nędznik alo są jego przeznaczenia i szyderstwem nie zwiększa jego poniżenia życzę raczej aby dusze jego dziś skróconą szczęśliwy zwrot pozyskał znów na cnoty łono by poprawił swe życie i chęcią odmiany złagodził wyrok księcia dzisiaj na niewydane za Skins szczodry dziś doznane ręki przed tron jego na klęczkach zanieść Korne Dzięki orgon masz słuszność bracie zatem śpieszmy wśród wesela wielbić tego co łaski swej dziś nam rozdziela potem skoro już spłacił dług wdzięczności pierwszy drugiemu się poświęcić
Confidence: 0.8438276648521423
Word: scena, start_time: 0.0, end_time: 0.8
Word: 8:00, start_time: 0.8, end_time: 1.2
Word: pani, start_time: 1.2, end_time: 1.9
Word: pernelle, start_time: 1.9, end_time: 2.3
Word: orgon, start_time: 2.3, end_time: 3.4
Word: elmira, start_time: 3.4, end_time: 4.4
Word: Marianna, start_time: 4.4, end_time: 5.6
Word: cleant, start_time: 5.6, end_time: 6.7
Word: Walery, start_time: 6.7, end_time: 7.7
Word: Damis, start_time: 7.7, end_time: 8.9
Word: doryna, start_time: 8.9, end_time: 9.6
Word: Cloud, start_time: 9.6, end_time: 11.3
Word: panuj, start_time: 11.3, end_time: 12.3
Word: nad, start_time: 12.3, end_time: 12.4
Word: swoim, start_time: 12.4, end_time: 12.9
Word: porywem, start_time: 12.9, end_time: 13.4
Word: nie, start_time: 13.4, end_time: 14.1
Word: poniżaj, start_time: 14.1, end_time: 14.7
Word: sam, start_time: 14.7, end_time: 15.0
Word: siebie, start_time: 15.0, end_time: 15.3
Word: wybuchem, start_time: 15.3, end_time: 15.9
Word: z, start_time: 15.9, end_time: 16.1
Word: żywym, start_time: 16.1, end_time: 16.8
Word: zostaw, start_time: 16.8, end_time: 17.8
Word: nędznik, start_time: 17.8, end_time: 18.3
Word: alo, start_time: 18.3, end_time: 18.5
Word: są, start_time: 18.5, end_time: 18.8
Word: jego, start_time: 18.8, end_time: 19.1
Word: przeznaczenia, start_time: 19.1, end_time: 19.8
Word: i, start_time: 19.8, end_time: 20.0
Word: szyderstwem, start_time: 20.0, end_time: 20.9
Word: nie, start_time: 20.9, end_time: 21.2
Word: zwiększa, start_time: 21.2, end_time: 21.7
Word: jego, start_time: 21.7, end_time: 22.1
Word: poniżenia, start_time: 22.1, end_time: 22.7
Word: życzę, start_time: 22.7, end_time: 23.6
Word: raczej, start_time: 23.6, end_time: 24.1
Word: aby, start_time: 24.1, end_time: 24.4
Word: dusze, start_time: 24.4, end_time: 24.9
Word: jego, start_time: 24.9, end_time: 25.2
Word: dziś, start_time: 25.2, end_time: 25.6
Word: skróconą, start_time: 25.6, end_time: 26.3
Word: szczęśliwy, start_time: 26.3, end_time: 27.4
Word: zwrot, start_time: 27.4, end_time: 27.8
Word: pozyskał, start_time: 27.8, end_time: 28.5
Word: znów, start_time: 28.5, end_time: 28.8
Word: na, start_time: 28.8, end_time: 29.1
Word: cnoty, start_time: 29.1, end_time: 29.6
Word: łono, start_time: 29.6, end_time: 30.0
Word: by, start_time: 30.0, end_time: 30.8
Word: poprawił, start_time: 30.8, end_time: 31.4
Word: swe, start_time: 31.4, end_time: 31.6
Word: życie, start_time: 31.6, end_time: 31.7
Word: i, start_time: 31.7, end_time: 32.1
Word: chęcią, start_time: 32.1, end_time: 32.8
Word: odmiany, start_time: 32.8, end_time: 33.5
Word: złagodził, start_time: 33.5, end_time: 34.6
Word: wyrok, start_time: 34.6, end_time: 34.9
Word: księcia, start_time: 34.9, end_time: 35.5
Word: dzisiaj, start_time: 35.5, end_time: 36.0
Word: na, start_time: 36.0, end_time: 36.2
Word: niewydane, start_time: 36.2, end_time: 36.8
Word: za, start_time: 36.8, end_time: 37.0
Word: Skins, start_time: 37.0, end_time: 38.6
Word: szczodry, start_time: 38.6, end_time: 39.3
Word: dziś, start_time: 39.3, end_time: 39.6
Word: doznane, start_time: 39.6, end_time: 40.1
Word: ręki, start_time: 40.1, end_time: 40.4
Word: przed, start_time: 40.4, end_time: 41.1
Word: tron, start_time: 41.1, end_time: 41.5
Word: jego, start_time: 41.5, end_time: 41.8
Word: na, start_time: 41.8, end_time: 41.9
Word: klęczkach, start_time: 41.9, end_time: 42.4
Word: zanieść, start_time: 42.4, end_time: 43.2
Word: Korne, start_time: 43.2, end_time: 43.6
Word: Dzięki, start_time: 43.6, end_time: 44.1
Word: orgon, start_time: 44.1, end_time: 45.2
Word: masz, start_time: 45.2, end_time: 46.2
Word: słuszność, start_time: 46.2, end_time: 46.5
Word: bracie, start_time: 46.5, end_time: 47.4
Word: zatem, start_time: 47.4, end_time: 48.5
Word: śpieszmy, start_time: 48.5, end_time: 49.1
Word: wśród, start_time: 49.1, end_time: 49.6
Word: wesela, start_time: 49.6, end_time: 50.1
Word: wielbić, start_time: 50.1, end_time: 51.0
Word: tego, start_time: 51.0, end_time: 51.4
Word: co, start_time: 51.4, end_time: 51.6
Word: łaski, start_time: 51.6, end_time: 52.2
Word: swej, start_time: 52.2, end_time: 52.5
Word: dziś, start_time: 52.5, end_time: 52.7
Word: nam, start_time: 52.7, end_time: 53.0
Word: rozdziela, start_time: 53.0, end_time: 53.6
