Waiting for operation to complete...
Transcript: Adam Asnyk Do młodych szukajcie prawdy jasnego płomienia Szukajcie nowych nieodkrytych dróg za każdym razem w tajniki stworzenia coraz się dusza ludzka rozprzestrzenia i większym staje się bóg choć potrząśnięcie kwiaty barwnych mitów choć rozproszyć legendy mrok wchodzi w grę urojenie drzeć błękitów ludziom niebiańskich nie zabraknie zachwytów lecz dalej się gdzie ich wzrok każda epoka ma swe własne cele i zapomina o wczorajszych snach mieście więc wiedzy pochodnie na czele i nowy udział bierzcie wiele przyszłości podnosi gmach ale nie depczcie przeszłości ołtarzy chodzi Macie sami doskonalsze wznieść na nich
Confidence: 0.8603119850158691
Word: Adam, start_time: 0.0, end_time: 0.4
Word: Asnyk, start_time: 0.4, end_time: 0.8
Word: Do, start_time: 0.8, end_time: 1.5
Word: młodych, start_time: 1.5, end_time: 1.6
Word: szukajcie, start_time: 1.6, end_time: 4.0
Word: prawdy, start_time: 4.0, end_time: 4.3
Word: jasnego, start_time: 4.3, end_time: 4.8
Word: płomienia, start_time: 4.8, end_time: 5.4
Word: Szukajcie, start_time: 5.4, end_time: 6.4
Word: nowych, start_time: 6.4, end_time: 7.5
Word: nieodkrytych, start_time: 7.5, end_time: 8.3
Word: dróg, start_time: 8.3, end_time: 9.1
Word: za, start_time: 9.1, end_time: 10.4
Word: każdym, start_time: 10.4, end_time: 10.8
Word: razem, start_time: 10.8, end_time: 10.9
Word: w, start_time: 10.9, end_time: 11.3
Word: tajniki, start_time: 11.3, end_time: 11.7
Word: stworzenia, start_time: 11.7, end_time: 12.6
Word: coraz, start_time: 12.6, end_time: 13.4
Word: się, start_time: 13.4, end_time: 13.5
Word: dusza, start_time: 13.5, end_time: 14.0
Word: ludzka, start_time: 14.0, end_time: 14.2
Word: rozprzestrzenia, start_time: 14.2, end_time: 15.6
Word: i, start_time: 15.6, end_time: 15.8
Word: większym, start_time: 15.8, end_time: 16.9
Word: staje, start_time: 16.9, end_time: 17.4
Word: się, start_time: 17.4, end_time: 17.7
Word: bóg, start_time: 17.7, end_time: 18.0
Word: choć, start_time: 18.0, end_time: 19.4
Word: potrząśnięcie, start_time: 19.4, end_time: 20.0
Word: kwiaty, start_time: 20.0, end_time: 20.8
Word: barwnych, start_time: 20.8, end_time: 21.3
Word: mitów, start_time: 21.3, end_time: 21.9
Word: choć, start_time: 21.9, end_time: 22.5
Word: rozproszyć, start_time: 22.5, end_time: 23.4
Word: legendy, start_time: 23.4, end_time: 24.1
Word: mrok, start_time: 24.1, end_time: 24.7
Word: wchodzi, start_time: 24.7, end_time: 25.6
Word: w, start_time: 25.6, end_time: 25.6
Word: grę, start_time: 25.6, end_time: 25.9
Word: urojenie, start_time: 25.9, end_time: 27.0
Word: drzeć, start_time: 27.0, end_time: 27.4
Word: błękitów, start_time: 27.4, end_time: 28.5
Word: ludziom, start_time: 28.5, end_time: 29.5
Word: niebiańskich, start_time: 29.5, end_time: 30.7
Word: nie, start_time: 30.7, end_time: 30.8
Word: zabraknie, start_time: 30.8, end_time: 31.4
Word: zachwytów, start_time: 31.4, end_time: 32.3
Word: lecz, start_time: 32.3, end_time: 33.1
Word: dalej, start_time: 33.1, end_time: 33.6
Word: się, start_time: 33.6, end_time: 34.2
Word: gdzie, start_time: 34.2, end_time: 34.6
Word: ich, start_time: 34.6, end_time: 34.8
Word: wzrok, start_time: 34.8, end_time: 35.4
Word: każda, start_time: 35.4, end_time: 36.9
Word: epoka, start_time: 36.9, end_time: 37.1
Word: ma, start_time: 37.1, end_time: 37.5
Word: swe, start_time: 37.5, end_time: 37.6
Word: własne, start_time: 37.6, end_time: 37.9
Word: cele, start_time: 37.9, end_time: 38.4
Word: i, start_time: 38.4, end_time: 39.0
Word: zapomina, start_time: 39.0, end_time: 39.6
Word: o, start_time: 39.6, end_time: 40.1
Word: wczorajszych, start_time: 40.1, end_time: 40.2
Word: snach, start_time: 40.2, end_time: 41.2
Word: mieście, start_time: 41.2, end_time: 42.7
Word: więc, start_time: 42.7, end_time: 42.9
Word: wiedzy, start_time: 42.9, end_time: 43.7
Word: pochodnie, start_time: 43.7, end_time: 44.5
Word: na, start_time: 44.5, end_time: 44.6
Word: czele, start_time: 44.6, end_time: 45.1
Word: i, start_time: 45.1, end_time: 45.2
Word: nowy, start_time: 45.2, end_time: 46.2
Word: udział, start_time: 46.2, end_time: 46.7
Word: bierzcie, start_time: 46.7, end_time: 47.2
Word: wiele, start_time: 47.2, end_time: 48.5
Word: przyszłości, start_time: 48.5, end_time: 49.9
Word: podnosi, start_time: 49.9, end_time: 50.8
Word: gmach, start_time: 50.8, end_time: 51.3
Word: ale, start_time: 51.3, end_time: 52.6
Word: nie, start_time: 52.6, end_time: 53.0
Word: depczcie, start_time: 53.0, end_time: 53.4
Word: przeszłości, start_time: 53.4, end_time: 54.0
Word: ołtarzy, start_time: 54.0, end_time: 55.0
Word: chodzi, start_time: 55.0, end_time: 56.3
Word: Macie, start_time: 56.3, end_time: 56.6
Word: sami, start_time: 56.6, end_time: 57.1
Word: doskonalsze, start_time: 57.1, end_time: 58.0
Word: wznieść, start_time: 58.0, end_time: 58.1
Word: na, start_time: 58.1, end_time: 59.6
Word: nich, start_time: 59.6, end_time: 59.9
Transcript: jeszcze Święty Ogień żarzy i miłość ludzka stoi tam na straży i wy byliście im Cześć ze światem który w ciemność już zachodzi wraz z całą tęczą idealnych snów Prawdziwa mądrość Niechaj was pogodzi i wasze gwiazdy o zdobywcy młodzi w ciemnościach po gasną znów
Confidence: 0.951784610748291
Word: jeszcze, start_time: 59.9, end_time: 60.5
Word: Święty, start_time: 60.5, end_time: 61.2
Word: Ogień, start_time: 61.2, end_time: 61.6
Word: żarzy, start_time: 61.6, end_time: 61.9
Word: i, start_time: 61.9, end_time: 62.4
Word: miłość, start_time: 62.4, end_time: 63.5
Word: ludzka, start_time: 63.5, end_time: 64.1
Word: stoi, start_time: 64.1, end_time: 64.5
Word: tam, start_time: 64.5, end_time: 64.8
Word: na, start_time: 64.8, end_time: 65.0
Word: straży, start_time: 65.0, end_time: 65.7
Word: i, start_time: 65.7, end_time: 65.8
Word: wy, start_time: 65.8, end_time: 66.6
Word: byliście, start_time: 66.6, end_time: 67.7
Word: im, start_time: 67.7, end_time: 68.2
Word: Cześć, start_time: 68.2, end_time: 68.6
Word: ze, start_time: 68.6, end_time: 70.0
Word: światem, start_time: 70.0, end_time: 70.7
Word: który, start_time: 70.7, end_time: 70.9
Word: w, start_time: 70.9, end_time: 71.1
Word: ciemność, start_time: 71.1, end_time: 71.8
Word: już, start_time: 71.8, end_time: 72.2
Word: zachodzi, start_time: 72.2, end_time: 72.9
Word: wraz, start_time: 72.9, end_time: 73.7
Word: z, start_time: 73.7, end_time: 73.8
Word: całą, start_time: 73.8, end_time: 74.4
Word: tęczą, start_time: 74.4, end_time: 75.0
Word: idealnych, start_time: 75.0, end_time: 75.8
Word: snów, start_time: 75.8, end_time: 76.4
Word: Prawdziwa, start_time: 76.4, end_time: 77.7
Word: mądrość, start_time: 77.7, end_time: 77.9
Word: Niechaj, start_time: 77.9, end_time: 79.2
Word: was, start_time: 79.2, end_time: 79.5
Word: pogodzi, start_time: 79.5, end_time: 80.6
Word: i, start_time: 80.6, end_time: 80.7
Word: wasze, start_time: 80.7, end_time: 81.8
Word: gwiazdy, start_time: 81.8, end_time: 82.6
Word: o, start_time: 82.6, end_time: 82.8
Word: zdobywcy, start_time: 82.8, end_time: 83.9
Word: młodzi, start_time: 83.9, end_time: 84.5
Word: w, start_time: 84.5, end_time: 84.7
Word: ciemnościach, start_time: 84.7, end_time: 86.2
Word: po, start_time: 86.2, end_time: 86.9
Word: gasną, start_time: 86.9, end_time: 87.6
Word: znów, start_time: 87.6, end_time: 88.3
