Waiting for operation to complete...
Transcript: Adam Asnyk Między nami nic nie było Między nami nic nie było żadnych zwierzeń wyznań żadnych nic ze sobą nie łączyło prócz wiosennych marzeń radnych prócz tych woni barfi blasków unoszących się w przestrzeni lub szumiących śpiewem Lasków it świeżej Łomża Eleni prócz tych kaskad i potoków zraszający w każdej parów Pruszcz girlandy ten obłoków praw natury słodkich czarów prócz tych wspólnych jasnych Zdroju w których serce zachwyt piło Pruszcz pierwiosnków i powodów Między nami nic nie było
Confidence: 0.9461885094642639
Word: Adam, start_time: 0.0, end_time: 0.9
Word: Asnyk, start_time: 0.9, end_time: 1.3
Word: Między, start_time: 1.3, end_time: 2.9
Word: nami, start_time: 2.9, end_time: 3.1
Word: nic, start_time: 3.1, end_time: 3.4
Word: nie, start_time: 3.4, end_time: 3.7
Word: było, start_time: 3.7, end_time: 3.8
Word: Między, start_time: 3.8, end_time: 6.4
Word: nami, start_time: 6.4, end_time: 6.6
Word: nic, start_time: 6.6, end_time: 7.0
Word: nie, start_time: 7.0, end_time: 7.1
Word: było, start_time: 7.1, end_time: 7.2
Word: żadnych, start_time: 7.2, end_time: 9.1
Word: zwierzeń, start_time: 9.1, end_time: 9.5
Word: wyznań, start_time: 9.5, end_time: 9.6
Word: żadnych, start_time: 9.6, end_time: 10.5
Word: nic, start_time: 10.5, end_time: 11.9
Word: ze, start_time: 11.9, end_time: 12.1
Word: sobą, start_time: 12.1, end_time: 12.4
Word: nie, start_time: 12.4, end_time: 12.6
Word: łączyło, start_time: 12.6, end_time: 13.1
Word: prócz, start_time: 13.1, end_time: 14.7
Word: wiosennych, start_time: 14.7, end_time: 15.2
Word: marzeń, start_time: 15.2, end_time: 15.6
Word: radnych, start_time: 15.6, end_time: 16.1
Word: prócz, start_time: 16.1, end_time: 17.9
Word: tych, start_time: 17.9, end_time: 18.0
Word: woni, start_time: 18.0, end_time: 18.5
Word: barfi, start_time: 18.5, end_time: 19.1
Word: blasków, start_time: 19.1, end_time: 19.7
Word: unoszących, start_time: 19.7, end_time: 20.3
Word: się, start_time: 20.3, end_time: 20.4
Word: w, start_time: 20.4, end_time: 20.5
Word: przestrzeni, start_time: 20.5, end_time: 20.9
Word: lub, start_time: 20.9, end_time: 22.1
Word: szumiących, start_time: 22.1, end_time: 22.7
Word: śpiewem, start_time: 22.7, end_time: 22.7
Word: Lasków, start_time: 22.7, end_time: 23.5
Word: it, start_time: 23.5, end_time: 23.8
Word: świeżej, start_time: 23.8, end_time: 24.3
Word: Łomża, start_time: 24.3, end_time: 24.7
Word: Eleni, start_time: 24.7, end_time: 25.0
Word: prócz, start_time: 25.0, end_time: 26.2
Word: tych, start_time: 26.2, end_time: 26.3
Word: kaskad, start_time: 26.3, end_time: 27.0
Word: i, start_time: 27.0, end_time: 27.1
Word: potoków, start_time: 27.1, end_time: 27.6
Word: zraszający, start_time: 27.6, end_time: 28.7
Word: w, start_time: 28.7, end_time: 28.7
Word: każdej, start_time: 28.7, end_time: 29.1
Word: parów, start_time: 29.1, end_time: 29.5
Word: Pruszcz, start_time: 29.5, end_time: 30.2
Word: girlandy, start_time: 30.2, end_time: 30.7
Word: ten, start_time: 30.7, end_time: 31.0
Word: obłoków, start_time: 31.0, end_time: 31.9
Word: praw, start_time: 31.9, end_time: 32.1
Word: natury, start_time: 32.1, end_time: 32.6
Word: słodkich, start_time: 32.6, end_time: 33.1
Word: czarów, start_time: 33.1, end_time: 33.5
Word: prócz, start_time: 33.5, end_time: 34.6
Word: tych, start_time: 34.6, end_time: 34.7
Word: wspólnych, start_time: 34.7, end_time: 35.2
Word: jasnych, start_time: 35.2, end_time: 35.8
Word: Zdroju, start_time: 35.8, end_time: 36.2
Word: w, start_time: 36.2, end_time: 36.3
Word: których, start_time: 36.3, end_time: 36.6
Word: serce, start_time: 36.6, end_time: 36.7
Word: zachwyt, start_time: 36.7, end_time: 37.4
Word: piło, start_time: 37.4, end_time: 37.7
Word: Pruszcz, start_time: 37.7, end_time: 39.1
Word: pierwiosnków, start_time: 39.1, end_time: 39.8
Word: i, start_time: 39.8, end_time: 39.8
Word: powodów, start_time: 39.8, end_time: 40.4
Word: Między, start_time: 40.4, end_time: 41.9
Word: nami, start_time: 41.9, end_time: 42.1
Word: nic, start_time: 42.1, end_time: 42.2
Word: nie, start_time: 42.2, end_time: 42.4
Word: było, start_time: 42.4, end_time: 42.5
