Waiting for operation to complete...
Transcript: Adam Mickiewicz Oda do młodości Bez serc bez ducha to szkieletów ludy O młodości dodaj mi skrzydła niech nad martwym wzlecę światem w rajską dziedzinę Woody Kęty zapał tworzy cudy nowości potrząsa kwiatem i obleka w nadziei złote malowidła Niechaj kogo wiek zamroczy Śląsku ziemi poradlone czoło takie widzi świata koło jakie tępymi zakreśla oczy młodości ty nad poziomy wylatuj a okiem słońca ludzkości cały ogromny Przeniknij z końca do końca patrz na dół Candy wieczna mgła zaciemnia obszar głośności zalane j&m to ziemia Patrz jak nad jej wody trupie wzbił się jakiś płaz w skorupie sam sobie sterem żeglarzem
Confidence: 0.9618944525718689
Word: Adam, start_time: 0.0, end_time: 1.1
Word: Mickiewicz, start_time: 1.1, end_time: 1.5
Word: Oda, start_time: 1.5, end_time: 3.2
Word: do, start_time: 3.2, end_time: 3.3
Word: młodości, start_time: 3.3, end_time: 3.6
Word: Bez, start_time: 3.6, end_time: 7.5
Word: serc, start_time: 7.5, end_time: 8.0
Word: bez, start_time: 8.0, end_time: 8.1
Word: ducha, start_time: 8.1, end_time: 8.6
Word: to, start_time: 8.6, end_time: 9.4
Word: szkieletów, start_time: 9.4, end_time: 9.4
Word: ludy, start_time: 9.4, end_time: 10.1
Word: O, start_time: 10.1, end_time: 10.4
Word: młodości, start_time: 10.4, end_time: 10.9
Word: dodaj, start_time: 10.9, end_time: 11.6
Word: mi, start_time: 11.6, end_time: 12.3
Word: skrzydła, start_time: 12.3, end_time: 12.8
Word: niech, start_time: 12.8, end_time: 13.1
Word: nad, start_time: 13.1, end_time: 13.7
Word: martwym, start_time: 13.7, end_time: 13.9
Word: wzlecę, start_time: 13.9, end_time: 14.4
Word: światem, start_time: 14.4, end_time: 14.8
Word: w, start_time: 14.8, end_time: 15.4
Word: rajską, start_time: 15.4, end_time: 16.2
Word: dziedzinę, start_time: 16.2, end_time: 16.7
Word: Woody, start_time: 16.7, end_time: 17.1
Word: Kęty, start_time: 17.1, end_time: 17.9
Word: zapał, start_time: 17.9, end_time: 18.3
Word: tworzy, start_time: 18.3, end_time: 18.8
Word: cudy, start_time: 18.8, end_time: 19.2
Word: nowości, start_time: 19.2, end_time: 20.0
Word: potrząsa, start_time: 20.0, end_time: 20.6
Word: kwiatem, start_time: 20.6, end_time: 21.1
Word: i, start_time: 21.1, end_time: 21.2
Word: obleka, start_time: 21.2, end_time: 21.9
Word: w, start_time: 21.9, end_time: 22.0
Word: nadziei, start_time: 22.0, end_time: 22.4
Word: złote, start_time: 22.4, end_time: 22.8
Word: malowidła, start_time: 22.8, end_time: 23.4
Word: Niechaj, start_time: 23.4, end_time: 25.1
Word: kogo, start_time: 25.1, end_time: 25.5
Word: wiek, start_time: 25.5, end_time: 25.7
Word: zamroczy, start_time: 25.7, end_time: 26.0
Word: Śląsku, start_time: 26.0, end_time: 27.5
Word: ziemi, start_time: 27.5, end_time: 27.8
Word: poradlone, start_time: 27.8, end_time: 28.3
Word: czoło, start_time: 28.3, end_time: 28.3
Word: takie, start_time: 28.3, end_time: 29.6
Word: widzi, start_time: 29.6, end_time: 29.9
Word: świata, start_time: 29.9, end_time: 30.3
Word: koło, start_time: 30.3, end_time: 30.8
Word: jakie, start_time: 30.8, end_time: 31.4
Word: tępymi, start_time: 31.4, end_time: 31.4
Word: zakreśla, start_time: 31.4, end_time: 32.0
Word: oczy, start_time: 32.0, end_time: 32.9
Word: młodości, start_time: 32.9, end_time: 34.8
Word: ty, start_time: 34.8, end_time: 35.4
Word: nad, start_time: 35.4, end_time: 35.4
Word: poziomy, start_time: 35.4, end_time: 35.6
Word: wylatuj, start_time: 35.6, end_time: 36.1
Word: a, start_time: 36.1, end_time: 36.6
Word: okiem, start_time: 36.6, end_time: 37.4
Word: słońca, start_time: 37.4, end_time: 37.9
Word: ludzkości, start_time: 37.9, end_time: 38.5
Word: cały, start_time: 38.5, end_time: 38.8
Word: ogromny, start_time: 38.8, end_time: 39.3
Word: Przeniknij, start_time: 39.3, end_time: 40.1
Word: z, start_time: 40.1, end_time: 40.3
Word: końca, start_time: 40.3, end_time: 41.2
Word: do, start_time: 41.2, end_time: 41.4
Word: końca, start_time: 41.4, end_time: 41.5
Word: patrz, start_time: 41.5, end_time: 43.6
Word: na, start_time: 43.6, end_time: 43.8
Word: dół, start_time: 43.8, end_time: 44.2
Word: Candy, start_time: 44.2, end_time: 45.8
Word: wieczna, start_time: 45.8, end_time: 46.2
Word: mgła, start_time: 46.2, end_time: 46.4
