Waiting for operation to complete...
Transcript: Adam Mickiewicz Sonety Krymskie Augusta w nocy rzeźbią się wiatry dzienne nie posłucha na barki czarter dachu spada lampa światów Rozbija się rozlewa strumienie szkarłatu Fi gaśnie błędny Pielgrzym ogląda się słucha już góry poczerniały dolinach noc głucha źródła szemrzą jak przez sen nałożyć Bławatków powietrze tnące wonią tą muzyką kwiatów mówi do serca głosem tajemnym dla ucha usypiam pod skrzydłami ciszy i ciemnoty w tym budzą mnie rażące meteoru błyski niebo ziemi góry oblał Potok Złoty
Confidence: 0.932853102684021
Word: Adam, start_time: 0.0, end_time: 1.0
Word: Mickiewicz, start_time: 1.0, end_time: 1.2
Word: Sonety, start_time: 1.2, end_time: 2.9
Word: Krymskie, start_time: 2.9, end_time: 3.3
Word: Augusta, start_time: 3.3, end_time: 5.0
Word: w, start_time: 5.0, end_time: 5.1
Word: nocy, start_time: 5.1, end_time: 5.5
Word: rzeźbią, start_time: 5.5, end_time: 10.1
Word: się, start_time: 10.1, end_time: 10.4
Word: wiatry, start_time: 10.4, end_time: 10.9
Word: dzienne, start_time: 10.9, end_time: 12.0
Word: nie, start_time: 12.0, end_time: 12.3
Word: posłucha, start_time: 12.3, end_time: 13.1
Word: na, start_time: 13.1, end_time: 14.6
Word: barki, start_time: 14.6, end_time: 15.0
Word: czarter, start_time: 15.0, end_time: 15.1
Word: dachu, start_time: 15.1, end_time: 15.8
Word: spada, start_time: 15.8, end_time: 16.2
Word: lampa, start_time: 16.2, end_time: 16.6
Word: światów, start_time: 16.6, end_time: 17.2
Word: Rozbija, start_time: 17.2, end_time: 19.2
Word: się, start_time: 19.2, end_time: 19.4
Word: rozlewa, start_time: 19.4, end_time: 21.2
Word: strumienie, start_time: 21.2, end_time: 21.8
Word: szkarłatu, start_time: 21.8, end_time: 22.4
Word: Fi, start_time: 22.4, end_time: 22.5
Word: gaśnie, start_time: 22.5, end_time: 23.0
Word: błędny, start_time: 23.0, end_time: 25.4
Word: Pielgrzym, start_time: 25.4, end_time: 26.0
Word: ogląda, start_time: 26.0, end_time: 26.6
Word: się, start_time: 26.6, end_time: 26.8
Word: słucha, start_time: 26.8, end_time: 27.3
Word: już, start_time: 27.3, end_time: 30.6
Word: góry, start_time: 30.6, end_time: 30.9
Word: poczerniały, start_time: 30.9, end_time: 31.7
Word: dolinach, start_time: 31.7, end_time: 33.2
Word: noc, start_time: 33.2, end_time: 33.5
Word: głucha, start_time: 33.5, end_time: 33.8
Word: źródła, start_time: 33.8, end_time: 35.5
Word: szemrzą, start_time: 35.5, end_time: 36.1
Word: jak, start_time: 36.1, end_time: 36.3
Word: przez, start_time: 36.3, end_time: 36.5
Word: sen, start_time: 36.5, end_time: 36.9
Word: nałożyć, start_time: 36.9, end_time: 37.4
Word: Bławatków, start_time: 37.4, end_time: 38.1
Word: powietrze, start_time: 38.1, end_time: 40.2
Word: tnące, start_time: 40.2, end_time: 40.4
Word: wonią, start_time: 40.4, end_time: 41.1
Word: tą, start_time: 41.1, end_time: 41.8
Word: muzyką, start_time: 41.8, end_time: 42.2
Word: kwiatów, start_time: 42.2, end_time: 42.8
Word: mówi, start_time: 42.8, end_time: 43.2
Word: do, start_time: 43.2, end_time: 43.3
Word: serca, start_time: 43.3, end_time: 43.7
Word: głosem, start_time: 43.7, end_time: 44.3
Word: tajemnym, start_time: 44.3, end_time: 44.9
Word: dla, start_time: 44.9, end_time: 45.2
Word: ucha, start_time: 45.2, end_time: 45.5
Word: usypiam, start_time: 45.5, end_time: 48.5
Word: pod, start_time: 48.5, end_time: 49.1
Word: skrzydłami, start_time: 49.1, end_time: 49.6
Word: ciszy, start_time: 49.6, end_time: 50.1
Word: i, start_time: 50.1, end_time: 50.2
Word: ciemnoty, start_time: 50.2, end_time: 50.9
Word: w, start_time: 50.9, end_time: 50.9
Word: tym, start_time: 50.9, end_time: 53.9
Word: budzą, start_time: 53.9, end_time: 54.2
Word: mnie, start_time: 54.2, end_time: 54.3
Word: rażące, start_time: 54.3, end_time: 54.9
Word: meteoru, start_time: 54.9, end_time: 55.5
Word: błyski, start_time: 55.5, end_time: 56.0
Word: niebo, start_time: 56.0, end_time: 57.7
Word: ziemi, start_time: 57.7, end_time: 58.2
Word: góry, start_time: 58.2, end_time: 58.6
Word: oblał, start_time: 58.6, end_time: 59.0
Word: Potok, start_time: 59.0, end_time: 59.3
Word: Złoty, start_time: 59.3, end_time: 59.7
Transcript: nocy Wschodnia ty na kształt wschodniej odaliski pieszczotami usypiasz A kiedy był bliski iskrą OK znowu budzisz do pieszczoty
Confidence: 0.8386480212211609
Word: nocy, start_time: 59.9, end_time: 63.2
Word: Wschodnia, start_time: 63.2, end_time: 63.8
Word: ty, start_time: 63.8, end_time: 66.9
Word: na, start_time: 66.9, end_time: 67.0
Word: kształt, start_time: 67.0, end_time: 67.5
Word: wschodniej, start_time: 67.5, end_time: 68.0
Word: odaliski, start_time: 68.0, end_time: 68.7
Word: pieszczotami, start_time: 68.7, end_time: 71.1
Word: usypiasz, start_time: 71.1, end_time: 71.9
Word: A, start_time: 71.9, end_time: 72.1
Word: kiedy, start_time: 72.1, end_time: 73.9
Word: był, start_time: 73.9, end_time: 74.0
Word: bliski, start_time: 74.0, end_time: 74.9
Word: iskrą, start_time: 74.9, end_time: 76.0
Word: OK, start_time: 76.0, end_time: 76.4
Word: znowu, start_time: 76.4, end_time: 77.0
Word: budzisz, start_time: 77.0, end_time: 77.3
Word: do, start_time: 77.3, end_time: 77.4
Word: pieszczoty, start_time: 77.4, end_time: 78.1
